ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,data_warnings,roe_raw,roa_raw,pe_trailing_raw,pe_forward_raw,revenue_growth_raw,earnings_growth_raw,debt_to_equity_raw,current_ratio_raw,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,data_quality,data_anomaly,data_fetched_date,data_stale_days,predicted_return,ml_rank,_fundamentals_neutralized
DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,India,INR,28989168936.0,,,,5.168504099999999,21.5117,21.224,21.024499999999996,,,0.132350022,0.15983497700000002,,0.19050000000000003,0.49550000000000005,0.655,0.0,,,,32330000384.0,70000000.0,2383503949824.0,200330000000.0,,104760000000.0,,,29790000000.0,,25680000000.0,27380000000.0,0.0032967032967032967,0.2722,30.0,0.62,30.0,1784851200.0,0.245,9467.0,5613.352076705792,9100.0,8447.0,2.58621,29.0,,,0.51993,0.30326,False,False,,0.5,456498.0,514090.0,0.5830459877924848,9.0,35.31,43.57,,-0.03876624062533007,0.23883997113323907,67.36871665262566,0.14994810683931115,0.34791878597940795,False,0.7156060212442537,,1.0,['market_cap: INR -> USD (x0.012) 2415764078000.0 -> 28989168936'],,,93.68887,60.47557,0.278,0.657,0.042,,India,True,,81.78685757522845,89.52583791064677,84.58897349281636,79.98508283294215,64.92890995260665,36.14718614718615,,50.0,,50.0,77.40863070605671,standard,4,49344138,False,4,NEUTRAL,0,38.4,False,29.48825503355705,53.85906040268457,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-1.9,0.625,MISSING_CRITICAL;,2026-09-08,0,0.02951742149889469,83.6,True
FLRY3.SA,Fleury S.A.,Healthcare,Diagnostics & Research,Brazil,BRL,10964940656.835388,,,,,1.2472422,1.661,,,,,,,0.144,,0.457,,,1.737,,1899128960.0,5408985088.0,14603612160.0,13220481000.0,,8291182000.0,,,1240911000.0,,612831000.0,2133775000.0,0.07982151680268228,1.0424,1.61,5.37,0.400733,1786492800.0,,20.459999084472656,12.905558653361407,20.170000076293945,18.34167,2.75,12.0,,,0.55372,0.28867,False,False,,0.5,3092230.0,4403290.0,0.7151943797421418,18.75,41.1,28.6,,-0.014173950203096308,0.2783580203664636,77.65662703512892,0.17883282154860702,0.27132073422286473,True,1.0327899677094434,,1.0,"['market_cap: valuta BRL saknas i FX-tabell, lämnas oförändrad']",,,,,,,,,,,,,88.8325288805181,80.86346607497343,59.63302752293578,81.04265402843602,89.39393939393939,,50.0,,50.0,68.84495298003424,standard,16,17457711,False,1,SVAG,-8,,,,,,,,,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,,0.125,EXTREME_EARNINGS_GROWTH;MISSING_CRITICAL;,2026-09-08,0,0.026638003066182137,82.4,True
NVDA,NVIDIA Corporation,Technology,Semiconductors,United States,USD,5562502934738.159,,,0.5745,11.893362412499998,18.359913,18.246,5.583500000000003,0.9525599850000002,0.46211499859999994,0.5184800145,0.5185849650000001,,0.8895,0.96,1.259,0.0,2.8265000000000002,2.918,40360120896.0,62469001216.0,38860001280.0,5528066981888.0,206803000000.0,,215938000000.0,,,130387000000.0,,120067000000.0,102718000000.0,0.004341031417565744,0.0354,1.0,0.05,0.25,1788998400.0,2.217,236.26463268418732,163.8517783946414,230.36000061035156,327.12808,1.28333,57.0,2.35,0.0123000005,0.04007,0.71545,False,False,,0.498,135569020.0,155653700.0,1.0469122454942141,5.19,12.32,29.7,,-0.024991603723137135,0.3808635825515924,53.67799225919933,0.09400170738457336,0.1721638890912831,True,0.918735345609844,,0.897,[],1.17211,0.53572,29.159492,14.902219,1.059,1.278,16.971,4.589,US,True,61.55607904724512,98.31685899197626,75.50896995494854,88.02843909714709,52.33904564935261,7.819905213270142,38.095238095238095,60.42402826855123,50.0,83.94736842105263,49.8,82.32578431282681,standard,1,35856386427,False,7,STARK,8,39.8,False,66.10738255033557,2.5587248322147653,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,3.8,0.75,,2026-09-08,0,-0.0037979758344590664,50.4,True
HALO,"Halozyme Therapeutics, Inc.",Healthcare,Biotechnology,United States,USD,12506344897.094727,,,,76.54561171249999,7.5170155,8.688,-4.6785,1.557754995,0.1864649986,0.127010002,0.40284502499999997,,0.38949999999999996,0.2675,0.392,,0.74825,1.994,-1112445408.0,231003008.0,2178533120.0,14453874688.0,2525323000.0,,1396611000.0,,,802593000.0,,316889000.0,651558000.0,,0.0,,,,,0.882,111.1500015258789,61.22999954223633,110.19000244140625,99.55556,1.66667,9.0,6.6,0.169,0.01107,1.12289,False,False,,0.735,1980388.0,1543900.0,0.5079119371367257,28.49,54.05,63.56,,-0.008636968702597336,0.37036887131288315,68.655944076986,0.21533716330124286,0.4848203359918368,False,0.8160064679572879,,0.66,['debt_to_equity: 1517.687 > 200 -> None'],1.73674,0.25492,32.31378,10.602268,0.477,0.429,,2.709,US,True,,92.98010394788112,84.35699855678524,69.82483587992569,54.94714880249759,79.38388625592417,11.904761904761903,16.96113074204947,50.0,7.368421052631578,73.5,63.78197539703041,standard,30,170122345,False,3,SVAG,-8,42.7,False,29.48825503355705,70.38590604026845,14.76510067114094,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,8.9,0.625,,2026-09-08,0,0.01758471690118313,76.9,True
6857.T,Advantest Corporation,Technology,Semiconductor Equipment & Materials,Japan,JPY,162522016578.624,,,1.4982,17.417950324999996,19.394758,19.193,19.313000000000002,0.29345498999999997,0.23526999799999998,0.24936002449999997,0.31501000000000007,,0.2235,0.635,0.938,0.0,0.0,1.77,8788262912.0,413124001792.0,108165996544.0,23651093053440.0,1171816000000.0,,1128610000000.0,,,499120000000.0,,375353000000.0,335182000000.0,0.001813236627379873,0.1145,60.0,0.78,30.0,1774828800.0,1.182,38730.0,10688.956675938198,33090.0,41361.906,1.52381,21.0,,,0.00279,0.66448,False,False,,0.5,8979769.0,8236190.0,0.9274774945471917,-1.87,23.63,28.8,,-0.1456235476374903,0.7513743515228243,30.277544154751894,0.036754822680147514,0.2609167931181544,False,0.23832397167247862,,1.0,['market_cap: JPY -> USD (x0.0068) 23900296555680.0 -> 162522016579'],0.56895,0.2925,64.10306,139.19153,0.393,0.953,10.374,2.666,Japan,True,42.77581468394189,93.01066258401532,75.06819555802561,87.95283627343802,28.213862267788524,27.251184834123222,34.41558441558442,48.409893992932865,50.0,,50.0,70.97822863720121,standard,12,1765915739,False,6,NEUTRAL,0,50.0,False,97.5251677852349,17.869127516778523,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,9.6,0.75,,2026-09-08,0,0.3160361051559448,99.3,True
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,62497011861470.0,,,0.7127,4.700420312499999,14.074343,13.532,1.2990000000000013,0.25590003,0.13290626055,0.33745500725,0.39605004,,0.19049999999999997,0.456,0.774,9.206000000000001,0.7137500000000001,2.132,674832719872.0,3518010228736.0,1068558516224.0,60089511706624.0,7932842500000.0,,3809054300000.0,,,1936095600000.0,,1697604000000.0,2274975600000.0,0.011618257261410789,0.2573,28.0,1.67,7.0,1789516800.0,1.247,2535.0,1144.7412109375,2410.0,3229.3333,1.30303,33.0,,,0.00023,0.4328,False,False,,0.5,28275477.0,16106225.0,0.7910581646569267,1.9,5.29,28.27,,-0.04930966469428011,0.32789452629755045,51.515151515151516,0.007440849427305496,0.20061916242153788,True,0.6240780754692477,,0.95,"['market_cap: valuta TWD saknas i FX-tabell, lämnas oförändrad']",0.39969003,0.19002001,28.17066,16.956417,0.36,0.774,16.504,2.458,Asia,True,73.5374950922654,92.45486884712328,69.14177476698357,82.74637401212003,46.35513525787967,3.080568720379147,53.03030303030303,65.37102473498233,50.0,,50.0,70.86567250238578,standard,13,1232019279,False,5,NEUTRAL,0,41.1,False,68.8758389261745,2.5587248322147653,6.543624161073826,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,2.1,0.75,,2026-09-08,0,0.1291622370481491,96.4,True
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,United States,USD,236380537485.7106,,,2.1326,9.247165712499998,6.205028,7.342,-2.2385,0.7357449950000001,0.018214998599999997,0.10793002199999999,0.160295015,,0.007500000000000007,0.48750000000000004,0.659,,0.0,0.95,7195870784.0,13989000192.0,57303998464.0,279695523840.0,90586000000.0,,36751000000.0,,,9080000000.0,,7711000000.0,9958000000.0,0.023054227172697884,0.6087,10.08,3.07,2.52,1787270400.0,0.426,447.0299987792969,262.4884685425957,437.2300109863281,389.68967,2.47059,29.0,4.58,0.0223,0.00225,0.85135,False,False,,0.453,2673777.0,2129420.0,0.7370124355203519,8.63,25.8,19.91,,-0.021922438806633915,0.2764140073880223,62.8159238701891,0.10602887764472935,0.2343595629297237,False,0.6439765300649659,,0.98,['debt_to_equity: 490.281 > 200 -> None'],0.91473,0.08667,27.17402,17.913734,0.095,0.649,,1.371,US,True,,79.7404389369775,81.41535170857932,72.72849093908333,57.400761251562734,21.09004739336493,71.42857142857143,81.62544169611307,50.0,66.3157894736842,45.300000000000004,70.25268451791986,standard,14,931046330,False,5,NEUTRAL,0,47.2,False,79.11073825503355,12.835570469798657,19.88255033557047,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,3.3,0.625,,2026-09-08,0,0.006859862711280584,68.0,True
000660.KS,SK hynix Inc.,Technology,Semiconductors,South Korea,KRW,853465633998.21,,,0.1728,,6.1802998,6.005,-16.641,3.39676,0.5113362805500001,0.69441500725,0.55589002,,2.3985,12.406,12.408,64.779,15.497750000000002,11.472,55712106029056.0,38724377247744.0,3194454016000.0,1135924092076032.0,176107659000000.0,,97146675000000.0,,,47206319000000.0,,42919287000000.0,53373126000000.0,0.0009107468123861566,0.013200001,1500.0,1.03,375.0,1787875200.0,2.389,2986352.5777339735,263722.62653013185,1647000.0,3189709.0,1.34211,38.0,,,0.20212,0.39359,False,False,,0.5,5396027.0,3248151.0,0.7302088573921358,-1.24,-20.42,94.07,,-0.4484911084243999,0.9183278155154324,50.14886876949101,-0.10632081099373314,0.26153938662904697,True,0.5870464913003707,,1.0,['market_cap: KRW -> USD (x0.00073) 1169131005477000.0 -> 853465633998'],3.54055,0.56845003,,3.502961,2.568,12.724,72.077,17.242,Asia,True,,99.06751173349062,51.102557589048175,97.9218837911599,30.698566142294677,12.085308056872037,32.467532467532465,90.10600706713781,50.0,,50.0,77.93665823585768,standard,2,3905284429,False,8,STARK,8,51.0,False,97.5251677852349,7.466442953020135,20.050335570469798,50.041946308724825,50.041946308724825,50.041946308724825,VARNING,False,2,0.2857142857142857,LÅG,OK,0.1,0.625,,2026-09-08,0,0.018520275130867958,77.1,True
MA,Mastercard Incorporated,Financial Services,Credit Services,United States,USD,503602329153.5861,,,1.5293,80.82044331249999,14.462666,14.834,10.57,2.2111149900000004,0.21172999900000003,0.18992999000000002,0.22170999499999994,,0.03699999999999999,0.04150000000000001,0.186,,,0.666,15511496256.0,11608999936.0,24643000320.0,520422719488.0,54157000000.0,,32791000000.0,,,19514000000.0,,14968000000.0,17648000000.0,0.006008183332442902,0.17930001,3.48,0.55,0.87,1783555200.0,0.735,601.22998046875,463.74259988972767,579.2100219726562,670.91895,1.375,37.0,2.4,0.0083,0.00112,0.91222,False,False,,0.495,3331750.0,2787440.0,0.646288241422774,0.57,18.14,11.26,,-0.036624851074335774,0.22545216563569592,60.508365932050886,0.03880410709053517,0.09475735716597433,False,0.49119737605647623,,0.907,"['debt_to_equity: 439.583 > 200 -> None'
 'gross_margin: None för sektor Financial Services'
 'current_ratio: None för sektor Financial Services']",2.41202,0.24063,32.250004,25.154816,0.141,0.221,,,US,True,74.67347205863106,93.4666713880693,71.20968670954701,58.20703194229665,70.92465171593612,14.454976303317535,41.55844155844156,85.51236749116607,50.0,88.94736842105263,49.5,77.50233697943237,standard,3,1614513184,False,7,STARK,8,51.1,False,78.7751677852349,9.060402684563758,50.041946308724825,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-2.1,0.625,,2026-09-08,0,-0.01203204970806837,29.9,True
6701.T,NEC Corporation,Technology,Information Technology Services,Japan,JPY,45140792274.577995,,,0.34,,1.8005489,1.831,,,,,,,0.145,1.586,1.574,,,0.985,,434699010048.0,591366979584.0,6752000540672.0,4466784000000.0,,3582733000000.0,,,359913000000.0,,270228000000.0,438463000000.0,0.007992007992007992,0.1872,40.0,1.32,20.0,1790640000.0,0.344,6159.847439939296,3586.1172275143363,5005.0,6190.909,1.5,11.0,,,0.049629997,0.5498,False,False,,0.5,7190149.0,6398120.0,0.9954778864912136,5.59,12.88,22.3,,-0.18747987692868529,0.5016532985199975,52.92993630573248,0.11782625786163536,0.07227581172444109,True,0.8537157383233964,,1.0,['market_cap: JPY -> USD (x0.0068) 6638351805085.0 -> 45140792275'],,,,,,,,,,,,,64.92361563586289,88.81995667679556,51.41437308868502,53.317535545023695,46.320346320346324,,50.0,,50.0,61.15355578185745,standard,41,207492936,False,2,SVAG,-8,,,,,,,,,UPPTREND,False,2,0.2857142857142857,LÅG,VÄNTA,0.0,0.25,MISSING_CRITICAL;,2026-09-08,0,0.002833970356732607,62.9,True
