ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,dividend_yield,payout_ratio,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,earnings_surprise_pct,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,volatility,bb_position,sentiment_raw,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_sentiment,score_total,company_type,rank,data_quality,sector_signal,sector_adjustment,piotroski_f,piotroski_label,piotroski_boost,insider_signal,earnings_signal,analyst_signal,extra_composite,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_sector_pct,score_global_pct,score_total_sector,sector_rank,sector_return_3m,relative_strength,rs_label,prev_score,prev_rank,prev_price,prev_rsi,prev_ma200,prev_trend_capped,prev_short,score_delta,rank_delta,is_new,short_delta,price_change_1w,delta_flag,predicted_return,ml_rank,score_fcf_yield
EDP.LS,"EDP, S.A.",Utilities,Utilities - Diversified,Portugal,EUR,198022795481.44955,16.259258,14.897515,2.3227,1.5446868,1.1653097,2.79,11.349,0.07778,0.022219999,0.0706,0.16107,0.40208998,-0.008,-0.1,-0.117,138.97,1.241,1.008,-1200283648.0,3636464128.0,23658758144.0,4.67,0.74230003,0.6,49.55043537185952,35.27806722080037,4.276000022888184,4.84286,2.09524,21.0,,,0.28244,0.41251,,11689023.0,10000768.0,0.87,-0.98,4.36,,,-5.91,46.7,-0.44,,True,0.2249,0.715858233480634,0.5,26.737089201877936,40.58614851245667,58.860759493670884,30.92788589321904,55.09545282402267,29.746835443037973,63.29113924050633,62.65822784810126,43.67954050478396,standard,119,0.875,NEUTRAL,0,2,SVAG,-8,0.5,0.386,0.726,0.522,UPPTREND,False,4,0.5714285714285714,MEDEL,EJ AKTUELL,,25.949367088607595,25.949367088607595,119,-0.0251419889602516,0.096,🟢 STARK,45.41116132565165,119,47.90192303884123,57.935387643418274,0.1132206990613231,False,,0.0,1,False,,0.0,,1.3412967,50.3,9.523809523809524
CINT.ST,Cint Group AB (publ),Technology,Software - Application,Sweden,SEK,2045654963.2070217,,64.0,,9.427169,13.773136,13.698,149.518,-0.55548,-0.04644,-1.18233,0.023120001,0.87566,-0.053,,,23.847,1.428,1.273,41026876.0,61880000.0,51711000.0,,0.0,1.413,8.989999771118164,2.1519999504089355,5.760000228881836,5.552396,,2.0,,,0.33998,0.33956,,4012397.0,1716772.0,0.0908200146501133,0.440000057220459,1.1083455313404786,0.7338952987904384,,-0.3592880561146649,81.4814520471194,0.323274048899639,0.2732433719949416,True,0.8492042809056465,0.7073309028702822,0.5,31.74379610999329,21.459727485285818,80.80168776371308,26.265822784810126,36.444661265705605,94.9367088607595,8.544303797468354,62.65822784810126,43.52513978267865,standard,120,0.75,STARK UPPTREND,10,4,NEUTRAL,0,0.5,0.516,0.867,0.617,UPPTREND,False,2,0.2857142857142857,LÅG,EJ AKTUELL,0.0,36.70886075949368,18.35443037974684,132,0.288522948954008,0.82,🟢 STARK,48.71198063058128,101,5.760000228881836,81.4814520471194,0.2732433719949416,False,,0.0,0,False,,0.0,,1.3412967,50.3,43.53741496598639
PRIC-B.ST,Pricer AB (publ),Industrials,Business Equipment & Supplies,Sweden,SEK,625784036.0643253,42.555553,4.1182795,,0.58500075,0.29698604,0.299,6.934,0.0125899995,0.01767,0.0064499998,0.02194,0.22636,-0.077,,,31.817,2.188,1.255,13412500.0,341000000.0,345500000.0,,0.0,0.742,6.389999866485596,2.6600000858306885,3.740000009536743,5.45,,2.0,,,0.21416001,0.34332,,559616.0,203825.0,2.31,15.08,7.63,,,-21.01,48.5,16.19,,False,0.5862,0.6149202963079697,0.5,59.47686116700201,16.502459082480044,43.35443037974684,19.303797468354432,57.17150866910724,98.10126582278481,8.544303797468354,62.65822784810126,43.112180276869786,standard,121,0.875,UPPTREND,5,6,NEUTRAL,0,0.5,0.487,0.5,0.495,NEDTREND,True,2,0.2857142857142857,LÅG,EJ AKTUELL,11.627906976744184,37.34177215189873,24.48483956432145,123,-0.0004549946411839,0.045,⚪ NORMAL,48.7521533488357,100,3.829999923706055,64.50216950635989,-0.0445184738657862,True,,0.0,0,False,,-1.1102230246251563e-16,,1.3412967,50.3,46.93877551020408
HOLM-B.ST,Holmen AB (publ),Basic Materials,Paper & Paper Products,Sweden,SEK,32997360130.0,17.241379,14.6212845,4.94,0.85637593,2.100143,2.298,14.812,0.04946,0.01611,0.12307,0.115839995,0.47151002,-0.084,-0.167,-0.178,11.108,1.295,0.65,1075624960.0,1602000000.0,6070000128.0,3.11,0.5367,0.239,414.4083020583857,301.3999938964844,306.0,345.0,3.0,8.0,,,0.22305,0.48108003,,226533.0,193003.0,1.45,-8.44,-16.08,,,-16.53,20.0,-6.2,,False,0.2147,0.1272062662016859,0.5,54.25888665325284,39.800854631943885,12.974683544303797,18.979269452473503,80.33208542098559,50.0,63.29113924050633,62.65822784810126,43.0641243989859,standard,122,0.875,NEUTRAL,0,5,NEUTRAL,0,0.5,0.474,0.5,0.49,NEDTREND,True,4,0.5714285714285714,MEDEL,EJ AKTUELL,8.333333333333332,15.822784810126585,12.078059071729957,140,-0.0151844316169815,-0.121,🔴 SVAG,46.94914730061808,110,305.0,16.267918131097133,-0.1072450041074943,True,,-5.0,-24,False,,0.0,⬇ -24,1.3412967,50.3,55.78231292517006
FAG.ST,Fagerhult Group AB,Industrials,Electrical Equipment & Parts,Sweden,SEK,3382055600.89238,15.593496,5.608187,0.71,0.47703135,0.43514776,0.842,8.846,0.03009,0.0225,0.0278,0.0128,0.38461,-0.061,,,60.589,0.827,0.512,184562496.0,1176499968.0,4336799744.0,5.74,1.1382,,44.00937010945421,19.100000381469727,19.18000030517578,23.0,3.0,2.0,,,0.02901,0.8089,,427167.0,463681.0,0.3774153949502941,-0.291703055845812,-0.4512380678172437,-0.534058161526971,,-0.5641837122986797,24.107924913119263,-0.2231384611185761,-0.4429550352591348,False,0.3814723631406305,0.2684826433141863,0.5,62.65593561368208,24.43078287511086,38.562843626134764,22.78481012658228,33.77999896492158,89.87341772151899,21.518987341772153,62.65822784810126,42.96082686650758,standard,123,0.75,UPPTREND,5,4,NEUTRAL,0,0.5,0.331,0.5,0.432,NEDTREND,True,2,0.2857142857142857,LÅG,EJ AKTUELL,4.651162790697675,14.556962025316457,9.604062408007064,144,-0.0004549946411839,-0.451,🔴 SVAG,40.76337832044735,137,19.18000030517578,24.107924913119263,-0.4429550352591348,True,,0.0,1,False,,0.0,,1.3412967,50.3,55.10204081632652
DUNI.ST,Duni AB (publ),Consumer Cyclical,Textile Manufacturing,Sweden,SEK,4074815930.970337,14.401993,10.783582,3.16,1.1682432,0.5371495,0.924,10.248,0.07217,0.03466,0.03731,0.043080002,0.24927,-0.053,-0.46,-0.46,61.104,1.815,0.984,205500000.0,258000000.0,2534000128.0,5.77,0.83059996,1.147,108.4000015258789,84.80000305175781,87.0,108.0,,1.0,,,0.53484,0.36089,,43989.0,45406.0,1.37,-12.12,-9.84,,,-19.29,26.6,-7.44,,False,0.2235,0.3077970214897043,0.5,63.66532528504359,27.684431186003383,16.139240506329113,13.461228986012825,59.485123046574294,87.34177215189874,63.29113924050633,62.65822784810126,42.79572166413316,standard,124,0.875,UPPTREND,5,6,NEUTRAL,0,0.5,0.5,0.5,0.5,NEDTREND,True,3,0.4285714285714285,LÅG,EJ AKTUELL,52.17391304347826,36.07594936708861,44.12493120528343,89,0.0247189178438278,-0.146,🔴 SVAG,48.51972721384831,102,86.69999694824219,25.714306889729627,-0.0982600232103849,True,,0.0,0,False,,0.0,,1.3412967,50.3,59.863945578231295
DOM.ST,Dometic Group AB (publ),Consumer Cyclical,Leisure,Sweden,SEK,10556280061.23098,25.415386,7.6658936,,0.47595727,0.51617426,1.098,8.57,0.01846,0.02181,0.02039,0.08189,0.29422,-0.101,-0.061,-0.061,75.396,1.431,0.859,2042499968.0,4832999936.0,16721999872.0,4.32,1.0,1.33,58.45000076293945,23.280000686645508,33.08000183105469,45.85714,1.28571,7.0,,,0.08321,0.6685,,1037390.0,617129.0,1.13,9.83,-19.59,,,-33.97,50.8,11.04,,True,0.5855,0.7668293408586931,0.5,87.84037558685446,23.728130291058612,1.5822784810126582,22.8322577162032,28.641233662930944,72.15189873417721,63.29113924050633,62.65822784810126,42.46463542439531,standard,125,0.875,UPPTREND,5,5,NEUTRAL,0,0.5,0.259,0.929,0.532,NEDTREND,True,3,0.4285714285714285,LÅG,EJ AKTUELL,34.78260869565217,26.58227848101265,30.68244358833241,110,0.0247189178438278,-0.238,🔴 SVAG,45.44683076098276,118,33.040000915527344,64.5000083446516,-0.2267908339213147,True,,0.0,1,False,,0.0,,1.3412967,50.3,90.47619047619048
DGE.L,Diageo plc,Consumer Defensive,Beverages - Wineries & Distilleries,United Kingdom,GBp,41779218460197.664,18.652761,12.551537,0.808,3.8698816,1.67546,2.889,9.249,0.19716999,0.072129995,0.12189,0.31291,0.60003,-0.04,0.029,0.031,177.377,1.604,0.573,958124992.0,2208999936.0,24290000896.0,4.22,0.9492,0.304,28665.968990097124,16817.09418724623,1529.5,1940.6976,2.0,22.0,,,0.00077,0.68139,,7621390.0,4833166.0,0.97,3.86,-16.13,,,-18.37,60.0,4.43,,True,0.3471,0.5644277778713038,0.5,32.49832327297116,71.0779650084657,11.075949367088608,39.54942180388053,48.84626361510577,12.025316455696203,63.29113924050633,62.65822784810126,41.50656983713766,standard,126,0.875,NEUTRAL,0,4,NEUTRAL,0,0.15,0.5,0.75,0.47,NEDTREND,True,4,0.5714285714285714,MEDEL,EJ AKTUELL,28.57142857142857,24.050632911392405,26.311030741410487,117,-0.0310846277215163,-0.124,🔴 SVAG,44.64579071548129,122,18789.12116903881,57.05120040670072,-0.1205397950969946,True,,0.0,1,False,,2.220446049250313e-16,,1.3412967,50.3,12.925170068027212
IMB.L,Imperial Brands PLC,Consumer Defensive,Tobacco,United Kingdom,GBp,27184049370548.48,13.169812,7.6080647,0.7322,4.654885,1.1125124,1.709,8.237,0.37151,0.07796,0.08956,0.1603,0.36262,0.049,-0.382,-0.412,243.803,0.698,0.307,2502374912.0,497000000.0,11232000000.0,6.05,0.7541,0.168,45113.45295276981,33611.81761741638,2817.0,3318.182,1.90909,11.0,,,0.04133,0.65855,,2850710.0,2816398.0,1.58,0.82,-14.31,,,-15.67,54.0,-5.02,,True,0.2364,0.7219959115535889,0.5,41.120053655264925,61.48270579698461,15.506329113924052,28.426505033389812,48.67258933735778,15.18987341772152,63.29113924050633,62.65822784810126,41.17029020054623,standard,127,0.875,NEUTRAL,0,5,NEUTRAL,0,0.15,0.5,0.773,0.477,NEDTREND,True,4,0.5714285714285714,MEDEL,EJ AKTUELL,14.285714285714285,27.21518987341772,20.750452079566003,128,-0.0310846277215163,-0.09,🔴 SVAG,45.47003556337246,117,35155.133293151855,56.04539261182135,-0.0888341470579717,True,,0.0,1,False,,0.0,,1.3412967,50.3,23.12925170068027
EQT.ST,EQT AB (publ),Financial Services,Asset Management,Sweden,SEK,357287761618.89087,45.244442,20.932144,0.8387,47.622017,135.72702,134.598,250.276,0.09325,0.05742,0.27648002,0.41901,0.66510004,-0.043,-0.223,-0.228,35.196,6.835,6.599,1211774976.0,6150600192.0,2644600064.0,1.64,0.6376,1.379,379.8513830644144,258.5184516017563,305.3999938964844,377.77185,1.84615,13.0,,,0.34789002,0.45231998,,2105118.0,1367941.0,0.3894800077286814,0.0396066315606855,0.0146012553569636,-0.0389234510392798,,-0.1960013639210698,37.60553679656504,0.0436210636128628,-0.0411413713225512,False,0.3337258934199293,0.3467772182140418,0.5,20.4225352112676,68.42054341691525,71.71077867280398,19.960432655569953,57.04092848161482,24.68354430379747,63.29113924050633,62.65822784810126,40.893238619239604,holding,128,0.875,NEUTRAL,0,5,NEUTRAL,0,0.5,0.5,0.771,0.581,NEDTREND,True,3,0.4285714285714285,LÅG,EJ AKTUELL,5.263157894736842,5.69620253164557,5.479680213191205,152,-0.012382164864004,0.027,⚪ NORMAL,34.94099945894627,150,305.3999938964844,37.60553679656504,-0.0411413713225512,True,,0.0,0,False,,0.0,,1.3412967,50.3,28.57142857142857
