ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_fundamentals_neutralized,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,predicted_return,ml_rank
000660.KS,SK hynix Inc.,Technology,Semiconductors,South Korea,KRW,1675257542760000.0,,-14.508263500000002,3.3411,,12.683292,12.41,-2.0069999999999997,0.4860699925,0.23488,0.43658000899999994,0.56188003,0.32550500000000004,1.847,3.7550000000000003,3.975,7.1175,0.861,2.174,25799822215168.0,54361531088896.0,21832415576064.0,1639140579868672.0,0.13,0.028399998,3000.0,1.08,375.0,1779926400.0,2.027,2407000.0,202155.24179216867,2360000.0,2076603.1,,38.0,,,0.20716,0.45203,False,False,,0.5,4934621.0,5697985.0,0.9471802346296222,82.55,122.47,355.09,,-0.019526381387619418,0.6897294442258023,75.37168338207486,0.6753799364369903,1.9921455402015997,True,0.8967380503864539,,1.0,Asia,True,True,,96.11945032181299,95.9570257280181,96.45645745469562,43.22507446279728,0.1697792869269949,33.86023294509151,67.86786786786787,50.0,,50.0,90.89295739113341,standard,1,9816488558,False,7,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.0,0.0769934132695198,91.2
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,Cayman Islands,USD,42239036260.0,88.90991700000001,3.7426579999999987,,14.091626975,31.636976,30.611,67.99499999999999,0.1958199975,0.11581,0.244790004,0.213104975,0.22829007,1.436,3.205,3.622,-49.07300000000001,8.440000000000001,8.507,,1443286016.0,20617000.0,40869736448.0,,0.0,,,,,3.176,245.9499969482422,66.75,229.0,231.58556,1.33333,18.0,1.73,0.0683,0.11137,0.76583,False,False,,0.5,7243376.0,8674640.0,2.166731750381292,24.2,135.35,28.94,,-0.06891643487927812,0.8487462206819136,61.21140468343998,0.3967954194827219,0.5651463058045241,True,0.8271909899181878,,1.0,US,True,True,,89.67778063917598,82.96579021769863,96.26687307393476,34.24102920736254,55.43293718166383,11.896838602329451,,50.0,31.309297912713475,50.0,78.34198669135527,standard,5,1986492560,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,STARK,5.9,0.04163774475455284,83.7
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,USD,1200021776136.5303,12.631366999999997,-12.793077000000002,0.3667,10.162841975000001,20.647667,20.582,13.550999999999998,0.24997001749999997,0.13809999999999997,0.305910004,0.5327249949999999,0.13230999999999993,1.8290000000000002,7.348999999999999,7.708,-35.17,1.184,2.232,2073241952.0,14588999680.0,10798000128.0,1196230836224.0,0.06,0.0217,0.6,0.33,0.15,1774828800.0,1.919,1076.56005859375,96.72846036798533,1064.0999755859375,726.225,1.47727,40.0,0.77,0.0313,0.00265,0.81557,False,False,,0.5,48200663.0,54177400.0,0.8373376565353622,96.25,180.38,350.35,,-0.011573978533151563,0.6618679856611488,75.93083475127753,0.8277491067877008,2.0590957016014566,True,1.019919055319153,,1.0,US,True,True,44.759741084367946,90.87505636356894,97.25756290641787,97.48084156731503,31.441723250047392,16.468590831918505,24.25124792013311,49.94994994994995,50.0,61.76470588235294,50.0,78.31452995417303,standard,6,57650170017,False,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.5,-0.008854147978127003,19.0
005930.KS,"Samsung Electronics Co., Ltd.",Technology,Consumer Electronics,South Korea,KRW,2077991181031500.0,,-14.2247041,0.1996,,6.095826,5.848,-3.7349999999999977,0.06289999249999999,0.058359999999999995,0.082270009,0.27404,0.11886503000000004,0.5579999999999999,4.71,4.867,-0.3825000000000003,0.7830000000000001,1.959,67558971344896.0,147378078220288.0,28138794909696.0,2271025161043968.0,0.41,0.1344,1488.0,2.24,372.0,1774828800.0,1.327,370000.0,55225.95375770246,360500.0,397803.22,1.37838,37.0,,,0.0967,0.48659,False,False,,0.5,30361326.0,33556130.0,1.2551502268241712,59.51,66.86,275.39,,-0.025675675675675635,0.5489918968262747,73.6231884057971,0.5172396606331551,1.4519723802336593,True,1.1127114622549472,,0.838,Asia,True,True,,79.35298658990051,93.85072094995759,90.44281179408652,35.2977523110517,0.08488964346349745,67.22129783693843,82.08208208208208,50.0,,50.0,77.25540912224847,standard,8,8830798951,False,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-0.1,-0.05084611475467682,1.5
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,62885997412475.0,3.574765000000003,-0.9020085000000027,1.1622,6.043019425000001,15.323457,14.491,0.9390000000000018,0.23644999249999998,0.12922001,0.33273000900000005,0.42757999999999996,0.260815,0.21699999999999997,0.373,0.583,12.282499999999999,0.732,2.187,709926586368.0,3383596154880.0,1094369804288.0,59471241936896.0,1.01,0.2785,24.0,1.71,7.0,1781136000.0,1.264,2440.0,936.0327758789062,2425.0,2589.5757,1.33333,33.0,,,0.00022,0.43526,False,False,,0.5,36185165.0,34416835.0,0.719485243016142,7.78,25.73,67.77,,-0.006147540983606592,0.2990736586253025,68.67469879518072,0.1444617490207183,0.4689593938047303,True,1.0839090352102825,,0.927,Asia,True,True,71.84979755875278,93.4145562490543,90.61351427763641,82.36823236405348,56.839170310372694,1.8675721561969438,67.22129783693843,63.46346346346346,50.0,,50.0,77.24604143287587,standard,9,2587285571,False,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,0.6,-0.021453529596328735,11.2
WDC,Western Digital Corporation,Technology,Computer Hardware,United States,USD,194090499551.0089,-3.9311930000000004,9.154291999999998,0.486,20.520879975,16.48047,16.352,30.074,0.7109499475000001,0.08313,0.443910004,0.22657497499999998,0.0022200199999999892,0.321,4.617999999999999,5.163,-32.262,-0.22299999999999986,1.107,1254742112.0,3236999936.0,1724000000.0,192577503232.0,0.11,0.0269,0.6,3.23,0.125,1780617600.0,2.158,571.1799926757812,51.65702592460951,563.0999755859375,518.26086,1.52,23.0,3.82,0.097399995,0.0054400004,1.01205,False,False,,0.5,7860849.0,6020110.0,0.7239822270468778,30.49,124.8,245.2,,-0.01414618367844378,0.6339478100762942,73.94075698534253,0.3795877308418436,1.39418466883621,True,1.0228155827734613,,0.997,US,True,True,43.869802638459355,86.13209066235889,96.89001979078314,94.3688116976081,16.30141525035243,29.28692699490662,33.56905158069883,55.15515515515516,50.0,22.960151802656547,50.0,75.55829380141155,standard,11,3389923794,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.6,0.014300234615802765,59.8
NVDA,NVIDIA Corporation,Technology,Semiconductors,United States,USD,5396923397399.902,-3.4869100000000017,-5.173873,0.6865,28.025928974999996,21.290394,21.113,13.382000000000001,0.9946199974999999,0.46392,0.520710004,0.512444995,0.28938995,0.718,1.934,2.106,-43.517,1.728,2.139,45515615072.0,53171998720.0,12814000128.0,5351885766656.0,0.45,0.0061000003,1.0,0.05,0.01,1780531200.0,2.244,236.5399932861328,137.91748812723765,222.82000732421875,296.81033,1.29508,58.0,1.92,0.0128,0.039839998,0.70856005,False,False,,0.5,166657271.0,189108030.0,1.1059728560889848,12.28,23.76,25.9,,-0.058002817076761914,0.34039452301511375,51.61036364293372,0.10708553919860342,0.18483988538325447,False,0.6474921221346707,,0.889,US,True,True,50.53325713773475,96.09259870409333,78.08877579869946,90.36806221169157,44.26923446129154,9.337860780984721,67.22129783693843,57.95795795795796,50.0,89.6584440227704,50.0,82.25469989095126,standard,2,42137052630,False,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,STARK,-0.1,0.0070651317946612835,38.9
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,United States,USD,109062039931.43309,20.088255000000004,20.635528,3.3196,104.027881975,15.340324,14.957,26.077,1.1756599975,0.07251001,0.165960004,0.16930499499999999,0.35097999999999996,0.067,0.07499999999999998,0.233,7.2379999999999995,-0.5599999999999998,1.034,992792032.0,3294899968.0,567200000.0,106334339072.0,,0.0,,,,,0.919,149.02999877929688,70.12000274658203,148.86000061035156,107.86111,2.69767,36.0,3.28,0.0324,0.17387,0.72448,False,False,,0.5,6142841.0,6499530.0,1.0473227019318034,72.51,83.55,83.48,,-0.0011406976470359487,0.44952142327634564,86.34947004000162,0.5070126906531851,0.7324511697018457,True,0.911552300010908,,1.0,US,True,True,47.722367890278335,90.95119389007617,96.19734238054848,72.6543542239114,41.79276461194928,37.60611205432937,11.896838602329451,59.45945945945946,50.0,59.772296015180274,50.0,81.77337931313077,standard,3,967520040,False,8,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.2,0.09705179929733276,93.7
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,Singapore,USD,209647469892.52002,50.137730999999995,12.061754999999998,0.6373,434.001581975,19.04155,19.147,41.037000000000006,17.731439997499997,0.18328999999999998,0.107040004,0.213164995,-0.03634999999999999,0.307,0.872,1.2,331.481,-0.3869999999999998,0.772,789742048.0,1146000000.0,4177999872.0,210804834304.0,0.32,0.277,2.96,3.02,0.74,1782259200.0,2.009,953.719970703125,117.23895946527499,926.6099853515625,829.0455,1.54167,22.0,2.04,0.0476,0.0025,0.88245004,False,False,,0.5,3931201.0,3258230.0,0.6645202297562707,27.47,159.56,236.36,,-0.028425519213544193,0.6295536035618242,70.47801365498677,0.45577818238025003,1.4733089850390098,True,0.9894024587912975,,0.969,US,True,True,40.36844680501397,82.66305710816803,94.91094147582697,89.05609276588739,11.507977543704694,28.098471986417657,67.22129783693843,52.152152152152155,50.0,44.97153700189753,50.0,73.52307504693569,standard,15,3019108453,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.5,-0.012251213192939758,17.3
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,United States,USD,418203452689.7278,25.725800999999997,19.289071999999997,1.8465,33.107311975,19.288187,19.241,34.206999999999994,0.5193599975000001,0.16443,0.20043998400000002,0.20691497499999997,0.047729999999999995,0.10399999999999998,0.19699999999999998,0.372,-14.790000000000006,0.8230000000000002,1.695,3532083552.0,4750936064.0,3734479104.0,417187004416.0,0.31,0.1909,1.04,0.99,0.26,1781654400.0,1.819,335.54998779296875,81.35392204570302,334.4100036621094,313.6875,1.52778,32.0,3.46,0.0294,0.0027599998,0.88139,False,False,,0.5,9726693.0,8842010.0,0.928102383938692,30.26,54.1,114.98,,-0.003397360072511013,0.5002874095413382,70.87532357413708,0.2501747948592199,0.7165886058203801,True,1.0071010959379267,,0.931,US,True,True,44.978112440799,86.85175895888267,95.75911789652247,76.62938092141817,33.610936952084195,21.901528013582343,67.22129783693843,57.85785785785785,50.0,65.2751423149905,50.0,73.16658604808576,standard,17,2956856596,False,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-0.0,0.06247293949127197,89.2
