ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_surprise_pct,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_total,company_type,rank,data_quality,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,predicted_return,ml_rank
COHR,Coherent Corp.,Technology,Scientific & Technical Instruments,United States,USD,74822260704.6253,182.11906,47.48248,0.92,7.0044503,11.333128,11.536,57.974,0.04718,0.03142,0.07102,0.13572,0.36990002,0.205,,11.183,31.093,3.05,1.709,-197631744.0,2423729920.0,3425114880.0,76162342912.0,,0.0,,,,,2.053,413.0,73.66000366210938,382.45001220703125,380.30658,1.6,21.0,1.32,0.045900002,0.04468,0.89419997,False,False,,7629418.0,7645040.0,1.0006123328369154,0.16600613477753434,0.7605764384708618,1.4411183805250047,,-0.07397091475295092,0.6951606426342131,64.97984029824201,0.28314988581213707,0.9974753389577913,True,0.8161669411223639,14.652055907182358,37.02815169862323,90.46337817638266,90.53303816871255,40.86342807170328,45.870736086175945,12.041884816753926,18.49173553719008,50.0,55.78860882892406,standard,353,0.875,6,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,VÄNTA,-0.04268815,1.0
AGI.TO,Alamos Gold Inc.,Basic Materials,Gold,Canada,CAD,23232486408.356728,16.081394,12.098762,0.99,3.6652575,11.209885,10.976,16.806,0.25885,0.120299995,0.51242,0.52405,0.70215,0.792,11.447,11.592,4.768,2.013,1.282,153624992.0,703900032.0,219700000.0,22748286976.0,0.29,0.0458,0.16,0.75,0.054,1773273600.0,1.289,75.7190192326029,33.03500559175481,55.31999969482422,83.02794,1.38462,10.0,3.6,,0.00279,0.69622004,False,False,,1004139.0,944090.0,1.290088097834155,-0.16611391696402988,-0.10137072851043916,0.18030186408310955,,-0.2694041701083646,0.48530818873338094,39.920360362618396,-0.09381603176811804,0.05248494842745677,True,0.28117861086430346,28.312087775519082,89.68780871104556,41.49476831091181,98.29444048440409,49.805439499826356,68.31238779174147,67.36474694589877,24.380165289256198,50.0,63.77275772486355,commodity,160,0.875,7,STARK,8,VARNING,False,3,0.42857142857142855,LÅG,VÄNTA,0.04012915,84.8
AUTO.L,Autotrader Group plc,Communication Services,Internet Content & Information,United Kingdom,GBp,5005987788418.655,14.793939,12.523729,,7.51077,6.4472566,6.98,10.75,0.51584,0.35672,0.47687998,0.62323004,0.78679,0.05,0.109,0.081,10.479,1.774,1.551,253475008.0,20200000.0,59100000.0,4302020608.0,2.22,0.3188,0.11,0.99,0.038,1767312000.0,0.685,11861.508943377798,5506.240093767119,6150.641518842895,653.875,2.6875,16.0,,,0.0046200003,0.77397,False,False,,5169716.0,4926437.0,0.1327924110421904,-0.023814917345789666,0.10468633038318531,-0.2830294082156187,-0.4609313304951683,-0.481462135365437,0.26314361374785156,44.04024458720497,0.00929436138220363,-0.21893456675622347,False,0.17826534973026667,78.35319926143576,95.79708668878393,23.918346227763266,44.887824776092934,68.62967725644846,9.874326750448834,67.36474694589877,82.74793388429752,50.0,63.75168834558277,standard,161,1.0,7,STARK,8,NEDTREND,True,4,0.5714285714285714,MEDEL,EJ AKTUELL,-0.015538257,3.6
CSU.TO,Constellation Software Inc.,Technology,Software - Application,Canada,CAD,55359483342.73682,54.3445,14.103969,0.4489,10.399133,4.5563364,4.826,24.188,0.19685,0.08007,0.06115,0.13769001,0.37407002,0.199,1.699,1.699,120.655,0.912,0.833,2751500032.0,3012999936.0,5560999936.0,58632482816.0,0.21,0.1141,5.47,0.19,1.386,1781827200.0,0.658,5116.719590603608,2194.724741788726,2612.340087890625,3956.4978,1.5,12.0,3.38,,0.021189999,0.39942002,False,False,,78893.0,56290.0,1.116306835140782,-0.007277208887290665,0.10913203405631866,-0.20216820899628907,,-0.4894502148040414,0.39262019636835993,61.85574682122767,0.036688027769996356,-0.2015672351213278,True,0.8373650656753102,57.46542418620341,55.49745840817998,33.18385650224215,88.1347921524668,33.3163300408895,51.70556552962297,67.36474694589877,73.34710743801654,50.0,55.54138303349835,standard,359,0.875,6,NEUTRAL,0,NEDTREND,True,2,0.2857142857142857,LÅG,EJ AKTUELL,0.01060262,34.3
SN.L,Smith & Nephew plc,Healthcare,Medical Devices,United Kingdom,GBp,11900178000924.865,20.87736,11.870724,1.1984,2.406211,1.5323862,1.982,9.146,0.11844,0.05268,0.1014,0.13987,0.68251,0.074,0.704,0.677,62.904,2.572,1.171,876625024.0,557000000.0,3327000064.0,12219350016.0,2.61,0.5272,0.29,2.57,0.1778,1774483200.0,0.672,18246.601080494755,13324.493706226349,13940.361881256104,1423.7848,2.23529,17.0,,,0.00225,0.71198,False,False,,2952264.0,3598928.0,0.04218181715044199,-0.10368487391615389,-0.13234383968561958,-0.1102879544283103,-0.009224149402839,-0.23600226585991035,0.28437278584330355,34.43840877988812,-0.06550448957602095,-0.1270092947545578,False,0.32406638308038954,84.8603873911461,57.025997621730745,30.221012171684816,70.64818084809131,61.31995063503122,6.373429084380611,67.36474694589877,88.22314049586777,50.0,63.49815760746552,standard,162,1.0,7,STARK,8,NEDTREND,True,4,0.5714285714285714,MEDEL,EJ AKTUELL,0.02741043,75.0
CI,The Cigna Group,Healthcare,Healthcare Plans,United States,USD,75463155982.84021,11.846761,8.503596,0.8623,1.7882575,0.2715557,0.355,7.374,0.16268998,0.04782,0.02263,0.054780003,0.09149,0.046,0.291,0.25,72.805,0.818,0.657,6923375104.0,7852000256.0,30900000768.0,98743156736.0,2.19,0.2582,6.24,1.65,1.56,1780531200.0,0.313,333.4664652825234,236.86723251240232,285.2699890136719,340.5,1.41667,24.0,4.26,0.026700001,0.01435,0.92379,False,False,,1704990.0,1867680.0,1.2135531451911745,0.03220318433160796,-0.015778537386082925,0.06593553455981827,,-0.14453170344435673,0.3267788596838783,52.01076532539606,0.03647628221199395,0.020027236095474743,True,0.512965685838861,87.51995099910343,33.383690811058656,51.808669656203286,56.52413559631359,46.45493148798971,45.601436265709154,67.36474694589877,87.60330578512396,50.0,55.484300864201316,standard,361,0.875,5,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,VÄNTA,0.0038956022,14.0
TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,United States,USD,21857336935.782852,10.945279,10.614819,13.3803,2.053011,2.9505444,2.657,6.722,0.18688999,0.10848,0.28278,0.37183997,0.51999,0.053,0.037,0.016,3.87,5.545,5.545,1880349952.0,3729799936.0,459600000.0,19684935680.0,5.1,0.5483,5.2,4.11,1.3,1781481600.0,1.532,113.6913890978115,85.22000122070312,102.01000213623047,,3.38462,,10.4,0.1265,0.01775,0.89607,False,False,,2332172.0,2042140.0,0.9371323411599365,0.06537861238883003,0.104193972519387,0.0002672235969507497,,-0.10274645295723528,0.24075808676381183,52.142390499119124,0.07512135310187107,0.028581880491091116,False,0.48881650846380603,91.97270774338443,78.83417870046488,60.23916292974588,38.74759938645638,68.94665772392614,69.47935368043088,67.36474694589877,93.18181818181817,50.0,63.4668853082158,holding,163,0.875,8,STARK,8,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,0.01249003,40.8
AZN.L,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,United Kingdom,GBp,265684931614336.7,27.694502,15.684832,1.5071,6.049257,3.4892092,3.931,11.882,0.23482999,0.08469,0.17188999,0.28166,0.81504995,0.125,0.053,0.056,71.815,0.909,0.701,6538874880.0,7674999808.0,34029000704.0,237564674048.0,1.73,0.477,2.36,2.1,1.595,1771459200.0,0.223,193207.77797317505,131086.0974384807,171315.8977508545,16576.744,1.58333,21.0,,,0.00044,0.63023996,False,False,,2595231.0,2335335.0,0.0626785744665066,-0.07207811843175316,-0.06551191572995063,0.02414251822754032,0.27597080834334964,-0.11330744782624658,0.25055633501463426,44.26467007733228,-0.03882932463524946,0.02588132782976027,True,0.3921778528952177,53.784742257059406,79.19318410145968,54.3426304637067,49.611998438230124,56.093503290829226,0.3590664272890485,67.36474694589877,50.82644628099173,50.0,55.45707484778935,standard,363,1.0,6,NEUTRAL,0,VARNING,False,2,0.2857142857142857,LÅG,VÄNTA,0.021289393,64.5
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,United States,USD,70520681692.51442,34.158916,21.808472,1.5683,1315.373,3.3912325,3.723,15.732,3.6357698,0.16098,0.10041001,0.20924,0.60063,0.084,-0.059,-0.064,1640.535,1.025,0.557,3319500032.0,1419000064.0,7973000192.0,77415686144.0,2.41,0.8062,2.12,2.32,0.53,1776643200.0,0.304,98.71650072566527,73.63863380274942,88.12999725341797,95.84211,2.0,19.0,3.12,0.0241,0.0014599999,0.8811,False,False,,5967068.0,5040810.0,0.9098844960913927,0.06048438996723071,-0.08267599605160858,0.1357016694793649,,-0.10724147831847652,0.20658969398076701,63.432820756489505,0.026110676248905618,0.06229180760033781,True,0.7801108745192749,60.567172062387364,76.73154280003037,53.213751868460385,35.37511520936666,49.743950334172546,47.57630161579892,67.36474694589877,68.80165289256198,50.0,55.45159106349499,standard,364,0.875,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.0044899303,15.5
ON,ON Semiconductor Corporation,Technology,Semiconductors,United States,USD,43977529171.316635,83.16912,26.518652,0.3414,6.070413,7.2534275,7.453,22.067,0.074939996,0.06827,0.09462,0.18232,0.42665002,0.047,,,44.337,4.873,2.797,1282174976.0,2403599872.0,3245799936.0,45189468160.0,,0.0,,,,,1.938,119.0999984741211,40.619998931884766,113.11000061035156,103.62069,2.18182,29.0,2.88,0.102,0.0033000002,1.09007,False,False,,9695186.0,15523790.0,0.797540330255586,0.4151132263041821,0.5664035735277229,1.2957174661955655,,-0.050293853404801525,0.5269376219057281,64.04997646310369,0.43784752548942407,0.8669776465479431,True,0.8437957375161174,43.422273215506294,51.67879533309618,92.52615844544096,40.68901303538175,42.95460702777612,56.104129263913826,12.041884816753926,52.27272727272727,50.0,63.414493380557936,standard,165,0.875,7,STARK,8,UPPTREND,False,1,0.14285714285714285,LÅG,VÄNTA,0.08940749,94.1
