ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,insider_recent_date,earnings_surprise,bb_position,exchange_group,_fundamentals_neutralized,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w
MTX.DE,MTU Aero Engines AG,Industrials,Aerospace & Defense,Germany,EUR,,-4.445008500000002,-0.53355,1.6319,1.1555035999999999,2.09834,2.107,-0.4202500000000011,0.07678499999999999,0.012280001999999998,0.03715001,0.013219990000000015,-0.19437,0.0665,-0.2975,-0.179,-10.206250000000004,0.18499999999999983,1.037,-328389984.0,2536999936.0,2556000000.0,19447873536.0,12721000000.0,,8763000000.0,,,1272000000.0,,1016000000.0,848000000.0,1.0,0.2087,3.6,0.92,3.6,1778198400.0,0.9,400.20867511616916,265.20001220703125,,404.65,2.55,20.0,,,0.0,0.73547995,False,False,,0.5,154140.0,102445.0,1.2867110625543567,,,,,,0.33913121656743184,40.37857167268434,,,False,,0.684,,Europe,True,True,,55.83731820845893,,39.82620927961072,50.695450711246764,,66.4010067114094,35.84905660377358,50.0,,50.0,43.36213304029247,standard,629,,True,51.3,False,47.23154362416108,50.041946308724825,63.00335570469798,50.041946308724825,50.041946308724825,50.041946308724825,2,SVAG,-8,UPPTREND,False,1,0.14285714285714285,LÅG,EJ AKTUELL,0.4
ALFA.ST,Alfa Laval AB (publ),Industrials,Specialty Industrial Machinery,Sweden,SEK,,1.949276499999998,6.571411000000001,2.9589,1.5389526,3.387555,3.621,-0.28174999999999883,0.021784990000000032,0.016025003499999996,0.04034999999999998,0.06176000000000004,-0.06267,-0.023500000000000007,-0.13649999999999998,0.007,-10.822250000000004,-0.3619999999999999,0.681,4036516416.0,4976999936.0,20991000576.0,255027953664.0,98161000000.0,,69675000000.0,,,11751000000.0,,8272000000.0,9166000000.0,1.56,0.4541,9.0,1.74,9.0,1776902400.0,0.782,592.2000122070312,414.3808271356773,,588.8823,2.41176,17.0,,,0.29624,0.55617,False,False,,0.5,487138.0,348124.0,0.7809942761936399,,,,,,0.21327590536864768,56.375821056318266,,,True,,0.244,,Nordic,True,True,,60.81193778236352,,27.910407911730815,55.899921534590966,,66.4010067114094,66.45702306079664,50.0,,50.0,51.308139988312305,standard,363,,True,48.2,False,47.23154362416108,50.041946308724825,42.533557046979865,50.041946308724825,50.041946308724825,50.041946308724825,4,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,EJ AKTUELL,2.2
BLK,"BlackRock, Inc.",Financial Services,Asset Management,United States,USD,,10.212436,5.15057,1.1261,0.13400505000000007,6.9306664,6.919,8.024999999999999,-0.017007504999999992,0.015030000000000002,-0.026225000000000026,-0.04993498750000003,0.01589999999999997,0.2015,0.01150000000000001,0.202,-46.034,0.8890000000000001,1.846,6668628096.0,13843000320.0,14968000512.0,188872704000.0,169998000000.0,,24216000000.0,,,7909000000.0,,5553000000.0,3927000000.0,1.96,0.5243,22.92,2.35,5.73,1788825600.0,1.425,1200.5442226097864,912.2493207582107,,1320.8125,1.52941,16.0,2.49,0.0119,0.01909,0.84453005,False,False,,0.614,752730.0,545760.0,1.2243219957227016,,,,,,0.2707180245098739,59.22700455595677,,,False,,0.927,,US,True,True,71.59954531330509,45.69929893166812,,69.46784144420138,54.320896276826204,,66.4010067114094,83.22851153039832,50.0,89.08045977011494,61.4,51.29176570426357,holding,364,,True,44.8,False,47.23154362416108,50.041946308724825,19.71476510067114,50.041946308724825,50.041946308724825,50.041946308724825,4,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,EJ AKTUELL,-1.0
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,United States,USD,,0.9179539999999982,3.1707335000000016,0.9097,-12.254051454999999,7.9964385,13.046,1.3044999999999982,,0.01833,-0.033780004999999974,0.06845500249999992,0.28169999999999995,-0.12200000000000001,-0.7215,-0.677,,-0.14900000000000002,0.429,126753280.0,1042000000.0,23403999232.0,54283923456.0,31518000000.0,,4264000000.0,,,2086000000.0,,444000000.0,3057000000.0,5.66,1.7347,4.25,4.92,1.063,1789430400.0,0.97,96.96786694869625,69.72000122070312,,95.07,2.04545,20.0,2.35,0.0275,0.00099,1.01758,False,False,,0.569,4099256.0,2150410.0,0.6581874889389423,,,,,,0.2967494080897773,47.21116991042309,,,True,,1.0,,US,True,True,60.34040536341502,64.19043374925727,,29.273194126370214,46.63346504396282,,28.22986577181208,50.41928721174004,50.0,64.9425287356322,56.89999999999999,43.269237550949185,standard,635,,True,44.2,False,47.23154362416108,50.041946308724825,15.939597315436242,50.041946308724825,50.041946308724825,50.041946308724825,2,SVAG,-8,UPPTREND,False,2,0.2857142857142857,LÅG,EJ AKTUELL,2.7
SPX.L,Spirax Group plc,Industrials,Specialty Industrial Machinery,United Kingdom,GBp,,2.8583964999999996,3.901212000000001,1.4742,1.0686696999999996,3.0076742,3.414,3.242749999999999,0.0,0.017005008000000002,0.018489999999999993,-0.003950004999999979,0.37725000000000003,-0.04950000000000001,0.4135000000000001,0.555,-5.1342500000000015,0.8829999999999998,1.405,-659125008.0,378300000.0,1085799936.0,5954880000.0,2661100000.0,,1702900000.0,,,265400000.0,,163400000.0,296200000.0,2.4,0.6334,1.72,1.75,0.504,1792022400.0,1.141,97881.24243157587,74909.90509986877,,8278.529,2.11765,17.0,,,0.0055,1.08851,False,False,,0.5,204928.0,224272.0,0.7978523447380086,,,,,,0.26545527286594106,38.53382473027675,,,False,,0.5,,UK,True,True,29.24156607313533,63.509550897591204,,52.93041205607794,59.28654630645926,,66.4010067114094,12.264150943396226,50.0,,50.0,43.24869006532182,standard,637,,True,48.7,False,47.23154362416108,50.041946308724825,45.88926174496644,50.041946308724825,50.041946308724825,50.041946308724825,3,SVAG,-8,UPPTREND,False,2,0.2857142857142857,LÅG,EJ AKTUELL,-1.8
AXP,American Express Company,Financial Services,Credit Services,United States,USD,,2.479904000000001,3.6085189999999994,1.5569,3.5621826499999996,3.1730888,3.361,,0.2039825,0.015580002000000003,-0.10570501000000002,-0.19752498750000003,0.16776000000000002,0.023500000000000007,-0.0745,0.078,103.154,-0.0050000000000000044,1.542,,45752000512.0,59092000768.0,238353235968.0,300052000000.0,,72230000000.0,,,,,10833000000.0,18428000000.0,1.14,0.2148,3.8,1.1,0.95,1782950400.0,1.055,384.3605136016448,289.2612224526533,,375.9556,2.3,25.0,3.91,0.0208,0.22558,0.64769,False,False,,0.22,2910617.0,2407440.0,0.8399340212272415,,,,,,0.26837985267298287,40.959003554529495,,,False,,0.71,,US,True,True,,50.6909842405455,,49.54881272067841,45.15533546178449,,66.4010067114094,,50.0,75.67049808429118,22.0,43.24841927651468,standard,638,,True,48.5,False,47.23154362416108,50.041946308724825,44.71476510067114,50.041946308724825,50.041946308724825,50.041946308724825,2,SVAG,-8,UPPTREND,False,1,0.14285714285714285,LÅG,EJ AKTUELL,-4.3
HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,United States,USD,24285019779.338654,-2.1916065000000007,-0.04944899999999919,2.1801,1.76557305,3.9020855,4.733,2.925749999999997,0.08619499,0.024970001999999998,0.04323998999999999,0.07638999000000002,-0.10223998000000001,0.05249999999999999,-0.1525,-0.016,68.77924999999999,0.22999999999999998,0.826,-413684192.0,394700000.0,5556599808.0,29458020352.0,8228800000.0,,5844600000.0,,,1208800000.0,,887100000.0,1029800000.0,1.21,0.33040002,5.68,1.51,1.42,1788134400.0,0.899,563.8055092962444,400.1887437138488,459.6600036621094,564.8182,1.92308,11.0,4.62,0.0583,0.00343,0.99030995,False,False,,0.1,580172.0,461157.0,0.5721361258244477,-2.96,-2.95,-9.89,,-0.18471885059110538,0.3174749245480635,27.45664458597176,-0.0662543750556851,-0.04959991590721602,False,,0.854,0.13196956066205429,US,True,True,47.470765926817464,65.10064268595305,36.1653805132066,49.72550608914542,49.71289534810228,91.1504424778761,66.4010067114094,37.42138364779874,50.0,34.2911877394636,10.0,43.218902735069136,standard,639,211975428,False,54.6,False,47.23154362416108,97.5251677852349,37.58389261744966,50.041946308724825,50.041946308724825,50.041946308724825,2,SVAG,-8,NEDTREND,True,2,0.2857142857142857,LÅG,EJ AKTUELL,-1.7
SYY,Sysco Corporation,Consumer Defensive,Food Distribution,United States,USD,,-2.261015999999998,-1.4653595000000017,1.5488,10.42173045,0.4642902,0.621,-0.6699999999999999,0.60651,0.016027495250000006,-0.061489997000000005,-0.080400003,-0.27065999,0.010000000000000002,-0.037,0.038,454.81125000000003,0.2865,0.729,1004503296.0,1787000064.0,15052000256.0,52522127360.0,28397000000.0,,84553000000.0,,,3095000000.0,,1757000000.0,2638000000.0,2.67,0.59290004,2.2,2.58,0.55,1790899200.0,0.636,90.5624908257144,67.2341471705827,,90.30769,2.4,13.0,3.61,0.030299999,0.0014599999,0.91094,False,False,,0.771,3306940.0,2096510.0,0.631412221005099,,,,,,0.26990894007828,38.47115793700494,,,False,,0.679,,US,True,True,,44.63804566501999,,46.85822301447852,50.22185955077836,,66.4010067114094,69.39203354297693,50.0,60.24904214559387,77.10000000000001,43.20198169222925,standard,640,,True,55.8,False,47.23154362416108,50.041946308724825,93.28859060402685,50.041946308724825,50.041946308724825,50.041946308724825,2,SVAG,-8,UPPTREND,False,1,0.14285714285714285,LÅG,EJ AKTUELL,-8.2
BX,Blackstone Inc.,Financial Services,Asset Management,United States,USD,,14.054516,6.0519719999999975,1.6936,9.636738949999998,10.992384,9.04,,0.17395252,0.12096000000000001,-0.039835010000000004,0.1428450125,0.54438,0.1815,0.38849999999999996,0.608,-1.0409999999999968,-0.6859999999999999,0.828,,2655296000.0,15296067584.0,139962138624.0,47708975000.0,,12410012000.0,,,,,3019214000.0,4663161000.0,3.64,1.1119,5.23,3.42,1.29,1785715200.0,1.546,182.6796063633474,99.778211592923,,142.57143,2.08696,21.0,4.22,0.0293,0.01052,0.73745,False,False,,0.458,4882406.0,3088480.0,0.6305263640416707,,,,,,0.364815480623337,59.60460384518235,,,False,,1.0,,US,True,True,,79.14764580380441,,83.07908453966485,21.099054630726158,,28.22986577181208,,50.0,61.97318007662835,45.800000000000004,51.18881153704087,holding,366,,True,43.5,False,47.23154362416108,50.041946308724825,10.822147651006711,50.041946308724825,50.041946308724825,50.041946308724825,5,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,EJ AKTUELL,-0.7
CER.L,Cerillion Plc,Technology,Software - Application,United Kingdom,GBp,,-6.190828,-0.7027779999999986,,0.40451517499999956,6.763478,6.094,0.6440000000000001,0.07663498999999999,0.08067000949999999,0.21729500199999996,0.077197495,0.41927,-0.3085,-0.733,-0.417,-64.35050000000001,3.277,4.534,-816224258.0,32467000.0,3999000.0,258726528.0,75265000.0,,45358000.0,,,20637000.0,,16618000.0,13228000.0,1.67,0.3326,0.16,0.84,0.055,1781136000.0,0.489,21567.708108204795,11472.634181976318,,1970.714,1.0,7.0,,,0.21233,0.59648,False,False,,0.5,114653.0,140855.0,6.045123293508953,,,,,,0.40360374162111895,61.87109504408403,,,True,,0.5,,UK,True,True,,84.90103555491922,,11.889345201009853,67.16041938793303,,66.4010067114094,,50.0,,50.0,51.15418449757973,standard,368,,True,44.9,False,47.23154362416108,50.041946308724825,20.721476510067113,50.041946308724825,50.041946308724825,50.041946308724825,4,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,EJ AKTUELL,4.4
