ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_fundamentals_neutralized,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,predicted_return,ml_rank,data_quality
6857.T,Advantest Corporation,Technology,Semiconductor Equipment & Materials,Japan,JPY,19092161546640.0,20.235462000000002,83.68970900000001,2.0344,19.1915756,16.916527,16.222,19.155,0.46974499749999993,0.25815999999999995,0.27365000399999995,0.39472,0.34956997999999995,0.27799999999999997,1.9940000000000002,2.171,-10.513499999999997,0.4560000000000002,1.722,208881881088.0,339966001152.0,20192000000.0,18307843358720.0,0.23,0.1149,60.0,0.82,30.0,1774828800.0,1.199,32400.0,7059.196376250661,26320.0,32795.0,1.75,20.0,,,0.00279,0.66100997,False,False,,0.5,9856965.0,8570910.0,0.97,,,,,,0.673,37.3,,,False,0.338942866971973,,1.0,Japan,True,True,51.665513502349356,94.22691536960785,,92.8282754272078,33.723550344604156,6.382978723404255,67.67304860088366,61.49532710280374,50.0,,50.0,66.62921972209936,standard,11,1466311283,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,0.48104947805404663,99.4,0.875
NVDA,NVIDIA Corporation,Technology,Semiconductors,United States,USD,5434223574783.325,-2.343474999999998,-5.002068999999999,0.6913,28.098276199999997,21.43754,21.26,13.452000000000002,0.9946199974999999,0.46392,0.520710004,0.513815005,0.28938995,0.718,1.935,2.106,-43.517,1.728,2.139,45519435520.0,53171998720.0,12814000128.0,5389154254848.0,0.45,0.0061000003,1.0,0.05,0.01,1780531200.0,2.244,236.5399932861328,135.36809645457458,224.36000061035156,296.81033,1.29508,58.0,1.92,0.0128,0.039839998,0.70852995,False,False,,0.5,166417685.0,184416790.0,0.47,14.27,23.91,,,-3.79,0.3614,54.7,12.64,,False,0.706546779422882,,0.889,US,True,True,50.40527701760726,95.64180530771348,60.0,89.68923842384501,43.454457688498245,11.094224924012158,67.67304860088366,56.26168224299065,50.0,86.9205298013245,50.0,66.29987806343864,standard,12,41375751117,False,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,STARK,0.012318519875407219,40.0,0.875
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,United States,USD,478214275121.43243,3.7415130000000048,2.695633000000001,1.6838,3.2159092000000005,7.8723583,8.142,9.972999999999999,0.10402999750000001,0.010020000000000001,0.087900004,0.10777501499999999,0.19090996999999998,-0.014000000000000012,0.161,0.354,17.468999999999994,-0.7879999999999998,0.704,8471937792.0,16640000000.0,33001000960.0,494575255552.0,1.38,0.55,1.68,2.79,0.42,1783296000.0,0.912,121.94999694824219,61.2990526353425,121.33000183105469,125.40818,1.88462,22.0,2.53,0.015,0.00054000004,0.82842004,False,False,,0.5,23402146.0,26345160.0,0.38,37.55,58.41,,,0.0,0.3671,82.4,34.21,,True,0.7586424911612193,,0.85,US,True,True,62.29896215211441,68.32079639063991,95.03937007874015,60.82589297421394,43.276393725882386,22.492401215805472,67.67304860088366,69.34579439252336,50.0,82.11920529801324,50.0,66.24625816773302,standard,13,3196458311,False,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,-0.00985307339578867,9.3,0.875
AAPL,Apple Inc.,Technology,Consumer Electronics,United States,USD,4498883980502.197,0.3368719999999996,9.153464000000003,2.4621,35.623480199999996,9.965585,10.001,9.116,1.2664498975,0.19894000000000003,0.16257002399999998,0.18060500499999999,0.026559999999999973,0.032,0.008000000000000007,0.194,29.476,-0.6429999999999998,0.906,100274308864.0,68507000832.0,84710998016.0,4515088039936.0,0.35,0.1259,1.08,0.5,0.27,1778457600.0,1.065,315.0,194.29916455806153,306.30999755859375,310.507,1.97917,43.0,2.84,0.0095,0.01632,0.65818,False,False,,0.5,44378274.0,46706890.0,0.24,12.83,18.98,,,-0.14,0.223,73.5,12.44,,True,0.6891054099644708,,0.911,US,True,True,66.54262405122114,83.3434795847302,78.30708661417322,59.48041368522321,49.61087667561317,11.702127659574469,67.67304860088366,74.57943925233644,50.0,92.54966887417218,50.0,65.85819842566103,standard,14,14306787362,False,6,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,0.014870697632431984,50.5,0.875
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,United States,USD,12638133266.410065,-10.525911,-2.990365999999998,2.56,3.0776072,5.320219,5.064,-1.3350000000000009,0.285985005,0.159365,0.22790999699999998,0.21678749750000004,0.51238,0.022000000000000006,0.329,0.319,-50.22650000000001,1.22925,3.01,-187318144.0,777206976.0,169540992.0,12030467072.0,,0.0,,,,,0.385,52.959999084472656,33.7599983215332,50.279998779296875,49.64706,2.1,17.0,10.6,0.16379999,0.01822,1.0751799,False,False,,0.5,2674020.0,2439490.0,0.24,11.03,17.63,,,-4.68,0.3588,48.0,6.09,,False,0.6337270574052306,,1.0,US,True,True,,92.29434270553845,55.31496062992126,71.93884808172439,68.04308469634954,83.58662613981764,12.076583210603829,30.8411214953271,50.0,7.6158940397351,50.0,65.54840191290062,standard,15,122657554,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,0.00942065566778183,30.1,0.875
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",Financial Services,Financial Data & Stock Exchanges,Brazil,BRL,81426244347.5,10.640703,7.725655500000002,1.21,3.5904114500000004,7.7154274,7.774,8.842,0.12058251500000003,0.062229997999999995,0.25939499000000005,0.32679499999999995,0.65486,0.14200000000000002,0.256,0.335,0.3610000000000042,0.2450000000000001,1.859,2865900160.0,14980616192.0,15579192320.0,82045812736.0,3.73,0.66120005,0.61,3.01,0.07434,1775001600.0,0.203,20.329999923706055,11.671482586327329,16.25,20.03571,2.0,14.0,,,0.0,0.84528,False,False,,0.5,36804539.0,35809140.0,0.29,-8.11,-5.26,,,-16.58,0.4029,49.1,-7.21,,False,0.20394568022349688,,0.655,LatAm,True,True,76.29467651159187,89.46261242598861,19.921259842519685,66.67006631268626,70.66678361740482,49.39209726443769,67.67304860088366,88.03738317757009,50.0,,50.0,65.27268352339156,standard,16,104741734,False,7,STARK,8,VARNING,False,5,0.7142857142857143,HÖG,OK,-0.019971204921603203,6.4,0.875
BHP,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining,Australia,USD,231730282393.2472,-4.179278,0.7335895000000034,5.95,1.5583046000000005,4.2922554,8.963,3.9499999999999993,0.129959987,0.075055006,0.08018498999999998,0.25641249499999996,0.37878999999999996,0.020000000000000004,-0.14199999999999996,0.277,-4.472999999999999,-0.18199999999999983,1.232,7320687360.0,13509000192.0,29195999232.0,483868934144.0,2.92,0.5464,2.66,7.08,1.46,1772755200.0,0.797,91.44999694824219,44.85666350667274,91.22000122070312,68.07143,3.125,7.0,6.29,0.0061000003,5e-05,0.04302,False,False,,0.1,3049353.0,2474380.0,0.41,20.0,21.96,,,0.0,0.3532,60.8,16.76,,True,0.9037201592466177,,0.5,US,True,True,67.581194815924,83.0079961462144,88.42519685039369,42.033810131468776,45.57382670926023,29.331306990881462,67.67304860088366,66.35514018691589,50.0,93.70860927152319,10.0,65.05950122127744,standard,17,225712947,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-0.009695623070001602,9.6,0.875
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,United States,USD,965042506031.1392,11.282792999999998,8.924563000000003,1.4507,27.4813282,13.357175,13.884,14.161000000000001,0.950705005,0.14644501000000001,0.226929997,0.29915749750000004,0.37625999999999993,0.47700000000000004,1.592,1.681,80.03049999999999,-0.53175,0.721,8340162304.0,5281999872.0,43370000384.0,1003130519552.0,0.64,0.22129999,6.92,0.89,1.73,1778803200.0,0.481,1149.0999755859375,619.3983893784804,1082.199951171875,1215.1034,1.74194,29.0,2.44,0.0095,0.00156,0.85323995,False,False,,0.5,3098657.0,3244310.0,0.2,10.3,6.39,,,-5.41,0.3849,65.1,11.05,,True,0.7977353932858542,,1.0,US,True,True,49.646357205555844,93.65494265362169,45.669291338582674,93.34970982363575,43.36470735556219,18.237082066869302,67.67304860088366,55.887850467289724,50.0,92.54966887417218,50.0,64.88213109859085,standard,18,3510992124,False,7,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.013811396434903145,47.4,0.875
6861.T,Keyence Corporation,Technology,Scientific & Technical Instruments,Japan,JPY,18999419154240.0,11.624066000000003,14.927468999999999,3.0886,0.6669156000000003,16.248693,15.361,13.567,,,0.321800034,0.46401000000000003,0.53639996,0.044999999999999984,0.04400000000000001,0.254,,8.463000000000001,9.963,,1493889056768.0,0.0,17961477734400.0,0.69,0.2996,550.0,0.5,275.0,1789603200.0,0.985,84170.0,51271.96903921346,78340.0,83256.25,1.6875,16.0,,,0.22763,0.37528,False,False,,0.5,845955.0,777670.0,0.76,,,,,,0.4591,51.8,,,False,0.522354205065488,,0.75,Japan,True,True,,97.1588026382547,,59.26976299322358,55.02365176535867,6.5349544072948325,67.67304860088366,,50.0,,50.0,64.01953627019155,standard,19,395997341,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,0.40472930669784546,96.8,0.625
MFC.TO,Manulife Financial Corporation,Financial Services,Insurance - Life,Canada,CAD,87199529356.5,-2.163013000000001,-1.0736605000000008,0.776,-0.3016141000000001,2.7225182,2.637,0.06300000000000061,0.004237500000000005,-0.011980000000000005,-0.028855009999999973,-0.17721501000000006,0.11523,0.06,1.483,1.142,-7.6205,28.424,8.905,4610462656.0,30281000960.0,23491999744.0,84461527040.0,3.54,0.5202,1.85,4.58,0.485,1780012800.0,0.761,54.83157328222352,39.52700836906697,52.25,55.38,2.06667,15.0,5.2,,0.00016000001,0.54323,False,False,,0.5,6224869.0,9419970.0,0.38,2.56,13.27,,,-1.87,0.217,45.1,3.82,,False,0.3307063106433517,,0.543,Canada,True,True,95.13050549904477,34.02456951435305,57.874015748031496,71.33584081535531,81.04774479120849,47.264437689969604,67.67304860088366,93.45794392523365,50.0,,50.0,64.0142883711175,standard,20,359301206,False,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,0.01222372055053711,39.4,0.875
