ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,_fundamentals_neutralized,data_quality,data_anomaly,data_fetched_date,data_stale_days
MSAB-B.ST,Micro Systemation AB (publ),Technology,Software - Application,Sweden,SEK,1572156360.0,-5.319509500000001,7.68706225,,6.125998500000001,3.253491,3.112,-2.3272500000000003,0.41168500499999994,0.1280400025,0.03754999999999999,-0.04245498800000003,0.4869599799999998,0.369,,,14.225750000000001,-0.13924999999999987,1.495,-897068552.0,145300000.0,73300000.0,1590119936.0,318067000.0,,461784000.0,,,67843000.0,,49172000.0,101888000.0,1.39,0.3989,1.2,4.0,0.6,1794441600.0,0.38,93.0,52.984103917886436,90.0,96.0,,2.0,,,0.2339,0.559,False,False,,0.5,15306.0,19607.0,1.95,5.3,48.65,,,0.0,0.4784,76.9,17.32,,True,1.2292935466730288,,0.52,Nordic,True,,77.63502649468884,96.96983163615124,67.44457025489783,55.682080721858085,96.43874643874643,67.01732673267327,,50.0,,50.0,76.02698580016197,standard,1,184519,False,51.1,False,31.715481171548117,97.53138075313808,40.0,50.04184100418409,50.04184100418409,50.04184100418409,4,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,9.3,True,0.875,EXTREME_EARNINGS_GROWTH;,2026-08-03,0
6861.T,Keyence Corporation,Technology,Scientific & Technical Instruments,Japan,JPY,19680914786400.0,15.323613500000004,20.2604743125,2.5383,1.6880680499999992,15.684077,14.547,,,,0.296985002,0.430105008,0.566705055,0.17500000000000002,0.2905,0.51,,9.80775,11.111,,1426593939456.0,0.0,18254315651072.0,3670655000000.0,,1169289000000.0,,,595759000000.0,,445185000000.0,430680000000.0,0.68,0.2996,550.0,0.51,275.0,1789603200.0,1.01,84170.0,51271.96903921346,81150.0,92250.0,1.625,16.0,,,0.22763,0.37662998,False,False,,0.5,752277.0,910160.0,0.83,,,,,,0.4922,58.6,,,True,0.9228452862435665,,1.0,Japan,True,,97.38309738309738,,80.60125022319808,53.31890732986432,6.1253561253561255,67.01732673267327,,50.0,,50.0,70.38945038011732,standard,3,470496544,False,31.7,False,31.715481171548117,2.5523012552301254,6.02510460251046,50.04184100418409,50.04184100418409,50.04184100418409,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,15.5,True,0.625,,2026-08-03,0
V,Visa Inc.,Financial Services,Credit Services,United States,USD,623926788975.0828,11.217836000000002,8.764107000000001,1.6622,14.691547049999999,15.365538,15.364,9.596499999999999,0.43931249999999994,0.16544999999999999,0.24885749725000006,0.27797121525,0.496600015,0.06449999999999999,-0.0445,0.068,0.6477499999999949,-0.734,0.627,19323627648.0,13792000000.0,23857999872.0,683516821504.0,99627000000.0,,40000000000.0,,,26556000000.0,,20058000000.0,23059000000.0,0.73,0.22129999,2.68,0.7,0.67,1786406400.0,0.754,373.9700012207031,293.2820187246287,366.1300048828125,412.15817,1.36585,38.0,2.42,0.014199999,0.00081,0.89377,False,False,,0.281,8250536.0,7213070.0,1.0126064586017516,4.29,11.23,10.8,,-0.020964238608175867,0.220036318018685,58.39679437155836,0.07544601585942923,0.1112837069192758,True,0.8233722443108168,,0.862,US,True,70.3821399839099,95.41621027979184,73.83500199134988,53.58123338914092,62.94217618454126,22.22222222222222,67.01732673267327,82.46753246753246,50.0,86.73469387755102,28.1,70.15257777133715,standard,4,2640921354,False,47.5,False,85.43933054393305,17.656903765690377,6.192468619246862,50.04184100418409,50.04184100418409,50.04184100418409,6,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,OK,-2.9,True,0.875,,2026-08-03,0
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,United States,USD,3450799509641.9067,-10.263484499999999,-2.378926250000001,1.3931,0.48133500000000073,10.399017,10.556,-1.0832500000000005,0.15437003,0.07392,0.29553251675000003,0.30743874475,0.19879001500000007,0.023999999999999994,0.0975,0.313,-20.993750000000006,-0.4827499999999999,1.098,15283126400.0,76651003904.0,128812998656.0,3502961590272.0,758376000000.0,,331839000000.0,,,155237000000.0,,133749000000.0,182935000000.0,0.81,0.1983,3.64,0.79,0.91,1787184000.0,1.13,550.2351530342114,349.20001220703125,464.7200012207031,561.5792,1.33333,53.0,1.99,0.0124,0.00088,0.75714,False,False,,0.743,40187128.0,41653750.0,0.92,26.61,18.64,,,0.0,0.3893,81.5,22.18,,True,1.277472777055357,,0.948,US,True,,88.11338686979326,88.74880737739113,64.30623935335511,30.857684686219482,14.245014245014245,67.01732673267327,53.08441558441559,50.0,88.62973760932945,74.3,69.15044256080448,standard,6,19357330751,False,42.8,False,68.6192468619247,11.297071129707113,9.623430962343097,50.04184100418409,50.04184100418409,50.04184100418409,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,10.9,True,0.875,SUSPICIOUS_FWD_PE;,2026-08-03,0
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,India,INR,7099305728246.877,5.951641000000002,0.0,,1.3697191999999998,15.208426,23.053,,,,0.15963999999999998,0.23042001999999995,0.50441998,0.1815,0.12550000000000003,0.274,287.5605,,,,47410601984.0,3683091742720.0,10761386590208.0,5599523600000.0,,496654500000.0,,,,,190173900000.0,-657898000000.0,0.47,0.1658,5.4,0.38,6.0,1782777600.0,0.353,1151.5,783.0862114062364,1141.199951171875,1108.2222,2.0,36.0,,,0.56486,0.27493,False,False,,0.5,9651748.0,11897363.0,1.11,12.04,19.26,,,0.0,0.3373,78.0,17.38,,True,1.3048634161376784,,0.191,India,True,,90.64779064779064,89.69220360380623,52.802073894902705,48.037799516410075,10.541310541310542,67.01732673267327,,50.0,,50.0,69.02355911034556,standard,7,142428374,False,32.5,False,31.715481171548117,7.531380753138076,6.443514644351464,50.04184100418409,50.04184100418409,50.04184100418409,4,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,11.1,True,0.75,SUSPICIOUS_FWD_PE;,2026-08-03,0
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,62885997412475.0,4.576151999999999,0.818468250000004,0.9087,5.947111299999999,14.1619425,13.6,4.5440000000000005,0.27014752999999997,0.14112,0.37453000000000003,0.4625975695,0.26725998,0.207,0.5545,0.774,8.626999999999999,0.6852500000000002,2.131,729828172288.0,3518013112320.0,982447030272.0,60391489011712.0,7932842500000.0,,3809054300000.0,,,1936095600000.0,,1697604000000.0,2274975600000.0,0.99,0.2785,24.0,1.69,7.0,1789516800.0,1.246,2535.0,1110.2015380859375,2425.0,3117.263,1.31429,35.0,,,0.00022,0.43088,False,False,,0.5,33599321.0,36658811.0,0.93,,,,,,0.3878,50.3,,,False,0.6375757814138872,,0.95,Asia,True,64.74758648431214,93.00707637306974,,83.01208741066354,55.4039903640673,2.2792022792022792,67.01732673267327,63.798701298701296,50.0,,50.0,68.82025644043959,standard,8,2738091618,False,42.5,False,73.89121338912133,2.5523012552301254,7.1966527196652725,50.04184100418409,50.04184100418409,50.04184100418409,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,3.1,True,0.875,SUSPICIOUS_FWD_PE;,2026-08-03,0
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,USD,,-15.6228605,-16.990173749999997,0.1285,1.9046815,,10.079,-5.78025,0.4803599999999999,0.28174,0.45154251675,0.66002877475,0.24504001499999997,3.304,13.4655,13.983,-43.78175,1.71225,2.927,6559126656.0,26022000640.0,6376000000.0,909878427648.0,82798000000.0,,37378000000.0,,,9809000000.0,,8539000000.0,17525000000.0,0.06,0.0112,0.53,0.33,0.15,1783296000.0,2.142,1254.8069810301963,103.21433303891678,823.030029296875,1507.381,1.42222,42.0,0.69,0.0321,0.00262,0.80994004,False,False,,0.416,53445673.0,49547190.0,0.58,-16.38,42.88,,,-32.13,0.9699,39.2,-14.81,,False,0.18355112375745872,,1.0,US,True,,94.26475928963116,48.449409221013376,98.07774720003586,30.37147955203673,,25.433168316831683,58.27922077922077,50.0,57.7259475218659,41.6,67.90499140969898,standard,9,40778825237,False,45.5,False,31.715481171548117,50.04184100418409,50.04184100418409,50.04184100418409,50.04184100418409,50.04184100418409,6,NEUTRAL,0,VARNING,False,2,0.2857142857142857,LÅG,OK,13.2,True,0.875,SUSPICIOUS_FWD_PE;,2026-08-03,0
7974.T,"Nintendo Co., Ltd.",Communication Services,Electronic Gaming & Multimedia,Japan,JPY,8852913341195.0,4.961747000000002,3.9797335625000003,3.8688,0.9517636999999994,3.827375,2.869,8.224499999999999,0.025042495000000088,0.0245050025,0.07804500249999999,0.0028999835000000224,0.12304500499999994,0.8899999999999999,0.5179999999999999,0.567,,2.4705,3.11,238329989120.0,2216856125440.0,0.0,6636870041600.0,3805312000000.0,,2313051000000.0,,,360117000000.0,,424056000000.0,289789000000.0,2.85,0.60080004,219.0,2.64,177.0,1774828800.0,0.127,14463.938568521302,6544.0,7679.0,10137.878,1.88462,25.0,,,0.00733,0.5149,False,False,,0.5,10871775.0,12238040.0,0.7,,,,,,0.446,62.1,,,True,0.8093643632699984,,1.0,Japan,True,75.1438053097345,64.89799826097685,,87.22496982341829,71.56124625526654,9.544159544159545,67.01732673267327,87.5,50.0,,50.0,67.87123692524254,standard,10,598641340,False,49.7,False,83.76569037656904,6.94560669456067,34.81171548117155,50.04184100418409,50.04184100418409,50.04184100418409,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,OK,-3.0,True,0.75,,2026-08-03,0
MA,Mastercard Incorporated,Financial Services,Credit Services,United States,USD,498289863079.34875,11.598836000000002,9.262684000000002,1.7598,,14.792459,14.982,11.401499999999999,2.1481725,0.22466999999999998,0.19979749725,0.22502125525000002,0.519350015,0.0785,0.0655,0.184,214.88575,-0.738,0.564,15067751552.0,8218999808.0,18959998976.0,508484452352.0,54157000000.0,,32791000000.0,,,19514000000.0,,14968000000.0,17648000000.0,0.62,0.1823,3.48,0.54,0.87,1783555200.0,0.729,598.0433279933587,463.74259988972767,573.0999755859375,648.1053,1.36585,38.0,2.28,0.010299999,0.00114,0.91405,False,False,,0.432,3722876.0,3133970.0,0.54,8.08,14.15,,,-0.37,0.2463,68.3,11.66,,True,0.969296414574281,,0.907,US,True,69.96379726468221,95.22336766759437,59.73896529332168,63.87757889479151,40.1687932070261,23.646723646723647,67.01732673267327,83.76623376623377,50.0,92.12827988338192,43.2,67.29748525454889,standard,11,1796078130,False,47.6,False,85.02092050209204,18.91213389121339,6.694560669456067,50.04184100418409,50.04184100418409,50.04184100418409,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-2.8,True,0.75,,2026-08-03,0
POW.TO,"POWER CORPORATION OF CANADA, SV",Financial Services,Insurance - Life,Canada,CAD,,3.6880082500000038,0.008308500000000052,0.9648,-0.2887671999999999,,2.265,0.96225,-0.02654248399999999,-0.020640000000000006,-0.18522,-0.2694324775,0.12946000000000002,0.009499999999999995,-0.2365,-0.097,1.1640000000000015,73.928,19.495,152228092352.0,15180000256.0,21976000512.0,91271454720.0,925735000000.0,,37649000000.0,,,,,2627000000.0,4780000000.0,2.79,0.6305,2.67,4.86,0.668,1790640000.0,,97.66000366210938,53.359386604715716,95.80000305175781,90.77778,2.77778,9.0,3.74,,0.0061500003,0.43225,False,False,,0.5,2073756.0,2033920.0,1.04,6.75,27.49,40.98,,0.0,0.2302,72.0,9.32,,False,1.2016744801149168,,0.598,Canada,True,97.0172968624296,27.897055611104452,93.49510013169204,31.541946266343437,92.01969528056485,,67.01732673267327,99.02597402597402,50.0,,50.0,67.20898760825696,standard,12,138697756,False,45.5,False,31.715481171548117,50.04184100418409,50.04184100418409,50.04184100418409,50.04184100418409,50.04184100418409,3,SVAG,-8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,1.8,True,0.75,SUSPICIOUS_FWD_PE;,2026-08-03,0
