ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,data_quality,data_anomaly,data_fetched_date,data_stale_days,_fundamentals_neutralized
DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,India,INR,,38.55203,15.068241999999989,,3.1177666250000007,19.561464,19.274,14.733999999999995,,,0.13556249500000006,0.17418996000000003,0.41568996,0.19100000000000003,0.511,0.655,-25.987750000000005,,,,32330000384.0,70000000.0,2164492468224.0,200330000000.0,,104760000000.0,,,29790000000.0,,25680000000.0,27380000000.0,0.36,0.3101,30.0,0.62,30.0,1784851200.0,0.22,8585.0,5613.352076705792,,8152.276,2.68966,29.0,,,0.52,0.29999,False,False,,0.5,446222.0,730024.0,0.61,18.1,25.67,,,-0.36,0.2298,81.6,19.39,,True,,,0.838,India,True,,85.43771043771044,87.8513488021128,78.68050556201698,87.68211488250653,,67.52941176470588,,50.0,,50.0,79.25466923285764,standard,1,,True,39.7,False,36.97654941373534,50.041876046901166,2.554438860971524,50.041876046901166,50.041876046901166,50.041876046901166,4,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,17.3,0.75,,2026-08-12,0,True
MSAB-B.ST,Micro Systemation AB (publ),Technology,Software - Application,Sweden,SEK,,-6.6378084999999984,6.343296749999993,,1.8932868750000003,3.2173407,3.076,-3.6330000000000027,0.373150005,0.12655499999999995,-0.012974992000000019,-0.1132025205,0.52596997,0.358,,,10.566625,-0.03499999999999981,1.495,-784614504.0,145300000.0,73300000.0,1571651968.0,318067000.0,,461784000.0,,,67843000.0,,49172000.0,101888000.0,1.34,0.3989,1.2,4.0,0.6,1794441600.0,0.414,95.19999694824219,53.37512753821798,,96.0,,2.0,,,0.2339,0.56333,False,False,,0.5,17419.0,33497.0,0.15,9.16,34.42,,,-0.88,0.4776,71.6,13.78,,True,,,0.52,Nordic,True,,69.64107149374111,86.39579153161496,68.40573152337859,59.42292868902896,,67.52941176470588,1.3409961685823755,50.0,,50.0,70.56387889970557,standard,2,,True,45.7,False,36.97654941373534,50.041876046901166,42.79731993299832,50.041876046901166,50.041876046901166,50.041876046901166,4,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-0.2,0.875,EXTREME_EARNINGS_GROWTH;,2026-08-12,0,True
APP,AppLovin Corporation,Communication Services,Advertising Agencies,United States,USD,106027853867.91992,2.498858499999997,-3.2284760000000023,1.088,26.21361199999999,17.059849,17.062,6.470999999999998,1.81216,0.40118000400000003,0.5302149405,0.593825005,0.39359000999999993,0.467,0.5159999999999999,0.545,28.775999999999982,3.232,4.166,1703601536.0,3053306112.0,3515072000.0,116518731776.0,7259610000.0,,5480717000.0,,,4151914000.0,,3333764000.0,3971094000.0,,0.0,,,,,2.529,745.6099853515625,332.1919860839844,346.79998779296875,569.5,1.5,30.0,2.13,0.043,0.14382,0.74218005,False,False,,0.61,5856353.0,8482420.0,0.9,,,,,,0.7429,32.0,,,False,-0.04563679134110073,,0.883,US,True,68.49103042297835,97.17565559245608,,82.15497313083121,43.51248939814738,46.56488549618321,12.352941176470589,70.88122605363985,50.0,41.37931034482759,61.0,69.90818146002601,standard,3,2941703152,False,48.7,False,86.51591289782245,24.87437185929648,5.611390284757118,50.041876046901166,50.041876046901166,50.041876046901166,9,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,8.3,0.875,SUSPICIOUS_FWD_PE;,2026-08-12,0,True
V,Visa Inc.,Financial Services,Credit Services,United States,USD,617740851575.0,11.354350499999999,7.125053000000001,1.6714,9.556925549999999,15.213195,15.214,8.964999999999998,0.41790001,0.16207999999999995,0.24407250149999998,0.28244749,0.4862000099999999,0.04949999999999999,-0.09950000000000002,0.068,-9.387500000000008,-0.6074999999999999,0.627,18927646080.0,13792000000.0,23857999872.0,676844994560.0,99627000000.0,,40000000000.0,,,26556000000.0,,20058000000.0,23059000000.0,0.72,0.22129999,2.68,0.7,0.67,1786406400.0,0.759,373.9700012207031,293.2820187246287,362.5,415.38947,1.375,37.0,2.42,0.0139,0.00081,0.88995004,False,False,,0.494,8205303.0,7441970.0,0.7134087652427853,4.11,13.06,10.59,,-0.03067091259529653,0.21912667346976525,52.19168074833619,0.05291163742411964,0.09807529514982027,False,0.5278064421166848,,0.862,US,True,75.63294511684553,93.16568072188304,72.08381821285047,48.47641183403655,53.16549561235746,21.755725190839694,67.52941176470588,85.0574712643678,50.0,84.77011494252874,49.4,69.79922614330212,standard,4,2697714125,False,47.7,False,89.44723618090453,12.311557788944723,6.61641541038526,50.041876046901166,50.041876046901166,50.041876046901166,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-1.0,0.875,,2026-08-12,0,True
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,United States,USD,1057346667674.6113,8.125253499999996,4.4190935000000025,1.5593,23.21259695,13.2722435,13.843,8.506,0.839687508,0.13340500899999996,0.2219549765,0.359424995,0.34294004999999994,0.39,0.11600000000000002,0.253,93.86449999999999,-0.41600000000000015,0.679,9589545344.0,8949999616.0,54907998208.0,1102848983040.0,112476000000.0,,65179000000.0,,,29696000000.0,,20640000000.0,16813000000.0,0.58,0.2169,6.92,0.89,1.73,1786665600.0,0.506,1249.449951171875,619.3984502312096,1185.7099609375,1297.3077,1.71429,26.0,3.34,0.0115,0.00155,0.85014,False,False,,0.475,3045070.0,3184770.0,0.64,5.42,22.96,,,-1.66,0.3569,58.4,4.58,,False,0.634686094651487,,1.0,US,True,61.478013752505646,92.86749614629986,78.19622369707258,76.3766621672482,47.08338409056893,19.46564885496183,67.52941176470588,63.984674329501914,50.0,86.20689655172413,47.5,69.62723136642573,standard,5,3776213512,False,45.3,False,79.5644891122278,11.222780569514237,8.12395309882747,50.041876046901166,50.041876046901166,50.041876046901166,6,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,OK,-0.3,0.875,,2026-08-12,0,True
MA,Mastercard Incorporated,Financial Services,Credit Services,United States,USD,489464834152.8256,11.449357499999998,7.3914529999999985,1.7527,78.36248955,14.056659,14.428,9.997,2.218020010000001,0.21160999999999996,0.1996425015,0.23221752999999995,0.50895001,0.046499999999999986,0.01949999999999999,0.186,362.37450000000007,-0.5315000000000001,0.666,15484895616.0,11608999936.0,24643000320.0,506178797568.0,54157000000.0,,32791000000.0,,,19514000000.0,,14968000000.0,17648000000.0,0.6,0.17930001,3.48,0.54,0.87,1783555200.0,0.735,598.0432666718583,463.74259988972767,562.9500122070312,664.3947,1.36585,38.0,2.28,0.0104,0.00112,0.91147006,False,False,,0.475,3598146.0,3407810.0,0.73,4.35,12.52,,,-2.76,0.2451,69.3,7.19,,True,0.6427006335462385,,0.907,US,True,75.58321280860673,94.20633472419904,63.106017732503304,59.360291464688046,42.175785992250255,23.66412213740458,67.52941176470588,86.97318007662835,50.0,87.93103448275862,47.5,68.7409086671113,standard,6,1918426681,False,48.2,False,89.9497487437186,13.484087102177556,7.537688442211055,50.041876046901166,50.041876046901166,50.041876046901166,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-0.6,0.875,,2026-08-12,0,True
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,United States,USD,222323956604.0039,-6.759569500000001,-4.0839645,2.1139,8.262267949999998,5.8359694,6.969,-2.5629999999999997,0.731557508,0.016504998999999985,0.11617500650000001,0.172685015,0.22786001000000006,0.008000000000000007,0.503,0.659,422.07450000000006,-0.40000000000000013,0.95,7169270144.0,13989000192.0,57303998464.0,265485025280.0,90586000000.0,,36751000000.0,,,9080000000.0,,7711000000.0,9958000000.0,2.49,0.6087,10.08,3.07,2.52,1787270400.0,0.413,418.3999938964844,264.0224916487972,410.95001220703125,374.68967,2.47059,29.0,4.66,0.0238,0.0021600001,0.84912,False,False,,0.451,2731166.0,3152540.0,0.7,16.62,24.13,,,-0.7,0.2531,77.3,13.46,,True,0.9840365722869604,,0.98,US,True,,78.63850120172883,83.31575517483836,74.30501281909791,47.01566475694733,34.35114503816794,67.52941176470588,83.9080459770115,50.0,63.793103448275865,45.1,68.51494101134932,standard,7,1295536351,False,51.5,False,90.87102177554439,18.174204355108877,23.785594639865998,50.041876046901166,50.041876046901166,50.041876046901166,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,10.7,0.875,SUSPICIOUS_FWD_PE;,2026-08-12,0,True
MMM,3M Company,Industrials,Conglomerates,United States,USD,94325626921.58017,-1.5846544999999992,-5.32901275,1.7715,20.716918149999998,3.7460535,4.06,-4.136500000000002,0.6061199719999999,0.02037999399999999,0.014635014500000001,0.07214500499999996,-0.09696999,-0.068,0.21600000000000003,0.29,353.58200000000005,-0.027000000000000246,0.811,4873770368.0,5303000064.0,13159999488.0,102235627520.0,37733000000.0,,24948000000.0,,,4791000000.0,,3250000000.0,2306000000.0,1.73,0.5364,3.12,3.88,0.78,1779408000.0,1.08,184.89999389648438,138.62307999597104,182.89999389648438,181.84647,2.22222,17.0,3.2,0.0212,0.00097000005,0.78108,False,False,,0.635,3846041.0,3407400.0,0.83,16.96,28.54,,,0.0,0.2653,69.3,11.16,,True,0.8012355007456197,,0.902,US,True,,63.9042776216602,95.31134777314743,56.26388381878946,42.15943627247177,50.38167938931297,67.52941176470588,90.80459770114942,50.0,70.6896551724138,63.5,66.51345271445325,standard,8,623213439,False,55.8,False,94.72361809045226,26.549413735343386,37.77219430485762,50.041876046901166,50.041876046901166,50.041876046901166,4,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.1,0.875,SUSPICIOUS_FWD_PE;,2026-08-12,0,True
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,61459717058790.0,2.4376485000000008,0.4617892500000025,0.9002,4.336643275000004,13.840743,13.279,1.491999999999999,0.2662300325,0.13516000000000003,0.33734750300000005,0.43662006,0.25578999999999996,0.19599999999999998,0.499,0.774,7.81425,0.6180000000000004,2.131,685666084864.0,3518013112320.0,982447030272.0,58965228519424.0,7932842500000.0,,3809054300000.0,,,1936095600000.0,,1697604000000.0,2274975600000.0,1.01,0.2785,24.0,1.69,7.0,1789516800.0,1.258,2535.0,1120.0699462890625,2370.0,3126.7485,1.31429,35.0,,,0.00022,0.42984,False,False,,0.5,33422562.0,36041854.0,0.64,-1.02,6.91,,,-3.78,0.388,50.7,1.42,,True,0.5276965164061166,,0.95,Asia,True,74.74943543680698,90.26198933766176,52.41035139167567,83.71788716929981,55.82198865809649,2.2900763358778624,67.52941176470588,67.04980842911877,50.0,,50.0,66.31214160334785,standard,9,2652605215,False,44.4,False,81.23953098827471,2.554438860971524,7.872696817420436,50.041876046901166,50.041876046901166,50.041876046901166,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,2.3,0.875,SUSPICIOUS_FWD_PE;,2026-08-12,0,True
6857.T,Advantest Corporation,Technology,Semiconductor Equipment & Materials,Japan,JPY,23308590302220.0,26.243957,103.72194675,1.4964,15.883582175000003,18.914598,18.664,14.643749999999999,0.3266399999999999,0.168430004,0.24897750300000007,0.3185974795,0.26847999999999994,0.229,0.6779999999999999,0.938,2.6980000000000004,0.24950000000000006,1.77,10698326016.0,413124001792.0,108165996544.0,22999522607104.0,1171816000000.0,,1128610000000.0,,,499120000000.0,,375353000000.0,335182000000.0,0.19,0.11399999,60.0,0.79,30.0,1774828800.0,1.185,35940.0,9711.253449554897,32190.0,37757.145,1.61905,21.0,,,0.00279,0.65912,False,False,,0.5,9070670.0,11169560.0,0.67,19.88,20.74,,,-3.76,0.7994,61.2,16.06,,True,0.7581359741279137,,1.0,Japan,True,46.19040369440003,90.3060512795559,68.97883761211436,88.35870021987724,48.424831825514296,6.488549618320611,67.52941176470588,49.808429118773944,50.0,,50.0,66.07696734039533,standard,10,2256597207,False,43.8,False,81.99329983249581,2.554438860971524,2.554438860971524,50.041876046901166,50.041876046901166,50.041876046901166,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,5.3,0.875,,2026-08-12,0,True
