ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,predicted_return,ml_rank,data_quality,data_anomaly,data_fetched_date,data_stale_days,_fundamentals_neutralized
CABK.MC,"CaixaBank, S.A.",Financial Services,Banks - Regional,Spain,EUR,80025116359.65244,-0.6003140000000036,-1.9968644999999974,0.94,-1.192598325,5.1772733,5.61,,-0.00763999999999998,-0.0089749995,0.13179124749999999,0.18205005099999994,-0.3903,-0.034,-0.049000000000000016,0.069,,,,,47705001984.0,54319001600.0,86713679872.0,4.35,0.96769994,0.5,4.99,0.3321,1775520000.0,0.132,11.744999885559082,6.8459697700088995,11.489999771118164,11.85952,2.28571,21.0,,,0.49707,0.24625999,False,False,,0.5,9768426.0,7983068.0,1.25,8.53,25.26,,,0.0,0.2715,55.9,8.4,,False,0.6566579029704529,,0.974,Europe,True,,52.100819026257035,89.04958677685951,47.76518161402096,81.56562114240825,53.17164179104478,67.47311827956989,,50.0,,50.0,63.35713475256713,standard,32,106200596,False,2,SVAG,-8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,-3.4,0.014884465374052525,71.2,0.75,SUSPICIOUS_FWD_PE;,2026-06-12,0,True
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,United States,USD,252006607134.90308,14.186159375000003,11.324509749999997,2.0252,32.886659224999995,19.24205,19.333,17.690000000000005,0.7431999599999999,0.13791500024999997,0.243342485,0.26735001,0.10476994999999999,-0.019000000000000003,-0.094,0.103,49.58900000000001,1.3792499999999996,1.963,1473646080.0,4957938176.0,6145359872.0,253194043392.0,0.48,0.2152,9.2,0.95,2.3,1779062400.0,1.504,2156.68994140625,794.6484067425279,1929.199951171875,1855.138,1.93333,29.0,3.26,0.2889,0.00097000005,0.93779,False,False,,0.407,988739.0,938910.0,0.41,32.49,74.38,,,0.0,0.5914,75.5,34.51,,True,0.5552874132384281,,0.878,US,True,50.52700353135562,88.4121911864152,95.76446280991735,45.73478809226863,40.84727119314898,31.529850746268657,67.47311827956989,59.188544152744626,50.0,11.260504201680671,40.699999999999996,63.24559851655384,standard,33,1811345126,False,4,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,7.3,0.07415193319320679,88.6,0.875,,2026-06-12,0,True
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,United States,USD,105999563843.80292,15.612121375000001,14.859226749999998,3.2641,96.96624322499999,14.909567,14.526,18.144,1.11736,0.06095501025000001,0.16163250499999998,0.16802001,0.29334994999999997,0.067,0.07399999999999998,0.233,1.4990000000000094,-0.4937500000000001,1.034,396509056.0,3294899968.0,567200000.0,103271866368.0,,0.0,,,,,1.109,150.07000732421875,70.12000274658203,144.67999267578125,107.86111,2.72093,36.0,3.28,0.0324,0.17386,0.72477996,False,False,,0.388,6169761.0,6596610.0,0.42,19.36,72.15,,,-2.82,0.4682,61.3,33.48,,True,0.7917901349971177,,1.0,US,True,47.749543731573766,87.83489188429391,69.67975206611571,68.43480817062976,43.91123074296236,47.01492537313433,11.827956989247312,55.60859188544153,50.0,52.10084033613446,38.800000000000004,62.82156377720317,standard,34,954397486,False,8,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,16.9,-0.0016679177060723305,53.6,0.875,,2026-06-12,0,True
WDC,Western Digital Corporation,Technology,Computer Hardware,United States,USD,176380740496.07455,-9.878427624999999,1.632809749999999,0.4553,14.103523225000004,14.976711,14.848,18.929000000000002,0.65264995,0.07157500025,0.439582505,0.22528999,-0.05541003,0.321,4.617,5.163,-38.00099999999999,-0.15675000000000006,1.107,658459136.0,3236999936.0,1724000000.0,174867742720.0,0.12,0.0269,0.6,3.23,0.15,1780617600.0,2.2,602.3829346800377,54.452432032486115,511.7200012207031,529.56525,1.52,23.0,3.82,0.097399995,0.0054400004,1.01182,False,False,,0.415,7830826.0,6214290.0,0.6,16.29,98.74,,,-4.26,0.7647,63.1,26.61,,False,0.5108363925922851,,0.997,US,True,47.310986079763275,82.56829617814873,68.28512396694215,94.06893906758077,17.65599402132357,37.12686567164179,33.87096774193548,55.36992840095465,50.0,19.747899159663866,41.5,62.791445192599014,standard,35,3179976486,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,11.4,0.08772403746843338,90.8,0.875,SUSPICIOUS_FWD_PE;,2026-06-12,0,True
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,United States,USD,24135699819.712204,-8.767446874999997,-2.006869750000001,2.6978,3.8643984000000002,3.0620668,3.169,-6.2364999999999995,0.331920005,0.09703501024999998,0.050107502499999956,0.046225015000000036,-0.04907002999999999,-0.027999999999999997,-0.07200000000000001,0.0,-5.193999999999988,0.013749999999999929,0.449,-531078784.0,651601024.0,1493564032.0,24977664000.0,1.48,0.30719998,3.04,1.73,0.76,1776384000.0,1.512,221.11895684026743,150.00362411609612,204.97999572753906,207.0,2.27273,19.0,6.26,0.056399997,0.01143,0.99053,False,False,,0.419,1283342.0,1341800.0,0.82,28.93,23.26,,,0.0,0.3663,75.3,17.07,,True,0.7587931653075353,,0.924,US,True,,71.6706680223815,88.01652892561984,42.6134235404772,36.3774134019047,76.30597014925374,67.47311827956989,31.26491646778043,50.0,29.411764705882355,41.9,62.54272134107983,standard,36,275042158,False,3,SVAG,-8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,-1.7,0.015352415852248669,71.4,0.875,SUSPICIOUS_FWD_PE;,2026-06-12,0,True
CFR.SW,Compagnie Financière Richemont SA,Consumer Cyclical,Luxury Goods,Switzerland,CHF,87953077693.46127,6.365229499999997,5.279198000000002,2.3263,0.244509525,4.317768,4.158,1.2604999999999986,-0.027852495000000005,0.005975003499999992,0.06921875000000002,0.07052999100000001,0.25359,-0.029999999999999992,-0.387,-0.271,-8.00549999999999,1.8612499999999996,2.027,1927217408.0,17234999296.0,13514999808.0,93216227328.0,1.4,0.5459,2.3,1.81,3.3,1789516800.0,1.063,180.0,125.46450898117243,164.64999389648438,183.73705,1.76923,26.0,,,0.0058399998,0.51864,False,False,,0.5,948077.0,1173314.0,1.33,14.28,25.59,,,0.0,0.3291,83.5,14.67,,True,0.7199756000423287,,0.5,Europe,True,81.15282022484044,63.18404417794379,89.35950413223141,18.550014302950288,57.26317679932458,51.11940298507462,67.47311827956989,79.47494033412887,50.0,,50.0,62.523412667762656,standard,37,242537710,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.1,-0.05961566045880318,1.3,0.875,,2026-06-12,0,True
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,United States,USD,134760128260.4065,-0.08126637500000022,13.117243749999993,111.8553,-4.1606059150000005,14.445253,18.527,0.6370000000000005,-0.06165000500000002,-0.01539499825,0.13277750499999996,-0.001489979999999974,0.24630995000000003,0.02600000000000001,0.4165,0.656,-37.043499999999995,-0.04674999999999996,0.317,3437769472.0,871209984.0,35310190592.0,173708148736.0,2.96,1.0302,4.28,2.75,1.07,1781568000.0,1.334,147.92999267578125,100.89201466274896,144.5399932861328,152.3,1.95652,20.0,3.7,0.0154,0.00263,0.9814,False,False,,0.608,3490584.0,3455120.0,0.29,4.2,11.76,,,0.0,0.2064,55.4,4.73,,False,0.6293761493276074,,0.668,US,True,82.95931921511031,53.14508325926852,78.82231404958678,64.6236565228565,52.2742540832904,41.97761194029851,28.9426523297491,78.75894988066825,50.0,80.25210084033614,60.8,62.35800057266929,standard,38,499403022,False,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,2.9,-0.007351921871304512,40.7,0.875,,2026-06-12,0,True
CPG.L,Compass Group PLC,Consumer Cyclical,Restaurants,United Kingdom,USD,701999104808.451,5.836416000000003,6.118078499999999,1.656,3.60766287,1.1506089,1.33,4.584749999999998,0.09773001000000002,0.0,-0.06436249749999999,-0.12631003000000005,0.24950997000000003,0.035,0.048,0.163,37.188250000000004,-0.857,0.622,1504943792.0,523000000.0,9130999808.0,64477188096.0,2.09,0.5592,0.69,2.93,0.255,1781740800.0,0.666,420.0491124523469,242.27800369262695,412.86464927696215,38.2777,1.8,20.0,,,0.00121,0.75698996,False,False,,0.5,4038401.0,3638780.0,0.89,2.61,50.18,,,0.0,0.6657,72.2,13.27,,False,0.8021895167287931,,0.5,UK,True,77.04899620946229,51.097240559594276,93.59504132231405,46.246384522990034,36.809596662576034,21.828358208955223,67.47311827956989,82.33890214797135,50.0,,50.0,61.9744939626413,standard,39,1502323628,False,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,4.8,-0.011798271909356117,30.7,0.875,,2026-06-12,0,True
RY.TO,Royal Bank of Canada,Financial Services,Banks - Diversified,Canada,CAD,376053031973.26025,-5.113634250000002,0.4439249999999997,2.5563,-0.7255434925000003,5.72231,1.156,,0.01596000500000001,-0.01884999975,0.09174999400000002,0.09100749250000001,-0.38747501,0.1,0.14,0.256,,,,,794214006784.0,483078995968.0,75986878464.0,2.6,0.41349998,7.04,3.51,1.64,1785110400.0,0.94,272.3500061035156,168.29205787754913,270.6000061035156,265.4643,2.0,14.0,2.15,,0.00027000002,0.49355,False,False,,0.5,3719739.0,3325120.0,0.51,10.64,25.42,,,0.0,0.1481,75.0,11.37,,True,0.8968595590456506,,0.945,Canada,True,,48.27554636326836,89.25619834710744,70.16244662250661,73.40576254068006,27.425373134328357,67.47311827956989,,50.0,,50.0,61.86264256197358,standard,40,643751214,False,1,SVAG,-8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-6.0,0.03451788052916527,79.6,0.75,SUSPICIOUS_FWD_PE;,2026-06-12,0,True
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,United States,USD,2160815517382.2163,0.9739661250000005,4.926359749999999,1.451,1.4358700000000004,10.637208,10.495,10.193999999999999,0.15635247000000002,0.07885000125000001,0.2519225,0.17074001999999996,0.09398994999999999,0.157,0.7194999999999999,0.812,-63.088499999999996,0.8067500000000001,1.707,26505209088.0,126839996416.0,95875997696.0,4434145312768.0,0.24,0.0641,0.88,,0.21,1780876800.0,1.237,408.6099853515625,161.63563852290417,368.5299987792969,431.19302,1.44444,53.0,3.02,0.014099999,0.01175,0.80747,False,False,,0.48,28843477.0,33104990.0,0.43,-9.81,18.38,,,-10.16,0.298,35.7,-0.17,,False,0.16197663177644664,,1.0,US,True,55.946392509638336,82.77604743506438,47.72727272727273,86.07673659882238,52.008601386309614,16.044776119402986,67.47311827956989,60.14319809069213,50.0,83.61344537815127,48.0,61.8101469925439,standard,41,12200181924,False,5,NEUTRAL,0,VARNING,False,3,0.42857142857142855,LÅG,VÄNTA,6.4,0.02229124680161476,75.0,0.875,,2026-06-12,0,True
