ticker,name,current_price,day_change_pct,week_change_pct,avg_volume,market_cap,ev_to_ebitda,price_to_book,debt_to_equity,current_ratio,total_cash,total_debt,free_cash_flow,operating_cashflow,book_value,gross_margin,operating_margin,revenue_growth,earnings_growth,return_12m,return_6m,shares_change_pct,piotroski_score,insider_pct,insider_net_buy_6m,insider_buy_count,insider_sell_count,insider_signal,sc_insider,sc_fcf,sc_piotroski,sc_growth,sc_balance,sc_valuation,sc_momentum,sc_liquidity,sc_composite,sc_bonus,sc_penalty,sc_total,sc_rank,sc_stars,sector_signal,sector_adjustment,sector
CX.ST,CombinedX AB (publ),32.1,0.01582278481012658,-0.0880682449326029,13046,625266240,1.721,1.052114,13.125,2.435,351300000.0,78000000.0,159687504.0,102000000.0,30.51,0.27522,0.32945,0.426,16.708,-0.236072138466783,-0.08073311309789111,,7,0.55732,0,0,0,N/A,57.71929824561404,98.24561403508771,85.0,95.08771929824562,59.82456140350878,70.17543859649122,50.877192982456144,33.33333333333333,73.06578947368422,8.0,0.0,86.06578947368422,1,★★★★★,UPPTREND,5,Mjukvara & SaaS
TAGM-B.ST,TagMaster AB (publ),34.7,-0.038781163434903,-0.12373732070681331,28114,508269152,8.106,1.8390927,24.596,1.833,48356000.0,71681000.0,66606124.0,96715000.0,18.868,0.70459,0.096370004,-0.084,0.194,1.3367003280511125,0.9277778201633029,,7,0.69316,0,0,0,N/A,62.631578947368425,89.47368421052632,85.0,45.08771929824561,51.2280701754386,42.10526315789473,98.24561403508771,66.66666666666666,67.57631578947368,6.0,0.0,78.57631578947368,2,★★★★,UPPTREND,5,Industri & Verkstad
MAGI.ST,MAG Interactive AB (publ),7.38,0.0,0.02216071037379086,46998,195872576,-25.114,0.66140884,10.356,2.882,84998000.0,30670000.0,6065125.0,56194000.0,11.158,0.56347,-0.02303,0.079,,-0.2619999885559082,-0.07518795779429477,,5,0.57289004,0,0,0,N/A,58.421052631578945,61.40350877192983,55.0,59.29824561403508,69.73684210526315,91.22807017543859,45.614035087719294,24.561403508771928,60.94824561403508,11.0,0.0,76.94824561403507,3,★★★★,UPPTREND,5,Övrigt
EOLU-B.ST,Eolus Aktiebolag (publ),36.75,-0.0013586956521738358,-0.09371145027266858,57245,913913728,-1.988,0.68874395,40.315,6.443,1000000000.0,564000000.0,954249984.0,797000000.0,53.358,0.01338,0.33858,-0.683,0.822,-0.251855355682741,-0.10365853658536583,,7,0.15201001,0,0,0,N/A,33.859649122807014,98.24561403508771,85.0,38.59649122807018,65.17543859649122,89.47368421052632,43.859649122807014,84.21052631578947,66.29736842105262,5.0,0.0,76.29736842105262,4,★★★★,UPPTREND,5,Industri & Verkstad
CANTA.ST,Cantargia AB (publ),1.879,0.022306855277475477,-0.00896628634335006,1328310,467141280,1.204,1.9968119,,8.09,258034000.0,0.0,90059248.0,158088992.0,0.941,1.0,-72.61811,,,0.614261076529494,-0.6596014574285917,,5,0.14375,0,0,0,N/A,33.15789473684211,94.73684210526315,55.0,46.666666666666664,52.28070175438596,77.19298245614034,82.45614035087719,85.96491228070175,62.69912280701754,8.0,0.0,80.69912280701755,5,★★★★,STARK UPPTREND,10,MedTech & Life Science
CTM.ST,Catena Media plc,2.865,0.003502626970227752,0.012367521828358763,202941,216737648,9.847,2.8171093,,4.468,13654000.0,0.0,18860624.0,8880000.0,1.017,0.38551998,0.99894994,0.258,,0.6656976522562505,0.6793669749035094,,7,0.26545,0,0,0,N/A,40.87719298245614,77.19298245614034,85.0,69.82456140350877,46.75438596491228,29.82456140350877,94.73684210526315,45.614035087719294,61.53245614035088,8.0,0.0,74.53245614035089,6,★★★★,UPPTREND,5,Mjukvara & SaaS
MEKKO.HE,Marimekko Oyj,10.32,0.0,-0.03189494910456603,38665,417767840,12.057,5.3974895,39.922,3.103,32700000.0,30900000.0,29587500.0,37500000.0,1.912,0.60763,0.12319,0.045,0.245,-0.12777787808287722,-0.14033793517530946,,7,0.25234,0,0,0,N/A,40.17543859649123,71.9298245614035,85.0,72.63157894736841,57.45614035087719,19.298245614035086,54.385964912280706,29.82456140350877,56.52894736842106,11.0,0.0,72.52894736842106,7,★★★★,UPPTREND,5,Övrigt
PRIC-B.ST,Pricer AB (publ),4.35,0.03571428571428559,0.26086952014771714,312079,710808896,4.968,0.6546275,30.779,2.297,336300000.0,343000000.0,92250000.0,193300000.0,6.645,0.24629,0.05962,0.084,,-0.12121210661655413,0.035714310042713304,,7,0.21416001,0,0,0,N/A,36.66666666666667,87.71929824561403,85.0,60.35087719298245,52.280701754385966,56.14035087719298,68.42105263157895,75.43859649122807,64.17105263157893,3.0,0.0,72.17105263157893,8,★★★★,UPPTREND,5,Mjukvara & SaaS
ALCA.ST,Alcadon Group AB (publ),31.2,-0.0063694267515923345,0.06484647014856093,30348,764744000,10.769,0.96936554,45.925,1.656,83000000.0,362300000.0,162475008.0,143900000.0,32.186,0.27234,0.05268,-0.104,0.309,0.36244547085900236,0.2734694188954878,,7,0.35071,0,0,0,N/A,46.49122807017544,98.24561403508771,85.0,44.91228070175439,38.94736842105263,24.561403508771928,92.98245614035088,64.91228070175438,61.91140350877193,3.0,0.0,69.91140350877194,9,★★★,UPPTREND,5,Mjukvara & SaaS
BEGR.ST,BE Group AB (publ),28.3,0.021660649819494636,0.02909088134765625,10899,551137024,-28.487,0.5561451,70.03,1.713,37000000.0,694000000.0,55250000.0,51000000.0,50.886,0.11807,0.011360001,0.011,,-0.26967743904359875,0.055970150847083344,,6,0.53608,0,0,0,N/A,55.6140350877193,80.7017543859649,70.0,52.98245614035088,34.56140350877193,94.73684210526315,52.63157894736842,21.052631578947366,61.61578947368421,3.0,0.0,69.6157894736842,10,★★★,UPPTREND,5,Tjänster & Konsult
