ticker,name,current_price,day_change_pct,week_change_pct,avg_volume,market_cap,ev_to_ebitda,price_to_book,debt_to_equity,current_ratio,total_cash,total_debt,free_cash_flow,operating_cashflow,book_value,gross_margin,operating_margin,revenue_growth,earnings_growth,return_12m,return_6m,shares_change_pct,piotroski_score,insider_pct,insider_net_buy_6m,insider_buy_count,insider_sell_count,insider_signal,sc_insider,sc_fcf,sc_piotroski,sc_growth,sc_balance,sc_valuation,sc_momentum,sc_liquidity,sc_composite,sc_bonus,sc_penalty,sc_total,sc_rank,sc_stars,sector
TAGM-B.ST,TagMaster AB (publ),35.8,0.01704545454545438,0.06886224946063146,21005,524381408.0,7.955,2.048758,34.013,1.59,69373000.0,94000000.0,57499124.0,80135000.0,17.474,0.69871,0.06098,0.106,,1.926229616481431,1.2312500476837158,,7,0.69316,0,0,0,N/A,79.64285714285714,89.28571428571429,85.0,66.42857142857143,40.35714285714286,42.857142857142854,98.21428571428571,21.428571428571427,69.90357142857141,6.0,0.0,75.90357142857141,1,★★★★,Industri & Verkstad
CANTA.ST,Cantargia AB (publ),3.37,-0.011730205278592386,-0.014367802310988553,1672401,837821248.0,3.59,3.152479,,9.797,281820000.0,0.0,195990368.0,150134000.0,1.069,1.0,-3.9172502,,,1.24183015091273,0.047328234160671334,,5,0.16965,0,0,0,N/A,31.42857142857143,98.21428571428571,55.0,55.714285714285715,54.01785714285714,60.71428571428571,92.85714285714286,92.85714285714286,63.63214285714286,8.0,0.0,71.63214285714287,2,★★★★,MedTech & Life Science
ALCA.ST,Alcadon Group AB (publ),34.3,0.0,-0.03380283839266063,36246,840728192.0,11.499,1.0656806,45.925,1.656,83000000.0,362300000.0,162475008.0,143900000.0,32.186,0.27234,0.05268,-0.104,0.309,0.5879628995972581,0.5176990556683321,,7,0.38303003,0,0,0,N/A,55.0,98.21428571428571,85.0,54.285714285714285,40.0,28.57142857142857,82.14285714285714,53.57142857142857,63.721428571428575,3.0,0.0,66.72142857142858,3,★★★★,Mjukvara & SaaS
FERRO.ST,Ferroamp AB (publ),3.11,0.06689536878216118,-0.04517133308516019,265332,335555616.0,-24.515,1.6080661,7.731,2.445,16308000.0,16136000.0,-34005000.0,-51484000.0,1.934,0.33011,-0.07116,0.458,,0.5717948627033023,0.7564470193954538,,3,0.73773,0,0,0,N/A,79.64285714285714,32.142857142857146,15.0,80.35714285714286,65.35714285714286,78.57142857142857,85.71428571428571,28.57142857142857,58.589285714285715,8.0,0.0,66.58928571428572,4,★★★★,Övrigt
ENRO.ST,Eniro Group AB (publ),0.63,-0.018691588785046745,0.009538922543243844,2123451,458644480.0,5.284,1.5403422,10.703,0.941,175000000.0,35000000.0,18687500.0,80000000.0,0.409,0.29874,-0.00415,0.017,,0.44977168903167697,0.4767441393040923,,3,0.69263,0,0,0,N/A,76.42857142857143,75.0,15.0,62.142857142857146,42.142857142857146,57.14285714285714,78.57142857142857,57.14285714285714,57.92857142857142,8.0,0.0,65.92857142857142,5,★★★★,Övrigt
UPSALE.ST,Upsales Technology AB (publ),30.0,0.01694915254237288,0.006779686879303526,88202,505151296.0,14.328,27.54821,12.399,0.792,42822000.0,2638000.0,18551500.0,39736000.0,1.089,0.60078,0.08765,0.155,-0.053,-0.06430350033031962,-0.032573289092786784,,5,0.54107,0,0,0,N/A,74.28571428571429,71.42857142857143,55.0,57.14285714285714,37.767857142857146,17.857142857142858,39.285714285714285,78.57142857142857,54.61785714285715,11.0,0.0,65.61785714285715,6,★★★★,Mjukvara & SaaS
CTM.ST,Catena Media plc,2.39,-0.004166666666666578,-0.022000026702880815,222980,180803840.0,13.341,1.3052977,,4.468,13654000.0,0.0,12440625.0,8880000.0,1.831,0.38551998,0.14037,0.258,,0.18115942613222047,0.12672804022132267,,7,0.26545,0,0,0,N/A,42.142857142857146,78.57142857142857,85.0,77.14285714285714,45.17857142857143,21.428571428571427,64.28571428571429,5.357142857142857,56.982142857142854,8.0,0.0,64.98214285714286,7,★★★,Mjukvara & SaaS
SAFETY-B.ST,mySafety Group AB,19.84,0.009155645981688694,-0.01005019394093798,38785,446008928.0,7.338,3.3017142,62.189,1.011,60176000.0,84307000.0,42990500.0,43201000.0,6.009,0.45202,-0.09052,0.056,,0.9103962086812314,0.28205680735584826,,4,0.42949,0,0,0,N/A,65.71428571428572,85.71428571428571,40.0,64.28571428571428,29.642857142857146,46.42857142857143,89.28571428571429,25.0,58.31428571428571,6.0,0.0,64.31428571428572,8,★★★,Mjukvara & SaaS
SINT.ST,SinterCast AB (publ),104.0,0.004830917874396135,0.004901960784313708,5448,732400128.0,26.218,9.624283,,4.276,10500000.0,0.0,16712500.0,28600000.0,10.806,0.70444,0.252,-0.077,-0.329,0.05285876237874376,-0.009661835748792313,,7,0.48555002,0,0,0,N/A,72.14285714285714,67.85714285714286,85.0,20.357142857142854,43.57142857142857,10.714285714285714,53.57142857142857,5.357142857142857,50.84285714285714,11.0,0.0,61.84285714285714,9,★★★,Industri & Verkstad
ACTI.ST,Active Biotech AB (publ),0.0654,0.04807692307692312,0.17081854237348582,30032470,172398784.0,-2.355,3.1142857,3.12,4.67,65099000.0,1735000.0,-7028000.0,-32399000.0,0.021,0.0,0.0,,,-0.10960751873483288,-0.18260864172952684,,4,0.39591998,0,0,0,N/A,57.14285714285714,32.142857142857146,40.0,55.714285714285715,84.10714285714286,64.28571428571429,35.714285714285715,64.28571428571429,52.90714285714286,8.0,0.0,60.90714285714286,10,★★★,MedTech & Life Science
