ticker,name,current_price,day_change_pct,week_change_pct,avg_volume,market_cap,ev_to_ebitda,price_to_book,debt_to_equity,current_ratio,total_cash,total_debt,free_cash_flow,operating_cashflow,book_value,gross_margin,operating_margin,revenue_growth,earnings_growth,return_12m,return_6m,shares_change_pct,piotroski_score,insider_pct,insider_net_buy_6m,insider_buy_count,insider_sell_count,insider_signal,sc_insider,sc_fcf,sc_piotroski,sc_growth,sc_balance,sc_valuation,sc_momentum,sc_liquidity,sc_composite,sc_bonus,sc_penalty,sc_total,sc_rank,sc_stars,sector_signal,sector_adjustment,sector,predicted_return,ml_rank
TAGM-B.ST,TagMaster AB (publ),35.9,0.0056022408963584,-0.0027777353922525,21910,525846208.0,8.062,1.9026924,34.013,1.59,69373000.0,94000000.0,57499124.0,80135000.0,18.868,0.69871,0.06098,0.106,,2.59000015258789,1.316129130701865,,7,0.69316,0,0,0,,60.36363636363635,90.9090909090909,85.0,66.18181818181819,43.72727272727272,49.09090909090909,98.1818181818182,61.81818181818181,69.83000000000001,6.0,0.0,75.83000000000001,1,★★★★,NEUTRAL,0,Industri & Verkstad,-0.014411570504307747,5.5
MAGI.ST,MAG Interactive AB (publ),7.54,-0.013089005235602,0.0134408472934781,49773,199769680.0,-26.115,0.67183465,10.892,3.325,84308000.0,32388000.0,7102500.0,54683000.0,11.223,0.56942004,0.01926,-0.006,,-0.0621890550214333,-0.1509009161394877,,6,0.57289004,0,0,0,,58.18181818181818,67.27272727272727,70.0,42.18181818181819,69.90909090909092,89.0909090909091,49.09090909090909,29.09090909090909,62.17272727272727,11.0,0.0,83.17272727272727,2,★★★★,STARK UPPTREND,10,Övrigt,-0.0031751692295074463,14.5
CTM.ST,Catena Media plc,2.47,-0.0119999999999999,0.0040650367106456,209800,186855840.0,8.54,2.4287121,,4.468,13654000.0,0.0,18860624.0,8880000.0,1.017,0.38551998,0.99894994,0.258,,0.1990291734073928,0.3351351333935823,,7,0.26545,0,0,0,,38.54545454545454,87.27272727272727,85.0,72.72727272727272,48.13636363636363,45.45454545454545,80.0,45.45454545454545,63.81,8.0,0.0,81.81,3,★★★★,STARK UPPTREND,10,Mjukvara & SaaS,0.06492099165916443,80.0
CANTA.ST,Cantargia AB (publ),3.11,0.0571040108769543,-0.0716417959310559,1624912,773182208.0,2.865,3.3049946,,8.09,258034000.0,0.0,90059248.0,158088992.0,0.941,1.0,-72.61811,,,0.9103193212627338,-0.0985507675039489,,5,0.16965,0,0,0,,34.18181818181818,92.72727272727272,55.0,47.63636363636364,53.04545454545455,69.0909090909091,90.9090909090909,98.1818181818182,63.1790909090909,8.0,0.0,71.1790909090909,4,★★★★,NEUTRAL,0,MedTech & Life Science,0.09161185473203659,87.3
MEKKO.HE,Marimekko Oyj,10.4,0.015625,0.011695895017749,47177,421006336.0,12.047,5.679956,39.922,3.103,32700000.0,30900000.0,29512500.0,37500000.0,1.831,0.60763,0.12319,0.045,0.229,-0.1184133931078712,-0.1184133931078712,,7,0.25234,0,0,0,,37.81818181818181,78.18181818181819,85.0,77.45454545454544,59.09090909090909,25.454545454545453,41.81818181818181,41.81818181818181,58.13545454545454,11.0,0.0,79.13545454545454,5,★★★★,STARK UPPTREND,10,Övrigt,0.0041548204608261585,18.2
ALCA.ST,Alcadon Group AB (publ),33.3,0.0121580547112461,0.0060423194005831,39074,816217152.0,11.147,1.0346112,45.925,1.656,83000000.0,362300000.0,162475008.0,143900000.0,32.186,0.27234,0.05268,-0.104,0.309,0.6323529343016556,0.4799999660915799,,7,0.38303003,0,0,0,,44.36363636363636,98.1818181818182,85.0,47.27272727272728,43.36363636363637,30.909090909090907,92.72727272727272,76.36363636363637,63.66636363636364,3.0,0.0,76.66636363636364,6,★★★★,STARK UPPTREND,10,Mjukvara & SaaS,0.058431584388017654,74.5
ADTR.ST,Adtraction Group AB,38.9,0.0025773195876289,-0.0126903548384785,10459,646017920.0,9.406,3.070972,,1.192,123546488.0,0.0,80387368.0,68807704.0,12.667,0.08149,0.0125899995,0.032,,0.2811892968310754,0.5477454266320259,,5,0.76807,0,0,0,,64.72727272727273,94.54545454545456,55.0,56.36363636363636,18.681818181818187,38.18181818181819,85.45454545454545,34.54545454545455,58.59727272727273,8.0,0.0,76.59727272727272,7,★★★★,STARK UPPTREND,10,Mjukvara & SaaS,0.07527540624141693,81.8
ADMCM.HE,Admicom Oyj,30.35,0.0033057851239669,0.0016502028273328,19923,149907248.0,8.569,4.6829195,0.5,1.628,7191000.0,160000.0,9761478.0,9988776.0,6.481,0.49543998,0.1444,0.038,0.357,-0.400132752250387,-0.2871345320047416,,7,0.052410003,0,0,0,,29.818181818181817,76.36363636363637,85.0,76.9090909090909,69.54545454545456,43.63636363636363,18.181818181818183,54.54545454545454,58.27909090909091,8.0,0.0,76.27909090909091,8,★★★★,STARK UPPTREND,10,Övrigt,0.007867814972996712,25.5
OGUN-B.ST,Ogunsen AB (publ),28.4,0.0142857142857142,-0.0173010382906513,11221,305535712.0,13.501,4.763502,10.731,1.755,36296000.0,6883000.0,24965000.0,28975000.0,5.962,0.14394,0.05274,0.007,0.756,0.0723236503735147,0.0496688982155011,,7,0.22045,0,0,0,,36.36363636363636,81.81818181818183,85.0,71.63636363636363,57.0,20.0,63.63636363636363,18.181818181818183,57.57545454545455,8.0,0.0,65.57545454545455,9,★★★★,NEUTRAL,0,Tjänster & Konsult,0.022601310163736343,45.5
NTEK-B.ST,Novotek AB,57.9,-0.0051546391752578,0.0034662176827546,6178,613740032.0,8.975,2.6781998,0.452,1.252,139900000.0,1100000.0,28613500.0,55085000.0,21.619,0.62076,0.0665,0.014,-0.459,-0.2013550006308911,-0.1969486442269343,,6,0.50657004,0,0,0,,53.81818181818181,72.72727272727273,70.0,36.36363636363636,63.81818181818183,40.0,36.36363636363637,23.63636363636364,53.463636363636354,11.0,0.0,64.46363636363635,10,★★★,NEUTRAL,0,Industri & Verkstad,0.025051359087228775,50.9
IVSO.ST,INVISIO AB,272.0,0.0164424514200298,0.078509132796783,103751,,34.178,10.70192,6.003,3.793,431400000.0,73500000.0,50237500.0,200700000.0,25.416,0.57370996,0.09175,0.286,0.17,-0.2656885014770849,0.0401394897830456,,7,0.02665,0,0,0,,28.363636363636363,50.90909090909091,85.0,89.81818181818181,78.36363636363637,7.272727272727272,40.0,98.1818181818182,56.46272727272728,8.0,0.0,64.46272727272728,11,★★★,NEUTRAL,0,Försvar & Rymd,0.0055910940282046795,20.0
SAFETY-B.ST,mySafety Group AB,21.55,0.048661800486618,0.0311004607844094,42530,484450176.0,7.653,3.5862873,62.189,1.011,60176000.0,84307000.0,42990500.0,43201000.0,6.009,0.45202,-0.09052,0.056,,0.910673232756299,0.3763202128164331,,4,0.43038,0,0,0,,48.72727272727273,85.45454545454545,40.0,62.909090909090914,28.727272727272727,52.72727272727272,94.54545454545456,63.63636363636363,58.087272727272726,6.0,0.0,74.08727272727273,12,★★★,STARK UPPTREND,10,Mjukvara & SaaS,0.023768682032823563,49.1
UPSALE.ST,Upsales Technology AB (publ),28.2,0.0071428571428571,-0.044067770747815,105926,474842208.0,13.535,25.895317,12.399,0.792,42822000.0,2638000.0,18551500.0,39736000.0,1.089,0.60078,0.08765,0.155,-0.053,-0.092542272347515,-0.0932475750147635,,5,0.54107,0,0,0,,56.0,69.0909090909091,55.0,57.09090909090909,38.63636363636363,18.181818181818183,50.90909090909091,89.0909090909091,52.66090909090908,11.0,0.0,73.66090909090909,13,★★★,STARK UPPTREND,10,Mjukvara & SaaS,-0.011494636535644531,7.3
SUSG.ST,Sustainion Group AB,1.93,0.0157894736842105,0.2024921648674109,236019,419094656.0,9.736,2.4711907,65.572,1.104,25588000.0,103313000.0,9944625.0,26048000.0,0.781,0.28952998,0.07084,1.473,,1.3536584931495002,0.7387386690766273,,6,0.69321996,0,0,0,,61.090909090909086,63.63636363636363,70.0,78.18181818181819,28.954545454545453,36.36363636363637,98.1818181818182,40.0,60.51636363636364,3.0,0.0,73.51636363636365,14,★★★,STARK UPPTREND,10,Cleantech & Energi,0.03956355154514313,67.3
ENRO.ST,Eniro Group AB (publ),0.601,-0.0609375,-0.0445150982164186,1598031,437532288.0,4.61,1.3385301,10.703,0.941,175000000.0,35000000.0,17437500.0,80000000.0,0.449,0.30021,-0.0042,0.004,,0.4802956361104034,0.4309524517413461,,3,0.64706004,0,0,0,,58.9090909090909,70.9090909090909,15.0,51.99999999999999,43.27272727272728,61.81818181818181,87.27272727272727,67.27272727272727,54.78818181818181,8.0,0.0,72.78818181818181,15,★★★,STARK UPPTREND,10,Övrigt,0.048646800220012665,70.9
NIL-B.ST,Nilörngruppen AB (publ),74.4,0.0,-0.0026809242940074,56753,848307904.0,10.765,2.3533134,19.803,1.781,102036000.0,71586000.0,64277248.0,94730000.0,31.615,0.47035998,0.06588,-0.159,-0.225,0.3383739997628416,0.2736260116645734,,7,0.03728,0,0,0,,29.09090909090909,80.0,85.0,10.909090909090908,54.45454545454545,32.72727272727273,81.81818181818183,92.72727272727272,54.66636363636364,8.0,0.0,72.66636363636364,16,★★★,STARK UPPTREND,10,Mjukvara & SaaS,0.10001295059919357,90.9
MOB.ST,Moberg Pharma AB (publ),10.38,-0.0038387715930901,-0.0388888952663404,105615,487866528.0,-22.043,0.5315989,1.869,2.092,19286000.0,7395000.0,,-29925000.0,19.526,0.0,0.0,,,0.2806910179759088,0.1795454419841453,,4,0.12066,0,0,0,,31.27272727272727,50.90909090909091,40.0,47.63636363636364,73.72727272727272,94.54545454545456,78.18181818181819,72.72727272727273,56.83272727272727,5.0,0.0,61.83272727272727,17,★★★,NEUTRAL,0,MedTech & Life Science,0.05251812934875488,72.7
DEDI.ST,Dedicare AB (publ),44.0,-0.0156599552572707,-0.0101237515234116,9089,420756256.0,8.35,1.3714428,14.179,1.442,116600000.0,43500000.0,9524500.0,17204000.0,32.083,0.14998999,0.016239999,0.034,0.139,0.0942847723429336,0.037537823736508,,5,0.30025998,0,0,0,,40.72727272727273,60.0,55.0,71.63636363636363,47.27272727272727,47.27272727272727,65.45454545454545,32.72727272727273,53.36636363636363,8.0,0.0,71.36636363636363,18,★★★,STARK UPPTREND,10,Övrigt,-0.004686941858381033,10.9
NEXAM.ST,Nexam Chemical Holding AB (publ),3.05,-0.006514657980456,0.0234899103338133,113982,312604704.0,-80.429,1.5143992,8.137,2.736,37949000.0,16825000.0,99375.0,4498000.0,2.014,0.47015998,-0.1248,-0.11,,-0.0757575768522432,0.0132890239135419,,5,0.27433002,0,0,0,,39.27272727272727,45.45454545454545,55.0,28.0,69.81818181818183,78.18181818181819,54.54545454545454,21.818181818181817,49.99181818181818,11.0,0.0,50.99181818181818,19,★★★,NEDTREND,-10,Material & Skog,0.01592128351330757,36.4
