ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,predicted_return,ml_rank,data_quality,data_fetched_date,data_stale_days,_fundamentals_neutralized,data_anomaly
CACC,Credit Acceptance Corporation,Financial Services,Credit Services,United States,USD,5668730903.277283,-7.4966375,-5.363549000000003,1.77,-1.4539553625000003,4.443624,9.447,,0.109580008,0.023675,0.10223374525000001,0.16268001749999994,0.46206251500000006,0.066,0.295,0.278,358.24550000000005,2.0469999999999997,3.634,,25700000.0,6408600064.0,12051631104.0,,0.0,,,,,1.358,579.7999877929688,401.8999938964844,541.9400024414062,536.6667,3.0,3.0,6.53,0.2875,0.56244,0.69368,False,False,,0.704,174682.0,131610.0,0.34,3.9,8.32,,,-5.3,0.402,47.9,6.49,,False,0.45954076196644394,,0.708,US,True,,82.33393399891443,51.23546511627907,64.19800956787724,36.717261036900474,92.1727395411606,12.172774869109947,,50.0,11.21580547112462,70.39999999999999,59.01000113883011,standard,73,71324724,False,6,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,VÄNTA,0.1,-0.020001649856567383,19.4,0.875,2026-06-05,0,True,SUSPICIOUS_FWD_PE;
BESI.AS,BE Semiconductor Industries N.V.,Technology,Semiconductor Equipment & Materials,Netherlands,EUR,22821756705.888184,116.005725,26.437181,2.2928,43.951483437499995,36.10666,35.735,89.71875000000001,0.14927499899999996,0.04288249949999999,0.14661750649999997,0.20873500500000003,0.258794985,0.14899999999999997,0.42400000000000004,0.637,72.1285,3.1350000000000002,4.008,-436218256.0,611438016.0,519112992.0,22586851328.0,0.55,1.1414,1.58,2.74,1.58,1777248000.0,1.335,291.1000061035156,104.73968512608042,288.1000061035156,252.54546,2.08696,22.0,,,0.108909994,0.63437,False,False,,0.5,497526.0,395208.0,0.79,4.06,74.74,,,-5.89,0.5549,59.1,12.95,,False,0.8576568866386398,,0.481,Europe,True,24.80558294619349,84.205760388984,66.78779069767442,63.50942682424491,41.616941588814846,75.16869095816465,29.581151832460733,32.242225859247135,50.0,,50.0,58.88512715643141,standard,74,131280326,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.3,0.011337709613144398,67.9,0.875,2026-06-05,0,True,
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,United States,USD,253845356140.13672,-14.939900999999999,-3.275844000000002,0.9642,0.5197835124999997,5.7061853,5.829,-2.2579999999999987,0.1763700005,0.05609,0.11115626174999996,0.08234750250000002,0.06602251500000002,-0.169,1.519,1.621,8.305,0.5555000000000003,1.448,8490323072.0,9799000064.0,15269999616.0,259316367360.0,1.53,0.38279998,3.68,2.12,0.89,1780531200.0,1.493,259.9200134277344,121.98999786376953,240.83999633789062,177.09677,2.64103,31.0,1.88,0.053600002,0.0012800001,0.84575,False,False,,0.5,19522593.0,24305780.0,0.47,8.59,59.25,,,-12.38,0.5792,55.4,24.71,,True,0.7787493239962674,,0.87,US,True,,77.47532346387051,56.031976744186046,66.06945139360701,45.511684652174964,29.554655870445345,67.60471204188482,86.57937806873977,50.0,36.17021276595745,50.0,58.74832555810468,standard,75,5853803966,False,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,2.1,0.005921542178839445,63.9,0.875,2026-06-05,0,True,SUSPICIOUS_FWD_PE;
HARVIA.HE,Harvia Oyj,Consumer Cyclical,Leisure,Finland,EUR,744798543.6812439,4.589801999999995,1.6399174999999997,,1.6319633500000008,3.624165,3.883,0.1537500000000005,0.03771500499999997,0.020990006000000005,0.07308000349999999,0.09199500499999999,0.19923999999999994,0.059,0.0020000000000000018,0.119,8.176249999999998,2.367,2.289,-975300125.0,53449000.0,102811000.0,797935360.0,1.92,0.5172,0.77,1.81,0.38,1792108800.0,1.252,51.28123299220312,30.710798057913102,39.849998474121094,47.5,,4.0,,,0.15758,0.58975,False,False,,0.5,38296.0,22929.0,1.6,-2.8,9.32,,,-7.05,0.4236,61.2,8.67,,False,0.6189320053980238,,0.525,Nordic,True,,71.69988692818954,48.80087209302326,48.71655671703933,57.7567023172993,98.65047233468286,67.60471204188482,,50.0,,50.0,58.61681094201371,standard,76,1053523,False,6,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,VÄNTA,-2.5,0.030367515981197357,78.5,0.875,2026-06-05,0,True,SUSPICIOUS_FWD_PE;
PRY.MI,Prysmian S.p.A.,Industrials,Electrical Equipment & Parts,Italy,EUR,45634003280.6301,5.600217000000004,7.950197500000006,0.62,2.4871297125,2.213631,2.35,3.146250000000001,0.0589099865,0.014317494499999993,-0.022802497500000046,-0.051925,0.008745014999999995,0.04000000000000001,0.462,0.64,9.959500000000006,-0.008500000000000063,0.771,577801152.0,1546000000.0,5423000064.0,48440422400.0,0.58,0.1702,0.9,1.39,0.9,1776643200.0,0.942,157.25,54.75191407195797,156.14999389648438,140.1,2.1,20.0,,,0.0,0.66236,False,False,,0.5,1170711.0,1174249.0,1.04,-4.41,47.76,,,-7.36,0.4315,47.3,10.79,,False,0.8294776385751673,,0.323,Europe,True,68.43729351129906,52.10541650642351,61.700581395348834,55.32303845649663,52.7324281029395,61.943319838056674,67.60471204188482,65.95744680851064,50.0,,50.0,58.548962469602884,standard,77,211413552,False,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.3,-0.02884679101407528,10.5,0.875,2026-06-05,0,True,
NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,United States,USD,49716693623.25226,5.4675665,4.585136999999996,2.2615,-1.0588054625,9.174515,10.834,6.443499999999997,-0.00959999199999998,0.028714998000000005,0.09965376525000003,0.11958001750000001,0.518032515,0.07600000000000001,0.201,0.314,14.042500000000004,-0.8289999999999998,0.345,460323200.0,531000000.0,9516999680.0,58707693568.0,1.27,0.32529998,1.12,1.28,0.27,1781222400.0,0.99,101.46867257147743,76.84663727998822,87.91000366210938,106.46667,1.70588,15.0,2.14,0.018,0.10875,0.85994005,False,False,,0.5,3244476.0,3477550.0,0.32,-2.49,-1.13,,,-13.79,0.291,37.6,-2.06,,False,0.05929780958783923,,0.881,US,True,59.31082331174838,75.48899784918082,28.561046511627907,69.03902952159993,47.86776280501854,60.86369770580296,67.60471204188482,59.57446808510638,50.0,78.87537993920972,50.0,58.40071574699799,standard,78,305711433,False,7,STARK,8,VARNING,False,3,0.42857142857142855,LÅG,VÄNTA,-0.6,-0.013286963105201721,30.7,0.875,2026-06-05,0,True,
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,United States,USD,28342368983.059128,1.528017000000002,5.58620525,1.396,3.6576097875,5.882723,5.669,4.556999999999999,0.19615500800000005,0.028085,0.06720624474999998,0.024815005000000015,0.13307251500000006,0.072,0.8150000000000001,0.893,-9.7535,-0.17825000000000002,1.583,-42664256.0,2415200000.0,1384800000.0,27311970304.0,,0.0,,,,,1.398,89.9800033569336,54.11000061035156,73.44999694824219,82.79167,1.33333,24.0,3.16,0.052399997,0.00281,1.02726,False,False,,0.5,5265173.0,7430160.0,0.37,20.6,6.87,,,-1.88,0.3533,79.5,13.74,,True,0.7924712985469505,,0.962,US,True,52.57545414807209,72.51357119326673,56.17732558139535,80.45018467124726,34.73576737727681,70.71524966261808,12.172774869109947,45.826513911620296,50.0,37.234042553191486,50.0,58.39196125654824,standard,80,545745229,False,5,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,VÄNTA,0.7,-0.028679531067609787,10.8,0.875,2026-06-05,0,True,
APP,AppLovin Corporation,Communication Services,Advertising Agencies,United States,USD,185160472652.83203,26.804686999999998,9.911049000000002,1.6871,80.1148051375,33.005955,33.183,27.612,2.457532508,0.378945001,0.51807624275,0.6013575025,0.401702515,0.5289999999999999,1.0305,1.092,87.91050000000001,1.9985000000000006,3.156,2080795520.0,2758671104.0,3849840128.0,204546506752.0,,0.0,,,,,2.366,745.6099853515625,320.0,605.6300048828125,648.1,1.46875,30.0,2.56,0.040999997,0.18382,0.75041,False,False,,0.5,4756046.0,4738830.0,0.59,11.61,7.65,,,-24.1,0.8088,62.3,18.03,,True,0.9304960920601268,,0.953,US,True,50.85889133992742,97.80859527595614,32.92151162790697,88.91508264643046,31.5879927419875,34.0080971659919,12.172774869109947,63.338788870703766,50.0,44.37689969604863,50.0,58.37573272811586,standard,81,2869977636,False,9,STARK,8,UPPTREND,False,2,0.2857142857142857,LÅG,VÄNTA,0.4,0.001964504597708583,58.5,0.875,2026-06-05,0,True,
ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,United States,USD,51565462967.22739,13.658090000000001,9.0171135,1.997,7.8265184875,5.8570495,6.276,8.245499999999998,0.08274499800000004,0.03079499899999999,0.015996247749999963,0.07624751749999999,0.007242515000000015,0.057999999999999996,0.324,0.389,40.899,-0.3919999999999999,0.616,-124801792.0,423000000.0,4054000128.0,55250460672.0,1.19,0.55869997,5.52,1.63,1.38,1779062400.0,1.557,465.32000732421875,301.1794698525613,463.4100036621094,462.1684,2.21429,25.0,4.13,0.0337,0.0017299999,0.91040003,False,False,,0.5,832358.0,708690.0,0.55,0.55,20.09,,,-2.98,0.3316,51.2,7.65,,False,0.8512634470239437,,0.981,US,True,46.55609885027091,66.51392910752065,62.93604651162791,73.21722872898071,36.45464635319348,59.37921727395412,67.60471204188482,44.680851063829785,50.0,52.12765957446809,50.0,58.263676766240756,standard,82,328414035,False,4,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.2,-0.015728281810879707,26.4,0.875,2026-06-05,0,True,
ASML.AS,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,Netherlands,EUR,573501485520.0,23.471985000000007,14.067545000000003,2.432,21.5182664375,17.021534,16.553,25.43775,0.35893499900000003,0.0981424995,0.20372750649999996,0.22316502500000002,0.152094985,-0.0020000000000000018,-0.01899999999999999,0.171,-28.48749999999999,-0.23999999999999988,0.691,7655575872.0,8376300032.0,2705600000.0,557707034624.0,0.74,0.2568,10.8,0.86,2.7,1776988800.0,1.373,1496.0,584.6850467526177,1488.0,1488.4778,1.45455,35.0,,,0.0001,0.46312,False,False,,0.5,727089.0,626894.0,1.03,10.82,27.76,,,-2.39,0.4416,73.5,14.39,,True,1.0073808617844808,,0.732,Europe,True,54.91908184322615,87.60741443167248,67.29651162790697,49.215697153364424,28.241815914302535,22.402159244264507,67.60471204188482,68.73977086743044,50.0,,50.0,58.13401507286877,standard,83,1075542801,False,4,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.3,0.008718292228877544,66.4,0.875,2026-06-05,0,True,
