ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_fundamentals_neutralized,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,predicted_return,ml_rank
000660.KS,SK hynix Inc.,Technology,Semiconductors,South Korea,KRW,1469399624370000.0,,-13.226845999999998,2.9268,,11.124752,10.855,-3.7699999999999996,0.48956000000000005,0.23502,0.437670005,0.56564002,0.32550500000000004,1.847,3.754,3.975,7.1175,0.8944999999999999,2.174,25799822215168.0,54361531088896.0,21832415576064.0,1433734440026112.0,0.14,0.028399998,3000.0,1.08,375.0,1779926400.0,2.027,2407000.0,221076.1845768374,2070000.0,2076603.1,,38.0,,,0.20716,0.45224,False,False,,0.5,4863821.0,5697985.0,0.9586050085396493,43.08,143.86,296.12,,-0.14000830909846285,0.6984279789515557,54.25756926841642,0.4205303895906243,1.561960331349987,False,0.571953600162036,,1.0,Asia,True,True,,96.137103548422,84.3520090548953,96.4659562639242,43.258166740491944,0.16992353440951571,33.80516236469609,70.27027027027027,50.0,,50.0,87.26457566835543,standard,1,8610225134,False,7,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,STARK,14.9,0.13292546570301056,97.7
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,61330055208455.0,5.052945249999999,0.6742690000000007,1.1678,6.157112724999999,14.94432,14.397,1.2800000000000011,0.23994,0.12936001,0.33382000500000003,0.43133998999999995,0.260815,0.21699999999999997,0.372,0.583,12.282499999999999,0.7654999999999998,2.187,709926586368.0,3383596154880.0,1094369804288.0,59082257989632.0,1.01,0.2785,24.0,1.71,7.0,1781136000.0,1.25,2440.0,976.4299642131556,2365.0,2589.5757,1.33333,33.0,,,0.00022,0.43507,False,False,,0.5,35449288.0,33738465.0,0.9878576164723224,2.38,24.88,73.14,,-0.030737704918032738,0.29749694938191745,64.04494382022472,0.10436609852906842,0.4218523849774287,True,0.7785328973620411,,0.927,Asia,True,True,69.99681245491301,93.46834576648743,90.0679117147708,82.24071130420731,57.3260444788949,1.8691588785046727,66.98584512905911,63.36336336336337,50.0,,50.0,76.89308104360549,standard,5,2526245629,False,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,OK,7.0,0.05738505348563194,93.0
005930.KS,"Samsung Electronics Co., Ltd.",Technology,Consumer Electronics,South Korea,KRW,1896419136087000.0,,-12.8014003,0.1882,,5.563181,5.313,-4.736000000000001,0.06639000000000002,0.058499999999999996,0.083360005,0.27779999,0.11886503000000004,0.5579999999999999,4.7090000000000005,4.867,-0.3825000000000003,0.8165,1.959,67558971344896.0,147378078220288.0,28138794909696.0,2063284840693760.0,0.45,0.1344,1488.0,2.24,372.0,1774828800.0,1.487,370000.0,55913.820633468094,329000.0,408343.75,1.37838,37.0,,,0.0967,0.48603,False,False,,0.5,29393020.0,33556130.0,0.9704121302883063,41.51,91.45,222.26,,-0.11081081081081079,0.5546628195544597,58.82352941176471,0.35104904608070786,1.197187416347243,True,0.7608737325366344,,0.838,Asia,True,True,,79.56665576931927,87.4080362195812,90.44757418704525,33.82509995772258,0.08496176720475786,66.98584512905911,84.18418418418419,50.0,,50.0,75.21610046373604,standard,7,8059175742,False,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,STARK,11.0,0.046596791595220566,90.1
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,United States,USD,13246413065.86871,-9.65298,-2.566758,2.56,3.4536440999999996,5.5762844,5.32,-0.7239999999999984,0.285985005,0.15908999999999998,0.228219995,0.21822751000000007,0.5110999999999999,0.018000000000000002,0.324,0.319,-50.22650000000001,1.2335,3.01,-187318144.0,777206976.0,169540992.0,12638746624.0,,0.0,,,,,0.435,52.97999954223633,33.7599983215332,52.70000076293945,49.64706,2.1,17.0,10.6,0.16379999,0.01821,1.0753,False,False,,0.803,2646884.0,2497150.0,0.8397260859263632,8.21,26.84,19.75,,-0.005284990217367946,0.4037970339667611,60.57612246205086,0.125236488815748,0.23035547996750538,True,1.0016617971973654,,1.0,US,True,True,,94.46887543363377,85.63950198075834,74.40553175853397,63.02105493514006,76.38062871707731,11.823480432972524,36.63663663663664,50.0,10.076045627376425,90.30000000000001,74.15493655779662,standard,8,131599807,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,1.3,-0.03269166499376297,12.8
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,Cayman Islands,USD,38160847974.02069,78.04025825,2.345155,,12.550020725000001,28.58242,27.553,59.024,0.199310005,0.11581000000000002,0.24603000000000003,0.21842998,0.22701007,1.436,3.2039999999999997,3.622,-49.07300000000001,8.474,8.507,,1443286016.0,20617000.0,36786397184.0,,0.0,,,,,3.229,245.9499969482422,66.75,206.88999938964844,256.30304,1.33333,18.0,1.73,0.0683,0.11137,0.76611,False,False,,0.605,7252263.0,8815920.0,1.9264313897919287,4.34,88.37,9.36,,-0.15881275886664703,0.8498360700764703,62.65122016962813,0.21314433617294615,0.3998135887142431,False,0.5440891825292328,,1.0,US,True,True,,89.66251451217812,67.68534238822863,96.27637188316334,34.22689776481276,57.519116397621076,11.823480432972524,,50.0,31.55893536121673,60.5,74.06345635525882,standard,10,1823925683,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,STARK,5.5,0.05081024020910263,91.3
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,USD,974373508417.5378,5.177381249999998,-13.305584999999999,0.2977,7.485063725,16.765144,16.7,7.135,0.25346002500000003,0.1381,0.30715000000000003,0.5380499999999999,0.13102999999999992,1.8290000000000002,7.348,7.708,-35.17,1.2179999999999997,2.232,2077062400.0,14588999680.0,10798000128.0,970582523904.0,0.07,0.0217,0.6,0.33,0.15,1774828800.0,2.173,1089.2900390625,103.23021586705363,864.010009765625,739.475,1.47727,40.0,0.77,0.0313,0.00262,0.81575996,False,False,,0.412,48323617.0,52037290.0,1.3547081647016719,29.62,133.43,269.29,,-0.20681363201554914,0.6824531007766661,60.11703999816369,0.399538268854958,1.3952632833289091,True,0.5278013897253688,,1.0,US,True,True,49.8811660822834,90.82611580886575,78.52292020373514,97.4903403765436,30.795397955774202,17.247238742565845,24.229808492922565,49.94994994994995,50.0,62.0722433460076,41.199999999999996,73.58722350427583,standard,12,44960739441,False,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,10.0,-0.06838883459568024,2.0
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,United States,USD,1008934100764.3748,13.060695000000003,9.845976,1.5167,28.949828099999998,13.964679,14.492,15.367000000000003,0.950705005,0.14617001,0.22723999500000003,0.30059751,0.3749799999999999,0.47300000000000003,1.587,1.681,80.03049999999999,-0.5274999999999999,0.721,8340162304.0,5281999872.0,43370000384.0,1047022075904.0,0.61,0.22129999,6.92,0.89,1.73,1778803200.0,0.517,1166.2900390625,619.3984502312096,1131.4200439453125,1215.1034,1.74194,29.0,2.44,0.0095,0.00156,0.85327005,False,False,,0.42,3102606.0,3169140.0,1.2906560250087313,14.82,14.44,9.84,,-0.029898219095840894,0.38214543788070837,71.73092525531447,0.16413089720457186,0.19749020393381378,True,0.8891682484574605,,1.0,US,True,True,48.44481352861241,95.07896118088459,74.34917940011319,93.41471957974814,39.15522528002365,17.162276975361088,66.98584512905911,56.75675675675676,50.0,94.3916349809886,42.0,81.18486885041521,standard,2,3585628518,False,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,8.8,-0.011838977225124836,46.2
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,United States,USD,105999563843.80292,20.44195825,20.770798,3.2641,101.364085725,14.909567,14.526,24.496,1.179150005,0.07251001,0.16720000000000002,0.17462999999999998,0.34969999999999996,0.067,0.07399999999999998,0.233,7.2379999999999995,-0.526,1.034,996612480.0,3294899968.0,567200000.0,103271866368.0,,0.0,,,,,1.109,150.07000732421875,70.12000274658203,144.67999267578125,107.86111,2.72093,36.0,3.28,0.0324,0.17386,0.72477996,False,False,,0.388,6169761.0,6596610.0,1.1019829129417555,60.84,72.92,74.82,,-0.03591666812404859,0.4510122565153053,71.99677352413865,0.4077380171553131,0.6641581146255511,True,0.7917901349971177,,1.0,US,True,True,47.78107716655202,90.88322115066913,93.23712507074136,72.72556588355727,38.64374516268516,37.80798640611725,11.823480432972524,59.55955955955956,50.0,60.07604562737643,38.800000000000004,80.65947963289919,standard,3,954397486,False,8,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,16.9,0.03455786034464836,86.3
WDC,Western Digital Corporation,Technology,Computer Hardware,United States,USD,176380740496.07455,-5.048590750000001,7.544381,0.4553,18.501365725000003,14.976711,14.848,25.281000000000002,0.714439955,0.08313,0.44515000000000005,0.23189997999999998,0.0009400199999999859,0.321,4.617,5.163,-32.262,-0.18900000000000006,1.107,1258562560.0,3236999936.0,1724000000.0,174867742720.0,0.12,0.0269,0.6,3.23,0.15,1780617600.0,2.2,602.3829346800377,54.452432032486115,511.7200012207031,529.56525,1.52,23.0,3.82,0.097399995,0.0054400004,1.01182,False,False,,0.415,7830826.0,6214290.0,1.3163950136796552,5.94,108.71,229.4,,-0.15050714128794362,0.6483554478237765,55.939446424610374,0.20732940876777017,1.1110062892852142,False,0.5108363925922851,,0.997,US,True,True,44.89495081673852,86.14922743085323,83.30503678551217,94.36582944016227,16.59383182937969,29.906542056074763,33.47210657785179,55.75575575575576,50.0,23.193916349809886,41.5,71.85037234590419,standard,17,3179976486,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,11.4,0.08253271132707596,95.6
6861.T,Keyence Corporation,Technology,Scientific & Technical Instruments,Japan,JPY,18933937367520.0,12.389853250000003,15.719228000000003,3.0816,1.129349225,16.192694,14.915,12.425,,,0.32289003,0.47088999400000003,0.53382994,0.044999999999999984,0.04200000000000001,0.254,,8.496500000000001,9.963,,1493889056768.0,0.0,17440048152576.0,0.7,0.2996,550.0,0.5,275.0,1789603200.0,1.002,84170.0,51271.96903921346,78070.0,84318.75,1.6875,16.0,,,0.22763,0.37585998,False,False,,0.5,836688.0,740850.0,0.5605554472681323,-1.61,24.65,46.47,,-0.07247237733159084,0.3817669585866123,52.3538344722855,0.1264244428477026,0.29681615409951156,False,0.5027042799893371,,0.75,Japan,True,True,,97.94850028296547,83.22014714204867,63.58875852013384,56.19931858532715,4.842820730671198,66.98584512905911,,50.0,,50.0,71.5467231502204,standard,18,360827728,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,7.6,0.04552594944834709,89.9
