ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_fundamentals_neutralized,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,predicted_return,ml_rank,data_quality,data_fetched_date,data_stale_days
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,United States,USD,12200775958.942451,-10.695491,-3.26175075,2.56,2.8610142499999998,5.136107,4.88,-1.5630000000000006,0.285985005,0.159365,0.22790999699999998,0.21683249750000003,0.51238,0.022000000000000006,0.329,0.319,-50.22650000000001,1.22925,3.01,-191138592.0,777206976.0,169540992.0,11593109504.0,,0.0,,,,,0.385,52.959999084472656,33.7599983215332,48.540000915527344,49.64706,2.1,17.0,10.6,0.16379999,0.01822,1.07531,False,False,,0.5,2667117.0,2483600.0,1.19,16.16,25.0,,,0.0,0.3722,51.3,11.16,,False,0.37053289535260775,,1.0,US,True,True,,93.22482288396456,89.21832884097034,70.92513589358542,67.83736304997922,84.07557354925777,12.172774869109947,30.342577487765087,50.0,8.51063829787234,50.0,72.52807598775077,standard,1,120553946,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-0.9,-0.12406053394079208,0.5,0.875,2026-06-04,0
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,USD,1200021776136.5303,12.631366999999997,-12.793077000000002,0.3667,10.162841975000001,20.647667,20.582,13.550999999999998,0.24997001749999997,0.13809999999999997,0.305910004,0.5327249949999999,0.13230999999999993,1.8290000000000002,7.348999999999999,7.708,-35.17,1.184,2.232,2073241952.0,14588999680.0,10798000128.0,1196230836224.0,0.06,0.0217,0.6,0.33,0.15,1774828800.0,1.919,1076.56005859375,96.72846036798533,1064.0999755859375,726.225,1.47727,40.0,0.77,0.0313,0.00265,0.81557,False,False,,0.5,48200663.0,54177400.0,0.77,68.63,172.01,,,0.0,0.7777,75.0,81.23,,True,1.019919055319153,,1.0,US,True,True,43.32375581004533,89.97879547458187,98.58490566037736,97.37977466243412,30.397863658916886,18.62348178137652,24.93455497382199,46.492659053833606,50.0,57.29483282674772,50.0,72.23610769606222,standard,2,57650170017,False,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.5,-0.22577999532222748,0.1,0.875,2026-06-04,0
000660.KS,SK hynix Inc.,Technology,Semiconductors,South Korea,KRW,1675257542760000.0,,-14.508263500000002,3.3411,,12.683292,12.41,-2.0069999999999997,0.4860699925,0.23488,0.43658000899999994,0.56188003,0.32550500000000004,1.847,3.7550000000000003,3.975,7.1175,0.861,2.174,25799822215168.0,54361531088896.0,21832415576064.0,1639140579868672.0,0.13,0.028399998,3000.0,1.08,375.0,1779926400.0,2.027,2407000.0,202155.24179216867,2360000.0,2076603.1,,38.0,,,0.20716,0.45203,False,False,,0.5,4934621.0,5697985.0,0.75,58.84,170.72,,,-2.75,0.7942,66.9,60.2,,True,0.8967380503864539,,1.0,Asia,True,True,,95.36765097632401,70.55256064690028,96.51298161259915,42.60077021367174,0.2699055330634278,34.29319371727749,67.86296900489397,50.0,,50.0,71.77836034898218,standard,3,9816488558,False,7,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.0,0.0035095505882054567,69.8,0.625,2026-06-04,0
WDC,Western Digital Corporation,Technology,Computer Hardware,United States,USD,194090499551.0089,-3.9311930000000004,9.154291999999998,0.486,20.520879975,16.48047,16.352,30.074,0.7109499475000001,0.08313,0.443910004,0.22657497499999998,0.0022200199999999892,0.321,4.617999999999999,5.163,-32.262,-0.22299999999999986,1.107,1254742112.0,3236999936.0,1724000000.0,192577503232.0,0.11,0.0269,0.6,3.23,0.125,1780617600.0,2.158,571.1799926757812,51.65702592460951,563.0999755859375,518.26086,1.52,23.0,3.82,0.097399995,0.0054400004,1.01205,False,False,,0.5,7860849.0,6020110.0,1.26,27.69,129.36,,,0.0,0.7402,77.6,43.45,,True,1.0228155827734613,,0.997,US,True,True,42.84345872920884,84.5572124874192,98.58490566037736,93.69060177134148,15.1531487380544,33.603238866396765,33.90052356020942,53.344208809135395,50.0,21.27659574468085,50.0,68.95341184434263,standard,4,3389923794,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.6,-0.04998962581157684,6.5,0.875,2026-06-04,0
V,Visa Inc.,Financial Services,Credit Services,United States,USD,526659167778.3186,9.9052525,9.218111,1.4736,14.265041500000002,14.025177,14.144,11.631499999999999,0.468090005,0.17257501,0.2665875275000001,0.3037575099999999,0.52572,0.11000000000000001,0.21799999999999997,0.315,-0.1805000000000021,-0.6394999999999998,0.669,20019491680.0,13912999936.0,23975999488.0,608561201152.0,0.84,0.2197,2.68,0.7,0.67,1778544000.0,0.784,372.56717031581684,293.2820187246287,317.32000732421875,398.74313,1.34211,35.0,3.54,0.0156,0.00084,0.91693,False,False,,0.5,7443055.0,9380780.0,1.256575385333724,-3.06,-0.89,-4.73,,-0.14828779182225393,0.22142653457692738,38.972341078620275,0.005481006365579244,-0.03629514345073115,False,0.09575913458202112,,0.869,US,True,True,71.55459188274159,95.90664862851563,55.49792771643046,70.91826733376058,51.683752275134985,22.807017543859647,67.60471204188482,84.99184339314844,50.0,81.91489361702128,50.0,68.58330870515746,standard,5,2976709178,False,7,STARK,8,NEDTREND,True,4,0.5714285714285714,MEDEL,EJ AKTUELL,-0.5,-0.007093101739883423,52.7,0.875,2026-06-04,0
CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,USD,3826853675.8615723,-8.693193999999998,-5.279560750000001,,0.27220895,6.410591,5.149,-3.2729999999999997,0.12107501500000004,0.10173499999999999,0.24781999700000007,0.2955524975,0.38830005,-0.022,0.0040000000000000036,0.123,-58.719500000000004,5.074249999999999,6.701,-648448080.0,755859008.0,2681000.0,3073675520.0,,0.0,,,,,0.718,32.560001373291016,19.049999237060547,31.270000457763672,32.6,2.66667,5.0,2.28,0.07,0.05573,0.89406997,False,False,,0.5,2070236.0,2277720.0,0.8,1.36,28.62,,,-0.16,0.3375,65.0,11.07,,False,0.6343352686578398,,1.0,US,True,True,,89.98905436993303,80.99730458221023,55.065426253203256,70.34251677169165,94.60188933873145,12.172774869109947,4.567699836867863,50.0,26.74772036474164,50.0,68.49423505018738,standard,6,71224305,False,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,0.2,0.0003743109991773963,66.0,0.875,2026-06-04,0
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,62885997412475.0,3.574765000000003,-0.9020085000000027,1.1622,6.043019425000001,15.323457,14.491,0.9390000000000018,0.23644999249999998,0.12922001,0.33273000900000005,0.42757999999999996,0.260815,0.21699999999999997,0.373,0.583,12.282499999999999,0.732,2.187,709926586368.0,3383596154880.0,1094369804288.0,59471241936896.0,1.01,0.2785,24.0,1.71,7.0,1781136000.0,1.264,2440.0,936.0327758789062,2425.0,2589.5757,1.33333,33.0,,,0.00022,0.43526,False,False,,0.5,36185165.0,34416835.0,0.82,3.25,25.94,,,-1.65,0.3247,63.3,11.95,,True,1.0839090352102825,,0.927,Asia,True,True,71.28485002500265,92.21516889703919,64.4878706199461,80.54752414446372,56.6395915795117,2.42914979757085,67.60471204188482,62.31647634584013,50.0,,50.0,68.3641067655231,standard,7,2587285571,False,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,0.6,0.08494773507118225,95.7,0.875,2026-06-04,0
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,United States,USD,253845356140.13672,-11.712651000000001,-0.1722140000000003,0.9642,2.9477269749999997,5.7061853,5.829,0.9960000000000022,0.2125699975,0.06357,0.114130014,0.07707499500000001,0.09592999999999996,-0.169,1.519,1.621,5.9069999999999965,0.6530000000000002,1.448,8769366880.0,9799000064.0,15269999616.0,259316367360.0,1.53,0.38279998,3.68,2.12,0.89,1780531200.0,1.493,259.9200134277344,121.98999786376953,240.83999633789062,177.09677,2.64103,31.0,1.88,0.053600002,0.0012800001,0.84575,False,False,,0.5,19522593.0,24305780.0,0.8,34.02,82.49,,,-0.4,0.5621,62.0,45.12,,True,0.7787493239962674,,0.87,US,True,True,88.26297064441293,77.20852187474335,78.23450134770889,66.06945139360701,46.49419874476829,29.554655870445345,67.60471204188482,86.7862969004894,50.0,36.17021276595745,50.0,68.2071607115826,standard,8,5853803966,False,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,OK,2.1,-0.03626810759305954,12.0,0.875,2026-06-04,0
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,Cayman Islands,USD,42239036260.0,88.90991700000001,3.7426579999999987,,14.091626975,31.636976,30.611,67.99499999999999,0.1958199975,0.11581,0.244790004,0.213104975,0.22829007,1.436,3.205,3.622,-49.07300000000001,8.440000000000001,8.507,,1443286016.0,20617000.0,40869736448.0,,0.0,,,,,3.176,245.9499969482422,66.75,229.0,231.58556,1.33333,18.0,1.73,0.0683,0.11137,0.76583,False,False,,0.5,7243376.0,8674640.0,1.09,10.86,87.03,,,-9.08,0.9235,59.0,29.17,,True,0.8271909899181878,,1.0,US,True,True,,87.92792922207747,58.692722371967655,96.26401131718984,34.06232742194443,63.292847503373814,12.172774869109947,,50.0,27.96352583586626,50.0,68.04232202003328,standard,9,1986492560,False,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,STARK,5.9,0.007842596620321274,74.4,0.875,2026-06-04,0
NTAP,"NetApp, Inc.",Technology,Software - Infrastructure,United States,USD,34659111335.55908,-9.993071,-5.001991,1.9344,23.631820975,5.0234394,4.838,-1.2729999999999997,0.9190799975,0.03488999999999999,0.07531001400000001,0.129074995,0.25537999999999994,-0.009000000000000008,0.023999999999999994,0.188,134.014,-0.2769999999999999,1.211,578117088.0,3584000000.0,2487000064.0,33504079872.0,1.18,0.32759997,2.08,2.29,0.52,1783641600.0,1.267,192.8300018310547,93.21255900816845,175.63999938964844,163.06667,2.47368,15.0,11.04,0.1402,0.00592,1.05108,False,False,,0.878,2760187.0,5725540.0,0.59,58.65,78.25,,,0.0,0.4995,91.5,55.28,,True,1.0093342714970543,,0.893,US,True,True,,80.66457039833946,96.15902964959568,54.7993956950875,24.479010398245205,67.61133603238866,67.60471204188482,70.14681892332788,50.0,11.854103343465045,97.8,67.7468481761647,standard,10,1005633842,False,4,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.8,0.077091284096241,95.0,0.875,2026-06-04,0
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,United States,USD,418203452689.7278,25.725800999999997,19.289071999999997,1.8465,33.107311975,19.288187,19.241,34.206999999999994,0.5193599975000001,0.16443,0.20043998400000002,0.20691497499999997,0.047729999999999995,0.10399999999999998,0.19699999999999998,0.372,-14.790000000000006,0.8230000000000002,1.695,3532083552.0,4750936064.0,3734479104.0,417187004416.0,0.31,0.1909,1.04,0.99,0.26,1781654400.0,1.819,335.54998779296875,81.35392204570302,334.4100036621094,313.6875,1.52778,32.0,3.46,0.0294,0.0027599998,0.88139,False,False,,0.5,9726693.0,8842010.0,0.97,24.62,60.1,,,0.0,0.5769,71.7,27.44,,True,1.0071010959379267,,0.931,US,True,True,43.57419233196979,85.51731914041179,95.01347708894879,73.5299432757099,31.69933230197945,25.101214574898783,67.60471204188482,55.46492659053833,50.0,60.790273556231,50.0,67.20065673199598,standard,11,2956856596,False,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-0.0,0.060823291540145874,92.9,0.875,2026-06-04,0
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,Singapore,USD,209647469892.52002,50.137730999999995,12.061754999999998,0.6373,434.001581975,19.04155,19.147,41.037000000000006,17.731439997499997,0.18328999999999998,0.107040004,0.213164995,-0.03634999999999999,0.307,0.872,1.2,331.481,-0.3869999999999998,0.772,789742048.0,1146000000.0,4177999872.0,210804834304.0,0.32,0.277,2.96,3.02,0.74,1782259200.0,2.009,953.719970703125,117.23895946527499,926.6099853515625,829.0455,1.54167,22.0,2.04,0.0476,0.0025,0.88245004,False,False,,0.5,3931201.0,3258230.0,0.91,22.01,156.53,,,0.0,0.7116,71.0,45.34,,True,0.9894024587912975,,0.969,US,True,True,38.709493634567615,81.07445222602361,98.58490566037736,88.13298841904783,11.173010605747907,32.388663967611336,67.60471204188482,49.59216965742252,50.0,41.33738601823708,50.0,67.17660425695648,standard,12,3019108453,False,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.5,-0.10133799910545349,1.6,0.875,2026-06-04,0
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,United States,USD,76685863179.0542,-3.2393469999999986,-0.5969764999999994,4.0843,0.5599462500000001,0.650757,0.726,0.02600000000000069,0.043500005000000015,0.01386750175,-0.071004996,-0.1165575005,-0.30643,0.0175,,,-15.001250000000006,0.3890000000000001,1.084,3966367072.0,5733000192.0,11491000320.0,85507858432.0,1.86,0.3353,4.8,3.36,1.2,1779321600.0,0.571,262.50281085325173,122.36906996813127,258.260009765625,259.4737,2.4,19.0,2.81,0.033,0.00579,0.87861,False,False,,0.5,3678869.0,2933810.0,0.95,3.65,15.2,,,0.0,0.3912,62.8,7.53,,True,0.8990135544716186,,1.0,US,True,True,93.56978612475099,33.75931463511688,83.89487870619945,70.9983207942863,58.018374191283236,51.686909581646425,67.60471204188482,91.19086460032626,50.0,53.64741641337386,50.0,67.08183965048269,standard,13,757685799,False,4,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,6.5,-0.011722278781235218,44.2,0.875,2026-06-04,0
ADI,"Analog Devices, Inc.",Technology,Semiconductors,United States,USD,201580974476.94336,28.545693,5.703386,0.9057,-2.458224000000001,15.822442,16.236,14.002,-0.1123299999999999,-0.0153200020000001,0.135539975,0.21696,0.1463950099999999,0.372,1.105,1.065,-41.731,0.1529999999999999,1.232,2806510880.0,3439308032.0,8708730880.0,206850392064.0,1.06,0.6057,4.4,1.66,1.1,1780358400.0,1.194,435.7200012207031,207.6321690016728,413.8500061035156,446.03226,1.55882,31.0,2.74,0.0217,0.00244,0.93543,False,False,,,3887290.0,5718060.0,0.98,8.42,33.1,,,0.0,0.3413,52.3,15.4,,False,0.5373465721221776,,0.892,US,True,,55.58567716232058,53.54624382476688,91.84636118598382,86.2288350768429,44.066338242626614,32.65856950067476,67.60471204188482,64.76345840130506,50.0,72.3404255319149,50.0,66.90859479837052,standard,14,2366419166,False,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,0.0,-0.013054036535322666,41.6,0.875,2026-06-04,0
NBIX,"Neurocrine Biosciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,United States,USD,15569158999.494965,-2.9468010000000007,-3.0659757500000007,0.4545,1.0707468500000004,5.018424,4.744,4.437999999999999,0.10111500500000004,0.055245,0.092580007,0.03370249750000001,0.19164000000000003,0.344,22.998,24.051,-45.3815,0.9002499999999998,2.506,-229707936.0,1316199936.0,463500000.0,14716459008.0,,0.0,,,,820195200.0,0.336,162.38999938964844,122.13999938964844,154.83999633789062,192.16608,1.42857,28.0,4.0,0.0669,0.010779999,1.03624,False,False,,0.362,1154639.0,1127970.0,1.64,22.25,27.36,,,0.0,0.335,55.9,17.23,,False,0.5154485570598645,,0.7,US,True,True,41.82445670440292,73.02944382670645,90.22911051212938,86.64484166915598,70.26771313732733,80.97165991902834,12.172774869109947,31.321370309951057,50.0,28.267477203647417,36.199999999999996,66.42116180230582,standard,15,174654871,False,3,SVAG,-8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-0.0,-0.04498932883143425,7.8,0.875,2026-06-04,0
2881.TW,"Fubon Financial Holding Co., Ltd.",Financial Services,Insurance - Life,Taiwan,TWD,1544226575265.0,3.941582999999998,1.1594184999999984,1.36,0.6512104499999998,1.4755852,1.072,-6.7604999999999995,0.07455999999999999,0.020065000000000003,-0.09791249749999995,0.299172515,0.137065,7.827,,,57.364,-0.48950000000000016,1.007,1155170764800.0,1336526110720.0,836762796032.0,1121656111104.0,3.65,0.4954,4.15,3.8,4.146341,1751328000.0,0.608,116.0,74.99165207683855,113.0,102.985,2.0,10.0,,,0.40671003,0.24139,False,False,,0.5,32925452.0,74931233.0,0.67,20.63,25.97,,,0.0,0.2237,85.1,21.5,,True,0.9183873327092773,,1.0,Asia,True,True,,62.30433500531719,89.75741239892183,97.15378297916025,54.36949961717982,17.27395411605938,67.60471204188482,99.02120717781403,50.0,,50.0,66.16976463670868,standard,16,262484109,False,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,11.1,-0.018908657133579254,32.5,0.875,2026-06-04,0
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,United States,USD,948946638965.9304,10.967478999999997,8.67711525,1.4507,26.97584325,13.134391,13.662,13.931999999999999,0.950705005,0.14644501000000001,0.226929997,0.29920249750000005,0.37625999999999993,0.47700000000000004,1.592,1.681,80.03049999999999,-0.53175,0.721,8336341856.0,5281999872.0,43370000384.0,987034615808.0,0.65,0.22129999,6.92,0.89,1.73,1778803200.0,0.481,1149.0999755859375,619.3983893784804,1064.1500244140625,1215.1034,1.74194,29.0,2.44,0.0095,0.00156,0.85323995,False,False,,0.5,3091704.0,3283510.0,0.84,9.28,9.9,,,-4.26,0.3857,63.1,12.01,,True,0.6882827943783447,,1.0,US,True,True,49.03788928328427,94.21486947342964,49.528301886792455,93.47071064130999,42.800822222957706,19.298245614035086,67.60471204188482,55.301794453507334,50.0,93.16109422492401,50.0,65.58135620977164,standard,17,3494147247,False,7,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,STARK,0.5,-0.04117420315742493,8.9,0.875,2026-06-04,0
005930.KS,"Samsung Electronics Co., Ltd.",Technology,Consumer Electronics,South Korea,KRW,2077991181031500.0,,-14.2247041,0.1996,,6.095826,5.848,-3.7349999999999977,0.06289999249999999,0.058359999999999995,0.082270009,0.27404,0.11886503000000004,0.5579999999999999,4.71,4.867,-0.3825000000000003,0.7830000000000001,1.959,67558971344896.0,147378078220288.0,28138794909696.0,2271025161043968.0,0.41,0.1344,1488.0,2.24,372.0,1774828800.0,1.327,370000.0,55225.95375770246,360500.0,397803.22,1.37838,37.0,,,0.0967,0.48659,False,False,,0.5,30361326.0,33556130.0,1.11,51.18,104.55,,,-2.5,0.6901,69.1,46.06,,True,1.1127114622549472,,0.838,Asia,True,True,,75.78236116124233,69.87870619946092,89.67454993580422,33.49834995568592,0.1349527665317139,67.60471204188482,82.54486133768353,50.0,,50.0,65.29201866304041,standard,18,8830798951,False,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-0.1,0.08982092887163162,96.4,0.625,2026-06-04,0
AFL,Aflac Incorporated,Financial Services,Insurance - Life,United States,USD,57835953243.55121,-4.7978165000000015,2.7829799999999976,1.18,-0.8204996000000002,3.1932395,3.535,2.3314999999999992,0.029290005000000008,0.011525000000000004,0.005757517500000059,-0.07403249000000003,0.04843995999999995,0.21800000000000003,38.463,34.138,-19.137500000000003,-0.7924999999999999,0.814,4102867296.0,8270000128.0,14464000000.0,64029954048.0,2.15,0.26860002,2.44,2.17,0.61,1779235200.0,0.619,119.1927847439948,94.92501041339828,113.62999725341797,112.42857,3.07143,14.0,3.87,0.0219,0.10898,0.59858,False,False,,0.5,2378868.0,2874800.0,1.27,0.55,3.65,,,-3.01,0.1672,48.5,1.34,,False,0.3311786109145943,,0.621,US,True,True,90.87988884061416,48.74811231294738,46.42857142857143,83.12877555684716,57.84356824063949,56.41025641025641,67.60471204188482,94.61663947797716,50.0,71.73252279635258,50.0,64.17510737896822,standard,19,326663516,False,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-1.1,-0.013158377259969711,41.5,0.875,2026-06-04,0
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,United States,USD,389079808979.6124,8.491236999999998,7.491021,1.663,9.870781975000002,13.405451,13.372,22.891000000000002,0.2486600275,0.08522999999999999,0.18419000400000002,0.17544499500000002,0.03749999999999998,-0.020000000000000004,0.12400000000000003,0.313,-19.673000000000002,0.7950000000000002,1.624,2220117088.0,8240999936.0,7267999744.0,388106813440.0,0.43,0.1731,2.12,0.79,0.53,1779321600.0,1.654,491.510009765625,153.7846009301305,490.04998779296875,511.16666,1.5,36.0,2.59,0.0231,0.00306,0.85146004,False,False,,0.5,6768961.0,7023910.0,1.26,22.05,44.69,,,0.0,0.5035,72.3,23.86,,True,1.182178886324751,,0.906,US,True,True,42.94187085509111,81.8402944776649,93.3288409703504,59.69730019725105,34.6993042628075,25.371120107962213,67.60471204188482,51.22349102773246,50.0,68.69300911854104,50.0,64.0525767989227,standard,20,3442067010,False,4,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.2,0.0889788419008255,96.2,0.875,2026-06-04,0
MFC.TO,Manulife Financial Corporation,Financial Services,Insurance - Life,Canada,CAD,88751598043.82497,-1.974209,-1.233025500000001,0.776,-0.29751510000000025,2.7709763,2.685,0.38950000000000085,0.005574999999999997,-0.012075000000000002,-0.028142502499999958,-0.17806749500000002,0.11523,0.06,1.479,1.142,-7.801000000000002,28.4345,8.905,4610462656.0,30281000960.0,23491999744.0,86013599744.0,3.48,0.5202,1.85,4.58,0.485,1780012800.0,0.761,54.83157328222352,39.52700836906697,53.18000030517578,55.38,2.06667,15.0,5.2,,0.00016000001,0.54322,False,False,,0.5,6225304.0,9403830.0,0.76,-0.02,13.85,,,-2.37,0.2166,44.6,3.05,,False,0.5518451256772976,,0.543,Canada,True,True,94.18520006230172,35.76283983291678,55.99730458221025,70.5230995262341,81.4536482010433,47.638326585695005,67.60471204188482,92.98531810766721,50.0,,50.0,63.88785618511347,standard,21,365069848,False,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,OK,0.0,-0.01810517907142639,33.3,0.875,2026-06-04,0
AVGO,Broadcom Inc.,Technology,Semiconductors,United States,USD,2280074192046.6255,55.89931300000001,3.1440219999999997,1.0007,22.152024975,33.392025,34.152,43.70399999999999,0.18544998750000002,0.04328,0.256769974,0.30591501499999996,0.31519995999999995,0.16099999999999998,0.10500000000000001,0.335,32.63199999999999,0.18900000000000006,1.671,24683492192.0,14174000128.0,66056998912.0,2331957264384.0,0.54,0.47169998,2.6,1.87,0.65,1774224000.0,1.44,488.82000732421875,239.172115345069,481.57000732421875,485.7178,1.31915,44.0,2.7,0.0115,0.01949,0.80284,False,False,,0.5,24215173.0,23594710.0,1.83,12.14,44.31,,,-0.49,0.4371,73.6,21.31,,True,1.269545097161738,,0.853,US,True,True,45.60211333994606,88.05019012490025,73.04582210242587,70.28470488711876,41.725020140817634,14.979757085020243,67.60471204188482,59.8694942903752,50.0,89.51367781155015,50.0,63.69719353413105,standard,22,11362504668,False,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.4,-0.024470634758472443,24.1,0.875,2026-06-04,0
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",Financial Services,Financial Data & Stock Exchanges,Brazil,BRL,81576573162.35477,10.602028999999998,7.513320499999998,1.21,3.6047261499999994,7.7296715,7.788,9.166500000000003,0.12192001500000002,0.062134998,0.26010749750000006,0.325942515,0.65486,0.14200000000000002,0.252,0.335,0.1805000000000021,0.25550000000000017,1.859,2865900160.0,14980616192.0,15579192320.0,82196135936.0,3.72,0.66120005,0.61,3.01,0.07434,1775001600.0,0.203,20.329999923706055,11.671482586327329,16.280000686645508,20.03571,2.0,14.0,,,0.0,0.84547997,False,False,,0.5,36467406.0,37631230.0,1.23,-15.47,-14.19,,,-21.77,0.4069,35.9,-12.9,,False,0.23889861079620311,,0.655,LatAm,True,True,75.18846270504234,90.60449171781568,8.355795148247978,66.23192600840783,71.65897243519166,50.337381916329285,67.60471204188482,87.27569331158239,50.0,,50.0,63.6341835674957,standard,23,110274561,False,7,STARK,8,VARNING,False,5,0.7142857142857143,HÖG,OK,0.2,-0.021543128415942192,27.5,0.875,2026-06-04,0
NVDA,NVIDIA Corporation,Technology,Semiconductors,United States,USD,5396923397399.902,-3.4869100000000017,-5.173873,0.6865,28.025928974999996,21.290394,21.113,13.382000000000001,0.9946199974999999,0.46392,0.520710004,0.512444995,0.28938995,0.718,1.934,2.106,-43.517,1.728,2.139,45515615072.0,53171998720.0,12814000128.0,5351885766656.0,0.45,0.0061000003,1.0,0.05,0.01,1780531200.0,2.244,236.5399932861328,137.91748812723765,222.82000732421875,296.81033,1.29508,58.0,1.92,0.0128,0.039839998,0.70856005,False,False,,0.5,166657271.0,189108030.0,0.84,9.29,17.14,,,-8.9,0.3655,41.7,6.29,,False,0.6474921221346707,,0.889,US,True,True,49.944666234926665,95.78430377798043,47.102425876010784,89.88805213943954,43.649773675118645,11.336032388663968,67.60471204188482,55.62805872756933,50.0,87.38601823708207,50.0,63.46481782884298,standard,24,42137052630,False,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,STARK,-0.1,0.012707936577498913,77.9,0.875,2026-06-04,0
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,Brazil,BRL,226411060662.88968,-6.300573499999997,-1.4533039999999993,4.2057,0.40194090000000005,1.1403359,1.729,1.2230000000000016,0.13095001500000003,0.020357499749999997,0.14995500399999995,0.1650175225,0.17477002000000003,-0.0445,-0.35700000000000004,-0.072,7.961750000000002,-0.556,0.426,81246608512.0,47600001024.0,371690995712.0,861058629632.0,9.33,0.3117,3.88,22.06,0.700973,1780358400.0,-0.064,49.179244435835535,26.540543247426864,41.56999969482422,53.28333,1.76923,12.0,,,0.0,0.62224,False,False,,0.5,55138295.0,49233210.0,0.91,-11.27,4.98,,,-14.99,0.291,29.5,-9.33,,False,0.14169248204570628,,0.671,LatAm,True,True,95.11902907686884,76.80609866492833,33.389487870619945,27.231436893184306,65.36654629298049,30.90418353576248,67.60471204188482,97.22675367047309,50.0,,50.0,63.40122973012677,standard,25,368392414,False,4,NEUTRAL,0,VARNING,False,5,0.7142857142857143,HÖG,VÄNTA,0.2,-0.00950395967811346,49.2,0.875,2026-06-04,0
