ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_fundamentals_neutralized,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,predicted_return,ml_rank,data_quality,data_fetched_date,data_stale_days
MONC.MI,Moncler S.p.A.,Consumer Cyclical,Apparel Manufacturing,Italy,EUR,14866752258.798237,2.2573029999999967,6.812364749999999,3.0498,1.6737698,4.7465343,4.66,1.9945000000000004,0.031395004999999976,0.04883,0.1609999855,0.27540252750000005,0.40537996000000004,-0.053000000000000005,-0.08600000000000001,0.031,-43.75099999999999,1.2075,1.855,48411456.0,1461304960.0,1128457984.0,14594290688.0,2.55,0.5628,1.4,1.72,1.4,1779062400.0,1.079,57.72709756062137,44.17969211361888,54.65999984741211,62.104,2.12,25.0,,,0.18226999,0.56284,False,False,,0.5,928129.0,1061590.0,0.2,0.83,1.5,,,-5.54,0.3553,72.2,3.26,,True,0.7617002431233625,,0.5,Europe,True,True,59.88814381860361,81.49735534399923,38.30862533692722,29.14516328267103,53.504079699517604,81.37651821862349,67.60471204188482,49.26590538336052,50.0,,50.0,53.94261006211072,standard,168,62668630,False,4,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.9,-0.017186233773827553,34.9,0.875,2026-06-04,0
S58.SI,SATS Ltd.,Industrials,Airports & Air Services,Singapore,SGD,5686837504.082701,3.8558470000000007,0.0,0.6952,-0.5219624000000002,0.8962,1.459,-7.609,-0.04927,0.0092949999999999,-0.348170003,-0.00389,0.09529998,0.089,0.235,0.241,50.08650000000001,-0.037,0.9,-162268736.0,752499968.0,4136100096.0,9256838144.0,1.82,0.2926,0.07,3.67,0.05,1784678400.0,0.521,4.0,2.8721846536222984,3.849999904632568,4.42333,1.22222,9.0,,,0.0070499997,0.53153,False,False,,,6524941.0,8709400.0,0.78,20.18,8.72,,,-1.24,0.2608,88.8,14.37,,True,1.1983231661230165,,0.5,Singapore,True,,,36.86907035939622,56.06469002695418,56.74989022022601,60.54441053827047,92.03778677462888,67.60471204188482,29.526916802610113,50.0,,50.0,53.94146064708513,standard,169,24813080,False,3,SVAG,-8,UPPTREND,False,3,0.4285714285714285,LÅG,VÄNTA,0.0,0.030963940545916557,85.3,0.875,2026-06-04,0
DOL.TO,Dollarama Inc.,Consumer Defensive,Discount Stores,Canada,CAD,47555075974.24652,12.757240500000005,14.505978500000001,2.0453,29.499235900000002,6.554119,7.263,16.277,0.822362495,0.0901950025,0.11215,0.11790999599999999,0.06255,0.08100000000000002,-0.0010000000000000009,0.004,287.96225000000004,0.07199999999999984,0.282,321307584.0,340488000.0,5395701760.0,52695822336.0,0.27,0.089499995,0.48,0.27,0.12,1776384000.0,0.367,209.7031109052769,165.88509333564406,174.67999267578125,197.8125,2.0,16.0,2.79,,0.020399999,0.45609,False,False,,0.5,746887.0,766920.0,0.52,1.25,-11.33,,,-14.97,0.2498,57.7,1.04,,True,0.5101199308885185,,0.904,Canada,True,True,45.43381671817488,80.78414406518463,13.342318059299192,55.22861254266124,54.700435859850685,61.53846153846154,67.60471204188482,51.876019575856446,50.0,,50.0,53.84657258153025,standard,170,97794873,False,4,NEUTRAL,0,NEDTREND,True,3,0.42857142857142855,LÅG,EJ AKTUELL,0.1,-0.0004894129815511405,64.8,0.875,2026-06-04,0
IBM,International Business Machines Corporation,Technology,Information Technology Services,United States,USD,309438441060.2881,-8.448218,1.712222999999998,2.9921,2.981938975,4.4904075,5.334,3.173000000000002,0.2094599975,-0.009660000000000002,0.04711000400000001,-0.0054250050000000105,0.13151999999999997,-0.03900000000000001,-0.069,0.153,161.097,-0.9169999999999998,0.644,12260492128.0,11783000064.0,69802000384.0,367538438144.0,2.05,0.59470004,6.76,3.91,1.69,1778198400.0,0.581,332.4599914550781,212.33999633789062,329.2300109863281,285.8857,2.0,21.0,3.89,0.0317,0.00117,0.65643996,False,False,,0.5,7584336.0,16504630.0,0.79,34.43,20.01,,,-7.17,0.4864,81.3,26.08,,True,1.1150684465395746,,0.911,US,True,True,82.7902563387902,58.25126944397217,51.078167115902964,48.093410745436614,29.57004000966021,28.205128205128204,67.60471204188482,85.64437194127244,50.0,56.38297872340425,50.0,53.82037590702548,standard,171,5433819516,False,2,SVAG,-8,UPPTREND,False,4,0.5714285714285714,MEDEL,EJ AKTUELL,-0.4,0.008768055588006973,75.1,0.875,2026-06-04,0
MUFG,"Mitsubishi UFJ Financial Group, Inc.",Financial Services,Banks - Diversified,Japan,USD,216177904119.28812,-3.3705685000000027,6.450570999999999,1.6121,-1.2085926000000002,0.025390116,-4.678,,-0.016289995,-0.013245,0.03487749750000005,0.025617539999999966,-0.45206,,,,,,,,151902574608384.0,110384014950400.0,-39832063574016.0,2.58,0.1574,0.49,3.25,0.269,1759190400.0,0.325,20.149999618530273,13.1899995803833,19.170000076293945,20.12341,2.0,2.0,2.31,0.0007,2.0000001e-05,0.03209,False,False,,0.5,3464803.0,3364090.0,0.64,9.52,12.88,,,-1.42,0.2711,64.4,7.46,,False,0.6794353184902361,,0.838,US,True,True,,34.427927555245624,57.749326145552565,70.48429319371728,76.83879060955941,31.713900134952766,67.60471204188482,,50.0,96.20060790273556,50.0,53.803749867129504,standard,172,64489606,False,0,SVAG,-8,UPPTREND,False,4,0.5714285714285714,MEDEL,EJ AKTUELL,-0.9,-0.018401844426989555,32.9,0.625,2026-06-04,0
HEI,HEICO Corporation,Industrials,Aerospace & Defense,United States,USD,18324482466.148315,28.018755,28.8543145,3.0381,5.89729095,9.444844,10.055,19.389500000000005,0.019174995,0.027254988999999997,0.05617000000000001,0.11846498999999999,-0.051459980000000016,0.192,0.41,0.491,-26.878000000000007,1.5325000000000002,1.192,-112102944.0,210335008.0,2587290112.0,49382899712.0,0.07,0.0429,0.24,0.1,0.12,1767571200.0,0.953,361.69000244140625,256.1099853515625,332.1400146484375,382.95,1.82609,20.0,0.75,0.0113,0.22848,0.76585,False,False,,0.5,702342.0,823740.0,1.03,18.67,7.08,,,-8.08,0.3895,69.6,13.82,,True,0.8530285904032651,,0.998,US,True,True,37.371728134965196,61.15985856780353,40.8355795148248,81.16065333067583,55.15343522524598,78.54251012145748,25.327225130890053,41.435562805872756,50.0,90.12158054711246,50.0,53.75031497861437,standard,173,273597016,False,6,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,VÄNTA,0.8,0.01835384964942932,80.9,0.875,2026-06-04,0
BNS.TO,The Bank of Nova Scotia,Financial Services,Banks - Diversified,Canada,CAD,136928168054.1687,-1.8957189999999997,0.05647449999999932,1.2192,-0.5662043000000001,4.0018754,-1.254,,-0.009675010000000012,-0.011374999999999996,0.050527497500000074,0.029472514999999977,-0.38794,0.065,0.21699999999999997,0.313,,,,,531156008960.0,349912006656.0,-42894831616.0,4.08,0.6069,4.56,5.48,1.1,1783382400.0,1.215,113.56999969482422,69.3806682935707,111.68000030517578,112.07143,2.92857,14.0,6.65,,0.00021,0.51106,False,False,,0.5,4251334.0,3544600.0,0.49,6.75,13.0,,,-0.25,0.1637,74.3,7.39,,True,0.8651328061158328,,0.904,Canada,True,True,,37.627327010888656,68.66576819407008,69.05178771709805,61.94761307405633,38.73144399460189,67.60471204188482,,50.0,,50.0,53.743929207148376,standard,174,288978478,False,1,SVAG,-8,UPPTREND,False,4,0.5714285714285714,MEDEL,EJ AKTUELL,0.2,-0.0013911703135818243,63.1,0.75,2026-06-04,0
ASM.AS,ASM International NV,Technology,Semiconductor Equipment & Materials,Netherlands,EUR,44007240810.753784,12.841568000000002,12.698275999999996,1.8806,5.1984107250000005,13.767322,13.305,22.382,0.11031500249999997,0.06043,0.24156,0.20866,0.14231999999999995,-0.10600000000000001,,,-41.971999999999994,0.6540000000000001,1.702,-501526448.0,981600000.0,72000000.0,42530500608.0,0.37,0.1489,3.25,0.62,3.25,1778630400.0,1.534,919.4000244140625,398.4486910663275,900.2000122070312,925.6,1.7,20.0,,,0.047519997,0.62618,False,False,,0.5,165036.0,137714.0,0.81,3.38,25.65,,,-0.84,0.481,49.4,11.89,,False,0.7541017899976175,,0.757,Europe,True,True,31.442735701345224,81.83903586809966,66.77897574123989,37.619249270388785,35.23716872632671,62.75303643724697,67.60471204188482,34.257748776508976,50.0,,50.0,53.73089664207063,standard,175,133887756,False,3,SVAG,-8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,0.4,-0.0032141851261258125,61.1,0.875,2026-06-04,0
EVO.ST,Evolution AB (publ),Consumer Cyclical,Gambling,Sweden,SEK,138599038200.0,-10.164331000000004,-5.62566775,,29.651665900000005,67.3257,67.543,94.3975,0.10229002000000001,0.06528,0.4743799955,0.4895424975,0.57365,-0.083,-0.098,-0.011,-60.543,0.2789999999999999,1.746,-7032320.0,1097950976.0,88399000.0,139046764544.0,5.05,0.53330004,30.5,2.46,2.8,1747008000.0,0.697,887.5999755859375,515.4000244140625,700.0,669.04395,3.1875,17.0,,,0.40673,0.36533,False,False,,0.5,654281.0,878553.0,0.23,10.22,26.8,,,-1.88,0.2895,69.8,9.51,,False,0.6882278018945651,,0.36,Nordic,True,True,32.147687868379414,91.86472144360971,64.21832884097034,21.682391469963182,62.699794338769266,38.46153846153847,67.60471204188482,43.556280587275694,50.0,,50.0,53.71183343797916,standard,176,58423774,False,3,SVAG,-8,UPPTREND,False,2,0.2857142857142857,LÅG,EJ AKTUELL,0.1,-0.009787694551050663,48.4,0.875,2026-06-04,0
CFR.SW,Compagnie Financière Richemont SA,Consumer Cyclical,Luxury Goods,Switzerland,CHF,88620805304.71127,9.546454999999998,8.647073749999999,2.3264,2.2487836000000003,4.3505483,4.23,5.009500000000003,0.012465004999999973,0.019580003999999998,0.1163199955,0.11245250750000002,0.26826999999999995,-0.026000000000000002,-0.387,-0.271,-17.081999999999994,1.8834999999999997,2.027,2031023552.0,17234999296.0,13514999808.0,94834163712.0,1.37,0.5459,2.3,1.81,3.3,1789516800.0,1.071,180.0,125.46450898117243,165.89999389648438,182.4248,1.76923,26.0,,,0.0058399998,0.51925,False,False,,0.5,947275.0,1166613.0,0.18,13.19,16.73,,,-5.89,0.3246,67.6,9.16,,True,0.8046626408760847,,0.5,Europe,True,True,70.38159803913531,69.85315544903995,50.67385444743935,19.88203021787423,57.80662967934159,47.77327935222672,67.60471204188482,73.4094616639478,50.0,,50.0,53.699717410794214,standard,177,216766020,False,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,EJ AKTUELL,-0.1,0.023165684193372726,82.9,0.875,2026-06-04,0
GLW,Corning Incorporated,Technology,Electronic Components,United States,USD,172471814877.0836,58.736727,24.631521999999997,1.3832,8.143602975,10.567478,11.101,27.419999999999998,0.01913999749999999,-0.009600000000000004,0.0019500040000000052,0.013094994999999998,-0.08823000000000003,0.066,1.178,1.363,30.290999999999997,-0.10299999999999976,0.749,-208257952.0,1755000064.0,9923999744.0,181177827328.0,0.56,0.5385,1.12,2.58,0.28,1780012800.0,1.136,211.46588845889576,48.93507572100269,200.39999389648438,197.66667,1.8125,15.0,1.53,0.0279,0.08197,0.73809,False,False,,0.5,13124331.0,12517830.0,0.97,24.04,49.23,,,-3.46,0.7006,47.2,17.72,,False,0.7480071742074026,,0.857,US,True,True,35.53063031306615,42.187858312020616,64.89218328840971,79.0034716792754,36.20571056819338,34.68286099865047,67.60471204188482,42.25122349102774,50.0,62.462006079027354,50.0,53.69812546847307,standard,178,2508573056,False,3,SVAG,-8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,-7.7,-0.0012001332361251116,63.6,0.875,2026-06-04,0
NESN.SW,Nestlé S.A.,Consumer Defensive,Packaged Foods,Switzerland,CHF,199629995769.9585,3.2742270000000033,3.1159939999999997,2.1518,3.5808150499999996,2.220949,2.802,4.8260000000000005,0.091142495,0.012995002500000005,0.050949996000000004,0.05078000600000001,0.08263999999999999,-0.057999999999999996,-0.273,-0.243,83.43875000000001,-0.16800000000000015,0.447,5677398464.0,6230000128.0,57851998208.0,251886206976.0,3.99,0.8689,3.1,3.08,3.1,1776643200.0,0.499,84.2594760502646,67.15778239946611,77.61000061035156,87.87273,2.18182,22.0,,,0.00018999999,0.47198,False,False,,0.5,3558198.0,3393647.0,0.18,-0.12,-0.75,,,-4.55,0.2105,52.8,0.6,,False,0.3450181480197832,,0.5,Europe,True,True,71.97578430488495,63.97465294288253,37.53369272237197,19.11917282593352,59.2771334413934,32.928475033738195,67.60471204188482,75.04078303425776,50.0,,50.0,53.62029448540918,standard,179,294986659,False,4,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,EJ AKTUELL,-0.0,-0.012940488755702972,41.9,0.875,2026-06-04,0
