ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,data_quality,data_anomaly,data_fetched_date,data_stale_days,_fundamentals_neutralized
BNS.TO,BNS.TO,Unknown,Unknown,Unknown,USD,,,,,,,,,,,,,,,,,,,,,,,,1460042000000.0,,37097000000.0,,,,,7789000000.0,5407000000.0,,,,,,,,124.30000305175781,71.1762556605677,124.13999938964844,,,,,,,,False,False,,0.5,,,0.16,6.47,21.85,25.79,,0.0,0.1712,61.7,9.53,,False,0.9299521709377832,,0.904,Canada,True,,,87.73360317250165,78.46638655462185,99.00221729490022,,12.289915966386554,,50.0,,50.0,73.66795305092997,standard,1,,True,44.6,False,28.17195325542571,50.04173622704508,50.04173622704508,50.04173622704508,50.04173622704508,50.04173622704508,1,SVAG,-8,UPPTREND,False,3,0.42857142857142855,LÅG,OK,8.1,0.0,EXTREME_GROWTH;EXTREME_EARNINGS_GROWTH;MISSING_CRITICAL;,2026-07-14,0,True
V,Visa Inc.,Financial Services,Credit Services,United States,USD,579188976996.0531,6.630729250000001,3.3836905,1.5282,10.710752,15.424071,15.53,6.645,0.4075787525,0.16167500935,0.25983251,0.30014626999999994,0.48179500999999997,0.10850000000000001,0.22199999999999998,0.315,-4.7890000000000015,-0.5189999999999997,0.669,19521627008.0,13912999936.0,23975999488.0,668203679744.0,99627000000.0,,40000000000.0,,,26556000000.0,,20058000000.0,23059000000.0,0.77,0.2197,2.68,0.7,0.67,1778544000.0,0.754,365.0199890136719,293.2820187246287,348.9700012207031,401.15817,1.36585,38.0,2.31,0.0125,0.00081,0.91583997,False,False,,0.5,8292962.0,10205490.0,0.494079565636949,7.36,13.43,-1.54,,-0.04397016129537934,0.2164131321631628,69.53082613549401,0.05760855399825826,0.06355025585324059,True,0.7163142355748475,,0.869,US,True,78.96155705996132,94.29761941925007,67.48517224313265,70.56747120344195,55.872052762296654,23.820224719101123,67.96218487394958,87.2340425531915,50.0,86.08247422680412,50.0,72.28858007311264,standard,2,3561409858,False,47.4,False,84.0567612687813,18.697829716193656,7.0951585976627705,50.04173622704508,50.04173622704508,50.04173622704508,7,STARK,8,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,5.4,0.875,,2026-07-14,0,True
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,United States,USD,115399444041.85219,22.802178999999995,18.240059499999994,3.6939,105.89221080000002,16.231724,15.848,22.236749999999994,1.1209837525000002,0.0642450085,0.16169248899999997,0.16758373999999998,0.30705500999999996,0.07150000000000001,0.08399999999999996,0.233,3.304500000000001,-0.4649999999999999,1.034,494927360.0,3294899968.0,567200000.0,112671744000.0,10389200000.0,,6799600000.0,,,2084700000.0,,1853400000.0,2590600000.0,,0.0,,,,,1.09,165.27999877929688,70.12000274658203,157.50999450683594,113.89189,2.75,37.0,2.12,0.0249,0.17386,0.72240996,False,False,,0.5,6308293.0,5881900.0,0.53,13.67,111.3,,,0.0,0.4816,66.2,21.03,,False,0.7181127974474992,,1.0,US,True,47.75628626692456,87.28035325234053,97.5949953660797,68.85406864175305,43.91989518439677,46.51685393258427,12.289915966386554,56.53495440729483,50.0,62.628865979381445,50.0,69.52687787631737,standard,3,926458037,False,45.0,False,64.60767946577629,35.80968280467446,6.67779632721202,50.04173622704508,50.04173622704508,50.04173622704508,8,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,OK,16.5,0.875,,2026-07-14,0,True
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,62626673711805.0,2.7537959999999986,1.5034224999999992,1.1813,5.7593165000000015,15.260266,14.713,3.7007499999999984,0.23896499999999996,0.12423000915000003,0.3345050040000001,0.41492,0.25788002,0.22149999999999997,0.38199999999999995,0.583,8.960874999999998,0.68625,2.187,684907126784.0,3383596154880.0,1094369804288.0,60378876739584.0,7932842500000.0,,3809054300000.0,,,1936095600000.0,,1697604000000.0,2274975600000.0,0.99,0.2785,24.0,1.7,7.0,1789516800.0,1.246,2535.0,1070.727733037243,2415.0,2833.9707,1.32353,34.0,,,0.00022,0.43839002,False,False,,0.5,33980625.0,25832127.0,1.58,,,,,,0.3367,56.1,,,False,0.47881798919215207,,0.927,Asia,True,71.73355899419728,91.31118628311881,,80.27889901553401,56.8160752794634,3.146067415730337,67.96218487394958,70.82066869300911,50.0,,50.0,69.40305850479474,standard,4,1941267877,False,41.0,False,68.03005008347245,2.5459098497495827,7.262103505843072,50.04173622704508,50.04173622704508,50.04173622704508,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,6.0,0.875,SUSPICIOUS_FWD_PE;,2026-07-14,0,True
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,United States,USD,1059905961155.6252,9.251358000000005,2.7547390000000007,1.5739,25.003487099999994,14.670181,15.197,9.796749999999996,0.8854387524999999,0.13390500949999998,0.21887748999999998,0.30511123000000007,0.33233500999999993,0.47050000000000003,1.586,1.681,75.73274999999998,-0.4629999999999999,0.721,7838477184.0,5281999872.0,43370000384.0,1097994010624.0,112476000000.0,,65179000000.0,,,29696000000.0,,20640000000.0,16813000000.0,0.57,0.22129999,6.92,0.89,1.73,1786665600.0,0.506,1249.449951171875,619.3983893784804,1188.5799560546875,1240.4642,1.76667,28.0,2.74,0.0105,0.00155,0.85236,False,False,,0.284,3300485.0,3388710.0,0.52,2.11,25.62,,,-6.37,0.3984,57.9,5.41,,False,0.6187632893317456,,1.0,US,True,59.46808510638297,93.28223224667502,61.64359360518999,93.434510261694,45.68193443129816,20.674157303370784,67.96218487394958,63.525835866261396,50.0,88.14432989690721,28.4,68.96017440913559,standard,6,4027752783,False,42.2,False,64.27378964941569,16.52754590984975,7.595993322203673,50.04173622704508,50.04173622704508,50.04173622704508,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,10.0,0.875,,2026-07-14,0,True
MA,Mastercard Incorporated,Financial Services,Credit Services,United States,USD,461970055225.39307,6.539895250000003,3.0186224999999993,1.6098,61.51864300000002,13.713396,14.03,6.751999999999999,2.1248487524999997,0.22006499934999996,0.20180248000000003,0.23504626999999995,0.50401501,0.0955,0.07899999999999999,0.184,210.03700000000003,-0.6259999999999999,0.564,14830002048.0,8218999808.0,18959998976.0,476162949120.0,54157000000.0,,32791000000.0,,,19514000000.0,,14968000000.0,17648000000.0,0.67,0.1823,3.48,0.54,0.87,1783555200.0,0.729,598.0432666718583,463.74259988972767,526.739990234375,643.8421,1.34146,38.0,1.77,0.0088,0.00114,0.91477996,False,False,,0.297,3824840.0,4340630.0,0.48,10.26,5.28,,,-2.56,0.2487,75.5,7.92,,True,0.7889488808979779,,0.899,US,True,79.21663442940039,95.02795971916876,48.85281510658017,63.876042992178824,43.33664388142119,25.617977528089884,67.96218487394958,87.84194528875379,50.0,90.20618556701031,29.7,68.02180496351494,standard,7,2286383404,False,47.6,False,83.0550918196995,20.36727879799666,8.347245409015025,50.04173622704508,50.04173622704508,50.04173622704508,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-0.8,0.875,,2026-07-14,0,True
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,USD,1106014698987.7625,-18.034976,-21.1916048,0.1457,4.2901428,12.251754,12.034,-9.553250000000002,0.4634437525,0.2770849985,0.445842489,0.65846377,0.22970500999999993,3.3274999999999997,13.483,13.983,-47.6755,1.807,2.927,6321377152.0,26022000640.0,6376000000.0,1086368710656.0,82798000000.0,,37378000000.0,,,9809000000.0,,8539000000.0,17525000000.0,0.05,0.0112,0.53,0.33,0.15,1783296000.0,2.142,1254.8069810301963,103.21433303891678,979.2999877929688,1486.0,1.42222,42.0,0.55,0.028099999,0.0025499999,0.81311995,False,False,,0.456,51537644.0,55761390.0,0.51,0.09,111.0,,,-19.04,0.8993,44.7,7.18,,False,0.2819974941534497,,1.0,US,True,,93.09398702485359,55.4074953660797,98.0874491287714,31.107061385110168,20.224719101123593,24.789915966386555,59.87841945288754,50.0,57.98969072164949,45.6,66.96446208185115,standard,8,54607128546,False,42.1,False,62.93823038397329,16.193656093489146,9.515859766277128,50.04173622704508,50.04173622704508,50.04173622704508,6,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,OK,11.1,0.875,SUSPICIOUS_FWD_PE;,2026-07-14,0,True
6857.T,Advantest Corporation,Technology,Semiconductor Equipment & Materials,Japan,JPY,21621191716440.0,19.557798499999997,92.07308,2.2104,21.690705474999998,19.350029,18.874,18.900749999999995,0.44114999999999993,0.245269999,0.207632504,0.30192252300000005,0.351384975,0.2825,2.004,2.173,1.0267499999999998,-0.27024999999999993,1.722,89419251712.0,339966001152.0,20192000000.0,21301416689664.0,1171816000000.0,,1128610000000.0,,,499120000000.0,,375353000000.0,335182000000.0,0.2,0.1145,60.0,0.81,30.0,1774828800.0,1.186,35940.0,9711.253449554897,29830.0,35140.0,1.75,20.0,,,0.00279,0.65313005,False,False,,0.5,9287914.0,7913510.0,1.12,,,,,,0.7339,43.6,,,False,0.3797014320840355,,1.0,Japan,True,48.523936170212764,92.95668725368655,,93.01356437006122,41.6340718453921,7.415730337078652,67.96218487394958,55.92705167173252,50.0,,50.0,66.72707134915586,standard,9,1455624007,False,40.3,False,66.4440734557596,2.5459098497495827,5.175292153589315,50.04173622704508,50.04173622704508,50.04173622704508,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,4.8,0.875,,2026-07-14,0,True
000660.KS,SK hynix Inc.,Technology,Semiconductors,South Korea,KRW,1547483662380000.0,,-12.538100199999999,2.9836,,11.715922,11.445,-0.9532500000000015,0.48858500000000005,0.22988999915000002,0.43835500400000005,0.54922003,0.32257002,1.8515000000000001,3.7640000000000002,3.975,3.7958749999999988,0.81525,2.174,25774802755584.0,54361531088896.0,21832415576064.0,1511647160041472.0,176107659000000.0,,97146675000000.0,,,47206319000000.0,,42919287000000.0,53373126000000.0,0.14,0.028399998,3000.0,1.06,375.0,1779926400.0,2.027,2987000.0,243980.453125,2180000.0,3221475.2,1.43243,37.0,,,0.20716,0.41442,False,False,,0.5,5355752.0,5892603.0,1.3,-19.36,79.68,,,-36.79,0.9766,33.7,-14.34,,False,0.1933437583743126,,1.0,Asia,True,,94.57877863259792,50.11903382761817,96.53126651421614,42.62684639956644,0.44943820224719105,35.50420168067227,77.50759878419453,50.0,,50.0,66.08948173603572,standard,10,9377488414,False,42.6,False,72.95492487479132,2.5459098497495827,9.93322203672788,50.04173622704508,50.04173622704508,50.04173622704508,7,STARK,8,VARNING,False,2,0.2857142857142857,LÅG,VÄNTA,12.5,0.625,SUSPICIOUS_FWD_PE;,2026-07-14,0,True
AAPL,Apple Inc.,Technology,Consumer Electronics,United States,USD,4631217201493.408,-2.037737999999999,5.167944500000001,2.5551,32.595004800000005,10.286465,10.295,3.5737499999999986,1.2117736525000002,0.19067499849999997,0.15830250899999995,0.17751373999999998,-0.017364990000000025,0.036500000000000005,0.015999999999999986,0.194,25.5425,-0.5479999999999998,0.906,99772623744.0,68507000832.0,84710998016.0,4647420952576.0,359241000000.0,,416161000000.0,,,133050000000.0,,112010000000.0,111482000000.0,0.34,0.1259,1.08,0.5,0.27,1778457600.0,1.097,317.3999938964844,200.70374904924734,315.32000732421875,315.56668,2.0,42.0,2.11,0.0095999995,0.01631,0.65731,False,False,,0.5,54717498.0,81136140.0,0.38,8.1,21.71,,,-0.82,0.2683,63.8,5.07,,True,0.8727703857010282,,0.911,US,True,78.88297872340425,82.37258872789647,72.33549582947174,58.371625322694136,48.98868219902154,13.707865168539326,67.96218487394958,80.54711246200608,50.0,89.43298969072166,50.0,65.98477865615112,standard,11,25583848259,False,44.9,False,76.79465776293823,9.766277128547578,11.519198664440735,50.04173622704508,50.04173622704508,50.04173622704508,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,2.8,0.875,,2026-07-14,0,True
