ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,insider_recent_date,earnings_surprise,bb_position,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,data_warnings,_fundamentals_neutralized,data_quality,data_anomaly,data_fetched_date,data_stale_days,predicted_return,ml_rank
RMS.PA,Hermès International Société en commandite par actions,Consumer Cyclical,Luxury Goods,France,EUR,,11.976033000000001,15.226012,3.9725,5.4810682,10.3761215,9.754,5.9144999999999985,0.08628998100000002,0.11858000899999999,0.219069992,0.3122799775,0.31067997999999997,-0.065,-0.10400000000000001,-0.004,0.0,3.3122499999999997,3.632,4212225536.0,12309999616.0,2280000000.0,157349593088.0,24322000000.0,,16001000000.0,,,6695000000.0,,4524000000.0,5374000000.0,0.0115,0.4186,18.0,0.66,13.0,1776729600.0,1.0,2277.0551377844085,1465.5,,1869.8182,2.04545,22.0,,,0.66982,0.102390006,False,False,,0.5,88517.0,72634.0,1.24215153879588,,,,,,0.32540937944352044,35.412474849094565,,,False,,0.5,,Europe,True,73.95923884787356,87.79239595129343,,25.068854815451985,61.42830512168536,,70.45454545454545,80.67796610169492,50.0,,50.0,58.240791564019865,standard,96,,True,43.5,False,47.23154362416108,50.041946308724825,11.409395973154362,50.041946308724825,50.041946308724825,50.041946308724825,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,8.0,,True,0.875,,2026-08-30,0,0.006483403965830803,48.0
SU.PA,Schneider Electric S.E.,Industrials,Specialty Industrial Machinery,France,EUR,,6.017578500000001,5.243692500000003,1.7952,2.84651765,4.0342717,4.43,4.4914999999999985,0.004274990000000006,0.018280000999999997,0.028660001999999997,0.05072999750000002,0.018439979999999967,-0.0025000000000000022,0.1495,0.301,22.550000000000004,0.0,0.807,4672350720.0,4518000128.0,20809000960.0,186246348800.0,62504000000.0,,40152000000.0,,,7010000000.0,,4163000000.0,6131000000.0,0.0141,0.4951,4.2,1.77,4.2,1778457600.0,1.15,312.29998779296875,209.3244357346241,,325.875,1.41667,24.0,,,0.034679998,0.52541,False,False,,0.5,886406.0,600807.0,0.9677043687238964,,,,,,0.32430018272036054,43.69229054951604,,,False,,0.5,,Europe,True,75.6787979619424,59.199733495720906,,47.24225050862104,47.96320425980387,,70.45454545454545,79.3220338983051,50.0,,50.0,58.23396528820765,standard,97,,True,47.3,False,47.23154362416108,50.041946308724825,36.74496644295302,50.041946308724825,50.041946308724825,50.041946308724825,5,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,VÄNTA,0.8,,True,0.875,,2026-08-30,0,0.05559980496764183,80.4
2269.HK,WuXi Biologics (Cayman) Inc.,Healthcare,Biotechnology,China,HKD,207981498716.68814,11.417717250000003,9.177257250000002,1.0742,1.1292089025,8.803808,8.72,10.6025,0.019562500000000003,0.027425000000000005,0.08247500599999999,0.132925005,0.10778001999999998,0.0965,-0.11849999999999998,0.043,0.0,1.377,2.637,,13028279296.0,2725683968.0,206008729600.0,63696738000.0,,21790018000.0,,,7056897000.0,,4908343000.0,6340922000.0,,0.0,,,,,0.598,54.45000076293945,28.479999542236328,50.650001525878906,54.726982,1.57692,24.0,,,0.09984,0.38424,False,False,,0.5,36973168.0,49951216.0,0.7132952439280014,33.99,51.92,24.39,,-0.06978878207191797,0.47452400534810857,64.07706775340046,0.24730349852772604,0.40103678013703226,True,,0.5,0.7621897643656896,Asia,True,,69.55388770051808,80.73201199312452,39.06681415153551,58.56989809941373,52.400000000000006,12.5,,50.0,,50.0,58.165390205837014,standard,98,322744858,False,50.7,False,47.23154362416108,94.96644295302013,14.093959731543624,50.041946308724825,50.041946308724825,50.041946308724825,4,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,VÄNTA,7.8,,True,0.875,,2026-08-30,0,0.1203036904335022,96.2
SHOP.TO,Shopify Inc.,Technology,Software - Application,Canada,CAD,,65.66237399999999,42.014939749999996,2.8906,9.881335775,20.773817,20.238,92.74650000000001,-0.009109996249999988,0.027344999000000047,0.046437498250000014,0.022905005000000006,0.06475500000000001,0.1675,0.36400000000000005,0.658,0.0,3.4709999999999996,3.718,831324992.0,4946999808.0,178000000.0,268539904000.0,15189000000.0,,11556000000.0,,,1885000000.0,,1231000000.0,2033000000.0,,0.0,,,,,2.59,253.10000610351562,129.00999450683594,,231.49937,1.71154,3.0,2.99,0.0062,0.00233,0.73258,False,False,,0.5,2111296.0,1703910.0,0.7139977773666696,,,,,,0.5636207660499125,51.90586891756943,,,False,,0.526,,Canada,True,37.67099927212228,60.30681014425194,,69.01865610870021,37.30424295982477,,12.5,51.186440677966104,50.0,94.28571428571428,50.0,58.081707343369985,standard,99,,True,42.2,False,47.23154362416108,50.041946308724825,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,5,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,VÄNTA,-4.7,,True,0.875,,2026-08-30,0,-0.002340317703783512,36.3
FEMSAUBD.MX,"Fomento Económico Mexicano, S.A.B. de C.V.",Consumer Defensive,Beverages - Brewers,Mexico,MXN,,,9.4134675,2.28,0.49319960000000007,0.9667941,1.045,0.9580000000000006,-0.050329995,-0.005237499500000001,-0.060603744999999994,-0.06550126,0.094945,0.056,0.985,1.041,0.0,0.0,0.816,86430652736.0,117928239104.0,253004922880.0,911807414272.0,795877000000.0,,840954000000.0,,,72155000000.0,,19431000000.0,71080000000.0,0.0233,1.0623001,4.75,2.53,3.202925,1791936000.0,0.184,235.35000610351562,145.1988833234049,,248.25,2.08333,12.0,,,3.0000001e-05,0.23766,False,False,,0.5,2394407.0,1175281.0,0.3860971818848818,,,,,,0.24057097171695005,41.33623804675966,,,True,,0.342,,LatAm,True,95.61703233856711,37.09769252516496,,60.96822128372034,71.5405680576335,,36.90191387559808,97.28813559322033,50.0,,50.0,50.0586616483789,standard,209,,True,54.2,False,47.23154362416108,50.041946308724825,82.38255033557047,50.041946308724825,50.041946308724825,50.041946308724825,3,SVAG,-8,UPPTREND,False,3,0.42857142857142855,LÅG,EJ AKTUELL,2.1,,True,0.875,,2026-08-30,0,0.014357724227011204,55.8
FIVE,"Five Below, Inc.",Consumer Cyclical,Specialty Retail,United States,USD,,,5.865235499999999,0.9842,0.315405465,2.6333547,2.808,0.5507499999999999,0.036637490999999994,0.00402000000000001,0.006987491249999995,0.015888743750000017,-0.10458500000000001,0.244,1.855,1.991,12.281750000000004,0.6359999999999999,1.133,-685331584.0,1113261952.0,1998708992.0,14260839424.0,4937019000.0,,4764147000.0,,,457399000.0,,358641000.0,586428000.0,,0.0,,,,,0.975,263.8800048828125,137.77000427246094,,272.4762,1.72,21.0,1.71,0.031600002,0.01663,1.03318,False,False,,0.652,1258882.0,1071250.0,1.0466855061323792,,,,,,0.40386231602760936,51.67415055326081,,,True,,0.833,,US,True,44.30726837891234,51.340153451411666,,84.93093876260345,56.9101348966098,,12.5,22.54237288135593,50.0,54.714285714285715,65.2,50.01680399516092,standard,210,,True,50.2,False,47.23154362416108,50.041946308724825,56.04026845637584,50.041946308724825,50.041946308724825,50.041946308724825,3,SVAG,-8,UPPTREND,False,1,0.14285714285714285,LÅG,EJ AKTUELL,-8.7,,True,0.875,,2026-08-30,0,0.0190792977809906,59.7
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,United States,USD,,13.833926499999999,4.3197980000000005,1.7571,28.682062789999996,16.88955,16.982,16.607,0.6853575,0.13715498850000002,0.24289249825,0.28876624375000004,0.14037500000000006,-0.017500000000000016,-0.179,0.133,46.247249999999994,1.1345,1.841,1511946048.0,4902408192.0,6151712768.0,230600523776.0,17951535000.0,,13579476000.0,,,5660780000.0,,4830771000.0,4143079000.0,0.005,0.2186,0.92,0.92,0.23,1786924800.0,1.458,307.0229676417069,82.77744324748765,,234.34615,1.86207,26.0,2.17,0.0216,0.0012899999,0.93811,False,False,,0.418,12739974.0,8758580.0,1.0329607469538054,,,,,,0.5993613592907965,37.48524139184903,,,False,,0.862,,US,True,48.7786211916398,89.29216451348083,,43.24588884141147,40.27788767152679,,70.45454545454545,57.45762711864407,50.0,70.57142857142857,41.8,49.867007445597615,standard,211,,True,42.7,False,47.23154362416108,50.041946308724825,5.956375838926174,50.041946308724825,50.041946308724825,50.041946308724825,3,SVAG,-8,UPPTREND,False,2,0.2857142857142857,LÅG,EJ AKTUELL,3.9,,True,0.875,,2026-08-30,0,0.08473680168390274,89.7
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,United States,USD,385766580883.7859,,,4.2906,,7.695477,8.295,,,,,,,0.067,0.169,0.161,,,0.798,,16371000320.0,44260999168.0,415821561856.0,104816000000.0,,47941000000.0,,,14911000000.0,,13107000000.0,7408000000.0,0.02364487969451109,0.6246,2.12,2.87,0.53,1789430400.0,0.342,92.48999786376953,64.03758462860179,89.66000366210938,94.69565,1.75,23.0,2.35,0.0092,0.098950006,0.68363,False,False,,0.638,17493966.0,13757930.0,0.7038921522631665,1.32,14.21,11.4,,-0.03059784049112546,0.18698752265633384,62.809931251326745,0.05191534162771183,0.15806885311218344,False,,0.888,0.655803519966338,,,,,71.30620769178046,62.149314133571735,89.39236056373554,44.4,28.947368421052634,,50.0,92.71428571428572,63.800000000000004,49.7855181027073,standard,213,1233536054,False,,,,,,,,,2,SVAG,-8,UPPTREND,False,3,0.42857142857142855,LÅG,EJ AKTUELL,,[],True,0.25,MISSING_CRITICAL;,2026-08-30,0,0.059566643089056015,82.6
WDAY,"Workday, Inc.",Technology,Software - Application,United States,USD,,5.145689499999998,,0.761,0.17555638999999945,4.9788685,4.895,9.862000000000002,-0.029542500000000006,-0.025715001499999994,0.010342498249999995,-0.017933756249999995,0.285315,-0.04150000000000001,1.743,1.772,7.757249999999997,0.0,0.806,1911233600.0,3403000064.0,3772000000.0,49706520576.0,18074000000.0,,9552000000.0,,,1024000000.0,,693000000.0,2939000000.0,,0.0,,,,,,249.85000610351562,110.36000061035156,,188.2071,2.19512,38.0,3.97,0.1149,0.02199,1.12699,False,False,,0.485,4944143.0,4593420.0,1.7422284765405014,,,,,,0.5331502571228105,58.2847681986986,,,False,,0.906,,US,True,74.56389726525943,46.96395122205574,,71.85976637453066,37.266187767357714,,12.5,87.45762711864407,50.0,15.428571428571427,48.5,49.73044060009468,standard,214,,True,46.4,False,47.23154362416108,50.041946308724825,30.11744966442953,50.041946308724825,50.041946308724825,50.041946308724825,3,SVAG,-8,UPPTREND,False,2,0.2857142857142857,LÅG,EJ AKTUELL,-13.8,,True,0.75,SUSPICIOUS_FWD_PE;,2026-08-30,0,0.15487758815288544,98.5
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,United States,USD,,,,1.6402,1.1691897900000003,11.491237,11.648,-1.5799999999999983,0.15078753,0.07003499850000001,0.29020249825000005,0.31501624375000004,0.20680500000000004,0.007499999999999979,0.0,0.313,0.0,0.0,1.099,15432858688.0,76842999808.0,128812998656.0,3865136857088.0,758376000000.0,,331839000000.0,,,155237000000.0,,133749000000.0,182935000000.0,0.0072,0.1983,3.64,0.79,0.91,1787184000.0,1.099,549.2013167264516,348.54386902384044,,569.4537,1.36364,52.0,1.85,0.0092,0.00090000004,0.75881,False,False,,0.662,38286369.0,21863200.0,1.0163097957808331,,,,,,0.3241939920327496,54.249022646464944,,,False,,0.948,,US,True,,87.28041936930079,,58.20332907163233,34.37315615175327,,70.45454545454545,52.20338983050847,50.0,92.71428571428572,66.2,57.649571506848886,standard,100,,True,43.4,False,47.23154362416108,50.041946308724825,10.40268456375839,50.041946308724825,50.041946308724825,50.041946308724825,4,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,VÄNTA,-1.4,,True,0.875,SUSPICIOUS_FWD_PE;,2026-08-30,0,0.07187977433204651,86.6
