ticker,name,current_price,day_change_pct,week_change_pct,avg_volume,market_cap,ev_to_ebitda,price_to_book,debt_to_equity,current_ratio,total_cash,total_debt,free_cash_flow,operating_cashflow,book_value,gross_margin,operating_margin,revenue_growth,earnings_growth,return_12m,return_6m,shares_change_pct,piotroski_score,insider_pct,insider_net_buy_6m,insider_buy_count,insider_sell_count,insider_signal,sc_insider,sc_fcf,sc_piotroski,sc_growth,sc_balance,sc_valuation,sc_momentum,sc_liquidity,sc_composite,sc_bonus,sc_penalty,sc_total,sc_rank,sc_stars,sector_signal,sector_adjustment,sector
CX.ST,CombinedX AB (publ),39.9,0.02307692307692304,0.002512620370234586,26481,777200128,2.529,1.307768,15.8,2.435,351300000.0,93900000.0,169287504.0,102000000.0,30.51,0.19086,0.49485,-0.051,16.708,0.1086699527544066,0.3449439004821755,,7,0.53876996,0,0,0,N/A,58.421052631578945,98.24561403508771,85.0,51.92982456140351,65.35087719298247,66.66666666666666,80.7017543859649,78.94736842105263,72.78859649122806,8.0,0.0,80.78859649122806,1,★★★★★,NEUTRAL,0,Mjukvara & SaaS
TAGM-B.ST,TagMaster AB (publ),31.0,-0.015873015873015872,-0.040247655348825684,21185,454073312,7.116,1.6429935,24.596,1.833,48356000.0,71681000.0,66606124.0,96715000.0,18.868,0.70459,0.096370004,-0.084,0.194,0.8787878787878789,0.2757202046624394,,7,0.70455,0,0,0,N/A,64.73684210526316,87.71929824561403,85.0,43.50877192982456,55.35087719298246,49.122807017543856,98.24561403508771,61.40350877192983,68.54298245614035,6.0,0.0,64.54298245614035,2,★★★★,NEDTREND,-10,Industri & Verkstad
MAGI.ST,MAG Interactive AB (publ),8.64,-0.033557046979865654,-0.01369861671503625,37975,229314256,-32.461,0.77433234,10.356,2.882,84998000.0,30670000.0,6065125.0,56194000.0,11.158,0.56347,-0.02303,0.079,,-0.3999999602635691,0.6744187207013128,,5,0.5153,0,0,0,N/A,56.315789473684205,56.14035087719298,55.0,59.99999999999999,73.68421052631578,85.96491228070175,63.1578947368421,33.33333333333333,61.678070175438584,11.0,0.0,72.67807017543859,3,★★★★,NEUTRAL,0,Övrigt
AAC.ST,AAC Clyde Space AB (publ),105.0,-0.013157894736842158,-0.048913056623582474,22430,814051904,-29.449,0.97736245,2.821,1.034,126921000.0,21650000.0,69113504.0,35432000.0,107.432,0.66488,-0.05935,0.519,,0.05633801195328081,-0.013157908889112169,,4,0.15654999,0,0,0,N/A,36.66666666666667,77.19298245614034,40.0,74.73684210526315,54.3859649122807,80.7017543859649,70.17543859649122,98.24561403508771,62.10526315789473,8.0,0.0,60.10526315789474,4,★★★★,NEDTREND,-10,Försvar & Rymd
NTEK-B.ST,Novotek AB,63.5,-0.023076923076923078,-0.059259259259259234,7658,673100032,10.077,2.9239767,0.422,1.226,120000000.0,1000000.0,30926000.0,45685000.0,21.717,0.61708,0.07864,0.121,0.745,-0.3331682358803021,-0.009855793280901248,,6,0.36426997,0,0,0,N/A,49.298245614035096,64.91228070175438,70.0,83.50877192982455,63.77192982456141,36.84210526315789,35.08771929824561,47.368421052631575,58.21578947368421,11.0,0.0,59.21578947368421,5,★★★★,NEDTREND,-10,Industri & Verkstad
ALCA.ST,Alcadon Group AB (publ),30.6,-0.012903225806451568,0.026845676674188024,27917,750037376,10.609,0.91592085,43.595,1.6,60200000.0,357000000.0,131662496.0,125000000.0,33.409,0.27306998,0.056199998,0.013,0.736,0.7047353248389912,-0.04968945166334415,,7,0.35071,0,0,0,N/A,47.89473684210526,92.98245614035088,85.0,69.12280701754386,46.75438596491228,28.07017543859649,91.22807017543859,73.68421052631578,66.1078947368421,3.0,0.0,69.1078947368421,6,★★★★,NEUTRAL,0,Mjukvara & SaaS
PRIC-B.ST,Pricer AB (publ),4.12,0.018541409147095223,-0.007228966052757024,195132,673225920,4.786,0.60410553,30.779,2.297,336300000.0,343000000.0,92250000.0,193300000.0,6.82,0.24629,0.05962,0.084,,-0.09748086880251405,0.4430822620085717,,7,0.21416001,0,0,0,N/A,38.07017543859649,85.96491228070175,85.0,61.05263157894736,59.91228070175438,57.89473684210527,75.43859649122807,71.9298245614035,65.81666666666666,3.0,0.0,68.81666666666666,7,★★★★,NEUTRAL,0,Mjukvara & SaaS
ENRO.ST,Eniro Group AB (publ),28.0,-0.043715846994535554,-0.05405406624492348,11721,407683968,4.261,1.3914427,12.628,0.875,145000000.0,37000000.0,17812500.0,84000000.0,20.123,0.30124,0.06073,0.042,12.25,0.4463276836158192,-0.01386746194639954,,5,0.65449,0,0,0,N/A,61.92982456140351,61.40350877192983,55.0,77.19298245614036,38.859649122807014,59.64912280701754,87.71929824561403,35.08771929824561,60.72719298245613,8.0,0.0,68.72719298245613,8,★★★★,NEUTRAL,0,Övrigt
BEGR.ST,BE Group AB (publ),29.4,-0.0033898305084746243,0.01030925199752164,12089,572559296,-29.322,0.577762,70.03,1.713,37000000.0,694000000.0,55250000.0,51000000.0,50.886,0.11807,0.011360001,0.011,,-0.11578948515698428,0.15294116151099102,,6,0.52836,0,0,0,N/A,57.71929824561404,80.7017543859649,70.0,50.52631578947368,39.473684210526315,91.22807017543859,64.91228070175438,40.35087719298245,63.9140350877193,3.0,0.0,56.9140350877193,9,★★★★,NEDTREND,-10,Tjänster & Konsult
ADTR.ST,Adtraction Group AB,38.8,0.0077922077922077185,-0.027568978615324258,7216,644357120,8.947,3.5304823,,1.23,112391000.0,0.0,74273760.0,64309704.0,10.99,0.07948,-0.01739,0.195,,0.43707995130887944,0.22745961682627813,,4,0.70362,0,0,0,N/A,64.73684210526316,82.45614035087719,40.0,67.36842105263156,22.105263157894736,42.10526315789473,89.47368421052632,22.807017543859647,56.501754385964915,8.0,0.0,64.50175438596492,10,★★★,NEUTRAL,0,Mjukvara & SaaS
