ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,predicted_return,ml_rank,_fundamentals_neutralized,data_quality,data_anomaly,data_fetched_date,data_stale_days
LAND.L,Land Securities Group Plc,Real Estate,REIT - Diversified,United Kingdom,GBp,5882981500066.177,-12.9927165,-9.954753,3.56,-1.3278389649999998,5.2412057,10.157,4.504999999999999,-0.022496250000000023,-0.00962500025,0.11586249499999998,0.02387248350000006,0.180485,-0.05299999999999999,0.38349999999999995,0.618,-31.02500000000001,-0.06825000000000014,0.447,-398993760.0,106000000.0,4517000192.0,9059903488.0,14.15,0.6819,0.89,5.97,0.222,1781740800.0,1.148,8313.608018453895,6552.095557076274,7896.146192550659,703.353,2.0,17.0,,,0.0045,0.76975995,False,False,,0.5,3144899.0,3384746.0,1.5057073792725968,4.52,1.99,3.35,-2.47,-0.050214278202266316,0.23821986062292552,71.82564231503413,0.06327164908361449,0.04572782807363995,True,0.7112324394291475,,0.5,UK,True,35.96334285510974,57.43022982198204,53.648789950000484,50.76875118654911,52.139342042389224,10.87248322147651,67.34028683181225,22.0949263502455,50.0,,50.0,48.8100564348752,standard,444,26726449241,False,3,SVAG,-8,UPPTREND,False,1,0.14285714285714285,LÅG,EJ AKTUELL,-6.4,-0.00920864474028349,37.6,True,1.0,SUSPICIOUS_FWD_PE;,2026-06-09,0
SAN.MC,"Banco Santander, S.A.",Financial Services,Banks - Diversified,Spain,EUR,153709214502.46573,-2.0556395,-2.5385739999999988,3.4606,-0.73799284,3.2445903,5.2,,-0.020102491,-0.006825000099999999,0.10633498000000005,0.06902002500000001,-0.37393501500000004,-0.015,0.539,0.603,,,,,307914997760.0,392526004224.0,246353297408.0,2.34,0.2545,0.25,3.15,0.125,1777507200.0,0.95,11.125619463221181,6.623049176735981,10.673999786376953,12.1525,1.65,20.0,,,0.01568,0.40171,False,False,,0.5,29745873.0,24728340.0,0.84,2.76,5.96,,,-4.97,0.3445,46.3,1.37,,False,0.6650815800115937,,0.672,Europe,True,,47.43289569051227,42.60312944523471,60.88672730094364,46.961611464794615,36.644295302013425,67.34028683181225,,50.0,,50.0,48.775559801594994,standard,446,304898109,False,2,SVAG,-8,UPPTREND,False,2,0.2857142857142857,LÅG,EJ AKTUELL,0.6,-0.003626036923378706,50.1,True,0.75,SUSPICIOUS_FWD_PE;,2026-06-09,0
EAT,"Brinker International, Inc.",Consumer Cyclical,Restaurants,United States,USD,6024019271.342926,-15.891010500000004,-8.2544455,0.89,9.381011275000002,1.0506705,1.346,-8.78775,1.2078150115,0.06931000000000001,-0.0047199999999999985,0.006302510000000025,-0.29666748499999995,-0.039999999999999994,0.0059999999999999915,0.074,353.31249999999994,-1.0458749999999999,0.228,-778548576.0,57100000.0,1748000000.0,7714918912.0,,0.0,,3.47,0.38,1583366400.0,1.28,187.1199951171875,100.30000305175781,140.4600067138672,184.9,1.61905,20.0,4.11,0.1975,0.012209999,1.1496,False,False,,0.708,1174690.0,870170.0,0.7368616668969756,-4.52,4.19,-1.13,,-0.24935864483161507,0.4646042950514326,53.696948972886915,-0.017078959515211434,-0.01688254301070058,True,0.6907467985298373,,0.895,US,True,,60.5370049705399,55.88233170386524,47.916673375182,14.336820436063118,91.6778523489933,12.190352020860495,10.801963993453354,50.0,5.13595166163142,70.8,48.731086758572154,standard,449,122224084,False,2,SVAG,-8,NEDTREND,True,1,0.14285714285714285,LÅG,EJ AKTUELL,-7.3,-0.014148789457976818,26.5,True,0.875,SUSPICIOUS_FWD_PE;,2026-06-09,0
NU,Nu Holdings Ltd.,Financial Services,Banks - Regional,Brazil,USD,45954513444.57113,-1.8390275000000038,-4.80877,0.7044,-0.048243874999999825,7.66328,6.379,,0.1258075065,0.02123,0.16403249250000002,0.11296254000000006,-0.48260748499999995,0.376,0.42400000000000004,0.565,,,,,15906660352.0,6147460096.0,48438890496.0,,0.0,,,,,0.952,18.979999542236328,11.199999809265137,11.970000267028809,18.48095,1.47619,21.0,3.36,0.0379,0.05626,0.88638,False,False,,0.723,53084522.0,75438710.0,0.6838112299680662,-17.33,-17.9,-31.36,,-0.3693361140293032,0.39051413881465163,47.193886363868586,-0.13396421168085082,-0.2266292629968819,False,0.16730853206633728,,0.498,US,True,,64.20950033844458,23.39357792203104,66.40140369509777,41.89368001380426,61.4765100671141,12.190352020860495,,50.0,48.6404833836858,72.3,48.695066802431576,standard,451,903001379,False,4,NEUTRAL,0,NEDTREND,True,2,0.2857142857142857,LÅG,EJ AKTUELL,-3.0,0.009826184250414371,66.9,True,0.75,SUSPICIOUS_FWD_PE;,2026-06-09,0
ARM,Arm Holdings plc,Technology,Semiconductors,United Kingdom,USD,366276241343.9575,360.4432427500001,87.18603100000001,3.4194,36.0411901,74.44639,73.814,318.77475,-0.06323498749999996,-0.013129997999999997,0.07299499749999999,0.15817750500000002,0.4928025150000001,0.067,0.267,0.49,-42.04249999999999,4.223625,5.834,-353836096.0,3600999936.0,491000000.0,363166236672.0,,0.0,,,,,3.786,427.989990234375,100.0199966430664,342.92999267578125,247.40594,1.875,37.0,1.74,0.1329,0.00071000005,0.95364,False,False,,0.388,9836884.0,14716890.0,0.73,48.91,163.66,,,-23.11,0.8234,63.7,37.02,,True,0.6652946673238248,,0.754,US,True,32.794929399924776,60.89217658634109,51.35135135135135,67.94025673147223,33.05372206493651,26.040268456375838,12.190352020860495,46.317512274959086,50.0,13.897280966767372,38.800000000000004,48.64830779281944,standard,452,5046862980,False,5,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,EJ AKTUELL,10.7,-0.0951705127954483,0.7,True,0.875,,2026-06-09,0
APPF,"AppFolio, Inc.",Technology,Software - Application,United States,USD,4011385960.184326,1.4350627499999948,-4.548018000000001,7.45,4.5552341,5.9304247,5.815,9.289749999999996,0.1432050065,0.11448001,0.041934997500000015,0.05641750500000001,0.15488254500000007,0.06999999999999998,0.16,0.352,-40.104499999999994,1.7506250000000003,2.944,-926723808.0,151652992.0,36979000.0,5788079616.0,,0.0,,,,,0.793,326.0400085449219,142.72999572753906,166.94000244140625,229.25,,8.0,7.73,0.113400005,0.04968,0.91810995,False,False,,0.686,362128.0,427130.0,1.0548636461241143,-0.14,-12.67,-29.39,,-0.48797694127650226,0.43313631743597913,62.68730810613057,0.03937471476780452,-0.20934435158696196,True,0.6700007581623943,,0.727,US,True,18.507436134633174,76.82772542190312,23.75894462456044,64.52941641683012,57.73385768331959,94.36241610738256,12.190352020860495,6.873977086743044,50.0,18.731117824773413,68.60000000000001,48.616474656878964,standard,453,71305083,False,5,NEUTRAL,0,NEDTREND,True,2,0.2857142857142857,LÅG,EJ AKTUELL,-4.2,-0.04655144363641739,3.7,True,0.875,SUSPICIOUS_FWD_PE;,2026-06-09,0
NWG.L,NatWest Group plc,Financial Services,Banks - Regional,United Kingdom,GBp,59501672174856.63,-4.069092000000001,-2.4541633,2.4388,-1.1830266999999999,2.9091592,-3.897,,-0.002853744999999991,-0.015654999750000002,0.10604500999999997,0.06510752850000005,-0.401355,0.013999999999999999,0.02099999999999999,0.121,,,,,248496996352.0,137801007104.0,-63348203520.0,5.47,0.4656,0.33,4.68,0.23,1773878400.0,0.823,8586.764615449572,6128.174155265879,7472.08209202881,737.58795,1.88235,17.0,,,0.00065,0.62099,False,False,,0.5,29577309.0,25829993.0,0.5847232364318955,3.46,1.78,-6.47,8.95,-0.1298140304690769,0.30344134863195477,65.02625373616166,0.026048803948622856,0.01879936948082417,True,0.744496550456675,,1.0,UK,True,,46.018127965880716,50.64408828757452,59.10090983789282,56.06015747745457,2.684563758389262,67.34028683181225,,50.0,,50.0,48.5778185350816,standard,454,193003828133,False,1,SVAG,-8,UPPTREND,False,1,0.14285714285714285,LÅG,EJ AKTUELL,-8.0,-0.023302316665649414,14.8,True,0.875,SUSPICIOUS_FWD_PE;,2026-06-09,0
NAB.AX,National Australia Bank Limited,Financial Services,Banks - Diversified,Australia,AUD,112014248117.12265,-2.815723749999999,-2.3986002499999994,2.34,-0.9174952175000002,5.445515,10.598,,-0.006494997000000002,-0.0018350000000000033,0.04535376799999999,0.10486251750000006,-0.13491,,,,,,,,186704003072.0,292010000384.0,218008240128.0,4.65,0.85,1.7,4.58,0.85,1778112000.0,0.719,48.39997655664054,35.41658373790548,36.59000015258789,38.00568,3.28571,14.0,,,0.00026,0.44909,False,False,,0.5,5987080.0,6853234.0,0.958830955949185,-7.39,-20.15,-7.51,-2.65,-0.2440078951325918,0.2138755203003732,52.64188086061287,-0.07027526355101588,-0.11870958422609135,True,0.22086086269390043,,0.5,Australia,True,,53.086709995356685,30.151139225031176,29.595827900912646,75.21818891845501,42.281879194630875,67.34028683181225,,50.0,,50.0,48.53921723784708,standard,456,176293477,False,0,SVAG,-8,NEDTREND,True,2,0.2857142857142857,LÅG,EJ AKTUELL,-22.3,-0.005135471001267433,46.7,True,0.75,EXTREME_GROWTH;EXTREME_EARNINGS_GROWTH;SUSPICIOUS_FWD_PE;,2026-06-09,0
NOVN.SW,Novartis AG,Healthcare,Drug Manufacturers - General,Switzerland,CHF,225116696436.03802,-2.337886499999998,0.3285290000000005,3.962,4.41666591,3.9788733,4.695,-1.252125,0.213180009,0.0491949995,0.13410750000000002,0.11839250000000004,0.38160498499999995,-0.08900000000000001,-0.20500000000000002,-0.125,70.1645,-1.0690000000000002,0.526,11437051200.0,6892000256.0,46997999616.0,265637691392.0,3.14,0.66260004,3.7,3.59,3.7,1773100800.0,0.488,127.13168165418837,88.50694029549845,117.9800033569336,123.57182,2.63636,21.0,,,0.02111,0.45754,False,False,,0.5,2872110.0,3017347.0,0.77,4.43,-1.04,,,-6.53,0.1898,48.0,0.77,,False,0.649612207888943,,0.322,Europe,True,,85.63154776499343,32.64580369843528,15.534577842499669,53.61370640264181,30.87248322147651,67.34028683181225,90.99836333878886,50.0,,50.0,48.50503423014613,standard,458,446305426,False,4,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,EJ AKTUELL,9.6,-0.012854944914579391,28.6,True,0.875,SUSPICIOUS_FWD_PE;,2026-06-09,0
GSK.L,GSK plc,Healthcare,Drug Manufacturers - General,United Kingdom,GBp,97802282543492.88,-8.429953999999999,-3.327720999999998,9.8196,1.1558033500000007,2.3710384,2.842,-2.2779999999999987,0.278338725,0.03468500025,0.044647509999999974,0.10251000349999999,0.32732496,-0.067,-0.027999999999999997,0.07,42.840999999999994,-1.26475,0.507,2327756160.0,3443000064.0,19111999488.0,93146603520.0,3.51,0.4645,0.68,4.37,0.17,1778716800.0,0.294,27740.080583446506,16623.751459801642,24386.8228225708,2082.7998,2.72727,20.0,,,0.01745,0.46568,False,False,,0.5,8088495.0,7453245.0,1.03,3.21,-6.96,,,-16.06,0.2595,50.2,-3.99,,True,0.9024835683757737,,0.975,UK,True,,80.49320895457598,16.89189189189189,47.08264974958941,53.52047941157151,1.2080536912751678,67.34028683181225,80.36006546644845,50.0,,50.0,48.49455040870711,standard,459,181760965268,False,3,SVAG,-8,VARNING,False,2,0.2857142857142857,LÅG,EJ AKTUELL,1.9,-0.03344864398241043,9.2,True,0.875,SUSPICIOUS_FWD_PE;,2026-06-09,0
