ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,data_quality,data_anomaly,data_fetched_date,data_stale_days,_fundamentals_neutralized
000660.KS,SK hynix Inc.,Technology,Semiconductors,South Korea,KRW,1897442123643000.0,,-10.059923950000002,3.6584,,14.36544,14.088,1.1885000000000017,0.48656999,0.22525,0.42214250499999995,0.54195005,0.31673002,1.855,3.7640000000000002,3.975,7.1175,0.7377499999999999,2.174,25774802755584.0,54361531088896.0,21832415576064.0,1860837530664960.0,176107659000000.0,,97146675000000.0,,,47206319000000.0,,42919287000000.0,53373126000000.0,0.11,0.028399998,3000.0,1.08,375.0,1779926400.0,2.027,2987000.0,243980.46875,2673000.0,3048502.2,1.43243,37.0,,,0.20716,0.44072,False,False,,0.5,5175652.0,5976074.0,1.34,,,,,,0.895,60.8,,,True,0.7277184410877314,,1.0,Asia,True,78.81984005555736,95.21264696006662,,96.82296561165901,42.5958827085249,0.37243947858473,33.75,73.621103117506,50.0,,50.0,73.61319089124369,standard,1,11661053435,False,41.6,False,70.05838198498749,2.543786488740617,8.006672226855713,50.0417014178482,50.0417014178482,50.0417014178482,7,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,OK,13.1,0.625,SUSPICIOUS_FWD_PE;,2026-07-02,0,True
V,Visa Inc.,Financial Services,Credit Services,United States,USD,558044288670.4779,7.282761999999996,4.913552999999999,1.4757,10.771239249999997,14.860979,14.972,7.388999999999998,0.40107125874999994,0.16065250874999998,0.2590937725,0.2987900099999999,0.4817950099999999,0.11000000000000001,0.22749999999999998,0.315,-4.7890000000000015,-0.6102499999999997,0.669,19447714048.0,13912999936.0,23975999488.0,644195942400.0,99627000000.0,,40000000000.0,,,26556000000.0,,20058000000.0,23059000000.0,0.8,0.2197,2.68,0.7,0.67,1778544000.0,0.765,357.1416263785221,293.2820187246287,336.2300109863281,398.83362,,36.0,2.72,0.0128,0.00084,0.91667,False,False,,0.62,7873214.0,10141530.0,1.8313488498468362,2.63,10.28,-4.46,,-0.05855272487903862,0.2136737593095996,62.939493241156796,0.0413009953108634,0.026291899620128234,True,0.9794790355887026,,0.869,US,True,77.59996527664747,95.05621943559865,55.82410471826205,71.39491932889717,54.950967655804654,23.463687150837988,67.41071428571429,86.810551558753,50.0,87.39495798319328,62.0,70.65925402228156,standard,3,3409886743,False,47.5,False,84.07005838198499,19.26605504587156,7.422852376980818,50.0417014178482,50.0417014178482,50.0417014178482,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,6.2,0.875,,2026-07-02,0,True
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,60681745956780.0,4.730972500000003,2.6435077499999995,1.1533,5.409008425000001,14.786346,14.239,1.3535000000000008,0.23694998999999994,0.11959001000000001,0.318292505,0.40765001999999995,0.25204002,0.22499999999999998,0.38199999999999995,0.583,12.282499999999999,0.6087499999999999,2.187,684907126784.0,3383596154880.0,1094369804288.0,58433948614656.0,7932842500000.0,,3809054300000.0,,,1936095600000.0,,1697604000000.0,2274975600000.0,1.03,0.2785,24.0,1.71,7.0,1789516800.0,1.25,2535.0,1046.0565185546875,2340.0,2662.7273,1.33333,33.0,,,0.00022,0.43607,False,False,,0.5,35260565.0,35184559.0,0.76,,,,,,0.3432,70.4,,,False,0.40444511962478363,,0.927,Asia,True,76.43033084844342,91.91267558523839,,81.07305380084408,56.233123911362675,2.60707635009311,67.41071428571429,70.9832134292566,50.0,,50.0,70.58332964461346,standard,4,2581745534,False,41.1,False,68.14011676396997,2.543786488740617,7.589658048373645,50.0417014178482,50.0417014178482,50.0417014178482,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,3.8,0.875,,2026-07-02,0,True
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,United States,USD,1077330623062.5139,10.211341,5.43895525,1.5625,26.3916867,14.911356,15.439,11.790000000000001,0.8833012562499999,0.13475250875000003,0.2245962475,0.29665749500000005,0.33233501,0.47200000000000003,1.586,1.681,74.82024999999999,-0.5092499999999998,0.721,7764564224.0,5281999872.0,43370000384.0,1115418656768.0,112476000000.0,,65179000000.0,,,29696000000.0,,20640000000.0,16813000000.0,0.57,0.22129999,6.92,0.89,1.73,1786665600.0,0.517,1215.760009765625,619.3983893784804,1208.1199951171875,1222.6207,1.74194,29.0,2.99,0.0109,0.00155,0.85357004,False,False,,0.315,3284738.0,3443840.0,0.37,12.0,29.37,,,-1.76,0.4021,59.5,14.61,,False,1.1812023168481873,,1.0,US,True,56.508892433564455,93.72811965795138,63.951120162932796,94.09902006483446,44.86301390755404,20.11173184357542,67.41071428571429,62.11031175059952,50.0,89.91596638655463,31.5,69.03882212253461,standard,5,4160571964,False,42.2,False,64.38698915763136,16.680567139282733,7.339449541284404,50.0417014178482,50.0417014178482,50.0417014178482,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,8.6,0.875,,2026-07-02,0,True
6857.T,Advantest Corporation,Technology,Semiconductor Equipment & Materials,Japan,JPY,23512955389920.0,30.540308500000002,104.88628187500001,2.4038,24.22974585,20.833553,20.57,24.355624999999996,0.4441374975,0.24524500000000002,0.21047500249999995,0.32819752700000004,0.29588493499999996,0.286,2.004,2.173,2.0407499999999965,0.01600000000000007,1.722,80340615168.0,339966001152.0,20192000000.0,23215957082112.0,854210000000.0,,779707000000.0,,,228161000000.0,,161177000000.0,285971000000.0,0.18,0.1149,60.0,0.82,30.0,1774828800.0,1.199,35940.0,9711.253449554897,32440.0,33945.0,1.75,20.0,,,0.00279,0.66236,False,False,,0.5,9823351.0,9499410.0,1.04,,,,,,0.73,64.8,,,True,0.7912045354674554,,1.0,Japan,True,46.57877318055058,92.82621811959251,,93.63862226336111,46.30469930252776,6.33147113594041,67.41071428571429,55.875299760191844,50.0,,50.0,66.91985274479902,standard,7,1913614734,False,39.6,False,65.13761467889908,2.543786488740617,2.543786488740617,50.0417014178482,50.0417014178482,50.0417014178482,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,7.4,0.875,,2026-07-02,0,True
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,United States,USD,355514110382.2191,-3.274180000000003,2.039047750000001,4.2244,2.1457442,7.2135806,7.882,5.407250000000001,0.18483877375,0.017324999749999997,0.18262624750000003,0.22065750499999995,0.12145500999999997,0.086,0.118,0.178,21.06374999999999,0.29875,0.782,1732214528.0,13820000256.0,44646998016.0,388442128384.0,104816000000.0,,47941000000.0,,,14911000000.0,,13107000000.0,7408000000.0,2.57,0.64779997,2.12,2.89,0.53,1781481600.0,0.354,83.50089550771385,64.03758462860179,82.62999725341797,85.97417,1.8,24.0,3.11,0.012,0.09896,0.68289,False,False,,0.712,16452555.0,24136680.0,0.34,6.13,8.95,,,-0.0,0.1887,55.5,4.48,,True,0.8895634338083003,,0.887,US,True,59.46743058042253,79.25124879872428,69.29735234215886,64.80747063940346,77.87640729650131,28.11918063314711,67.41071428571429,56.83453237410072,50.0,89.07563025210085,71.2,66.6075202793199,standard,8,1994413802,False,44.5,False,63.30275229357798,22.768974145120936,18.09841534612177,50.0417014178482,50.0417014178482,50.0417014178482,7,STARK,8,UPPTREND,False,5,0.7142857142857143,HÖG,OK,11.2,0.875,,2026-07-02,0,True
MA,Mastercard Incorporated,Financial Services,Credit Services,United States,USD,437658609859.1922,6.864092999999995,4.199372999999997,1.5354,58.60361325000001,12.991721,13.308,7.147,2.11834125875,0.21904249874999998,0.2010637425,0.23369000999999995,0.50401501,0.097,0.08449999999999999,0.184,210.03700000000003,-0.7172499999999999,0.564,14756089088.0,8218999808.0,18959998976.0,451670016000.0,54157000000.0,,32791000000.0,,,19514000000.0,,14968000000.0,17648000000.0,0.7,0.1823,3.48,0.54,0.87,1783555200.0,0.738,599.0458118803059,464.5199890136719,499.0199890136719,644.8889,1.30769,36.0,1.8,0.0076,0.00114,0.91549003,False,False,,0.434,3784976.0,4590510.0,0.35,13.72,8.86,,,-7.3,0.2506,76.1,7.82,,True,0.8447529485544144,,0.899,US,True,79.58223466475687,95.43269603196013,35.23421588594705,65.07004943602057,41.253468167439976,25.512104283054004,67.41071428571429,89.44844124700239,50.0,92.01680672268907,43.4,66.43788649865263,standard,9,2290756250,False,47.9,False,83.65304420350293,20.934111759799833,9.174311926605505,50.0417014178482,50.0417014178482,50.0417014178482,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-0.9,0.875,,2026-07-02,0,True
0700.HK,Tencent Holdings Limited,Communication Services,Internet Content & Information,China,HKD,3709757512179.46,-0.45678349999999934,-1.5614974999999989,1.1986,0.14212592499999976,4.829143,4.881,2.0715000000000017,0.05625499499999999,0.03319499700000001,0.14562252,0.12453001999999996,0.19780002000000002,0.03,0.1285,0.215,-0.3825000000000003,0.09475000000000017,1.141,95835308032.0,459714985984.0,405511012352.0,3749560451072.0,2038986000000.0,,751766000000.0,,,248767000000.0,,224842000000.0,303052000000.0,1.29,0.1712,5.3,0.67,5.3,1778803200.0,0.741,675.1340645101453,411.0,411.79998779296875,706.1417,1.33333,41.0,,,0.31673,0.25699,False,False,,0.5,29568909.0,28979070.0,1.22,,,,,,0.3552,34.1,,,False,0.048794340256933764,,0.88,Asia,True,83.6588647633929,76.6922415760841,,61.47272194879681,53.29333837012044,14.338919925512103,67.41071428571429,84.41247002398082,50.0,,50.0,65.65856595790157,standard,11,1521674478,False,49.4,False,82.23519599666389,11.175979983319433,30.692243536280234,50.0417014178482,50.0417014178482,50.0417014178482,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-12.9,0.875,SUSPICIOUS_FWD_PE;,2026-07-02,0,True
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,USD,1278845697040.295,-11.349834000000003,-16.9990655,0.1749,7.2573263,14.166268,13.931,-5.117750000000001,0.45373625374999993,0.27328249875000005,0.44551624749999996,0.6577775250000001,0.22970500999999993,3.331,13.483,13.983,-48.148500000000006,1.74675,2.927,6247464192.0,26022000640.0,6376000000.0,1257622208512.0,82798000000.0,,37378000000.0,,,9809000000.0,,8539000000.0,17525000000.0,0.05,0.0112,0.53,0.33,0.15,1783296000.0,2.173,1255.0,103.23021586705363,1132.3299560546875,1365.075,1.48837,40.0,0.76,0.0369,0.00254,0.81531,False,False,,0.1,52139568.0,59354710.0,0.62,-10.11,164.97,,,-20.04,0.9028,48.7,13.9,,True,0.7595953374733575,,1.0,US,True,,93.34875986062386,53.004073319755605,98.07587150231451,30.5528422625551,19.553072625698324,23.92857142857143,58.033573141486805,50.0,47.89915966386555,10.0,65.09605746531523,standard,12,67209116166,False,41.6,False,62.13511259382819,15.846538782318598,8.090075062552128,50.0417014178482,50.0417014178482,50.0417014178482,6,NEUTRAL,0,UPPTREND,False,2,0.2857142857142857,LÅG,OK,10.3,0.875,SUSPICIOUS_FWD_PE;,2026-07-02,0,True
4519.T,"Chugai Pharmaceutical Co., Ltd.",Healthcare,Drug Manufacturers - General,Japan,JPY,12234602558304.0,-0.3606265000000004,2.8270786250000004,2.2456,3.2272642499999997,9.475162,8.817,1.7053749999999992,0.12610250999999997,0.11537499999999999,0.21638500250000003,0.31129751699999997,0.36701497499999997,0.032,0.074,0.187,,1.8540000000000005,3.671,148887601152.0,850094981120.0,0.0,11384507072512.0,2468595000000.0,,,,,,,,,1.78,0.4626,132.0,1.67,66.0,1782691200.0,0.553,10700.0,5838.138484321139,7434.0,9973.333,1.93333,15.0,,,0.59895,0.19739,False,False,,0.5,2866490.0,2087170.0,1.03,,,,,,0.4521,45.5,,,True,0.2581151370807204,,0.5,Japan,True,76.65516455613789,90.80810353493726,,47.47478803343922,61.91982957539924,8.56610800744879,67.41071428571429,72.66187050359713,50.0,,50.0,65.05619434551429,standard,13,96351262,False,44.6,False,76.73060884070058,5.921601334445372,13.261050875729774,50.0417014178482,50.0417014178482,50.0417014178482,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,1.9,0.75,,2026-07-02,0,True
