ticker,name,current_price,day_change_pct,week_change_pct,avg_volume,market_cap,ev_to_ebitda,price_to_book,debt_to_equity,current_ratio,total_cash,total_debt,free_cash_flow,operating_cashflow,book_value,gross_margin,operating_margin,revenue_growth,earnings_growth,return_12m,return_6m,shares_change_pct,piotroski_score,insider_pct,insider_net_buy_6m,insider_buy_count,insider_sell_count,insider_signal,sc_insider,sc_fcf,sc_piotroski,sc_growth,sc_balance,sc_valuation,sc_momentum,sc_liquidity,sc_composite,sc_bonus,sc_penalty,sc_total,sc_rank,sc_stars,sector_signal,sector_adjustment,sector
MAGI.ST,MAG Interactive AB (publ),6.84,0.0,0.0,54921,181223424,-22.437,0.60946274,10.892,3.325,84308000.0,32388000.0,7102500.0,54683000.0,11.223,0.56942004,0.01926,-0.006,,-0.2101616312808705,-0.11855670736578205,,6,0.57289004,0,0,0,N/A,58.53448275862069,67.24137931034483,70.0,46.55172413793103,72.0689655172414,91.37931034482759,46.55172413793103,25.862068965517242,62.94310344827586,11.0,0.0,83.94310344827586,1,★★★★,STARK UPPTREND,10,Övrigt
TAGM-B.ST,TagMaster AB (publ),39.5,-0.0125,-0.0856481642961826,23873,578577280,8.99,2.0934916,34.013,1.59,69373000.0,94000000.0,57499124.0,80135000.0,18.868,0.69871,0.06098,0.106,,2.0384615384615383,1.3511905829652413,,7,0.69316,0,0,0,N/A,62.672413793103445,82.75862068965517,85.0,66.20689655172413,43.189655172413794,36.206896551724135,98.27586206896551,63.793103448275865,67.44137931034483,6.0,0.0,83.44137931034483,2,★★★★,STARK UPPTREND,10,Industri & Verkstad
CTM.ST,Catena Media plc,2.49,0.01014198782961475,0.0709677240726978,196210,188368832,8.411,2.4483776,,4.468,13654000.0,0.0,18860624.0,8880000.0,1.017,0.38551998,0.99894994,0.258,,0.43598619152162077,0.5562499827705327,,7,0.26545,0,0,0,N/A,39.91379310344827,84.48275862068965,85.0,72.41379310344828,47.5,43.103448275862064,89.65517241379311,41.37931034482759,63.875862068965525,8.0,0.0,81.87586206896552,3,★★★★,STARK UPPTREND,10,Mjukvara & SaaS
CANTA.ST,Cantargia AB (publ),2.176,0.007407407407407414,0.026415205528072416,1689373,540978944,1.688,2.3124337,,8.09,258034000.0,0.0,90059248.0,158088992.0,0.941,1.0,-72.61811,,,0.36683423858511155,-0.5254089203595633,,5,0.16965,0,0,0,N/A,34.39655172413793,94.82758620689656,55.0,51.72413793103448,52.15517241379311,74.13793103448276,70.6896551724138,93.10344827586206,62.5103448275862,8.0,0.0,75.51034482758621,4,★★★★,UPPTREND,5,MedTech & Life Science
MEKKO.HE,Marimekko Oyj,10.24,0.0019569471624265727,-0.033962320509053345,43280,414529312,11.94,5.3556485,39.922,3.103,32700000.0,30900000.0,29587500.0,37500000.0,1.912,0.60763,0.12319,0.045,0.245,-0.20901512330434202,-0.14972285306647326,,7,0.25234,0,0,0,N/A,39.224137931034484,74.13793103448276,85.0,77.58620689655173,60.86206896551725,20.689655172413794,44.827586206896555,34.48275862068966,57.303448275862074,11.0,0.0,78.30344827586208,5,★★★★,STARK UPPTREND,10,Övrigt
ALCA.ST,Alcadon Group AB (publ),32.1,-0.006191950464396153,0.028846079781212453,35099,786803904,10.996,0.997328,45.925,1.656,83000000.0,362300000.0,162475008.0,143900000.0,32.186,0.27234,0.05268,-0.104,0.309,0.916417819350513,0.43946186423064315,,7,0.35071,0,0,0,N/A,46.12068965517241,98.27586206896551,85.0,46.20689655172414,41.896551724137936,25.862068965517242,98.27586206896551,72.41379310344827,63.37931034482759,3.0,0.0,76.37931034482759,6,★★★★,STARK UPPTREND,10,Mjukvara & SaaS
ADMCM.HE,Admicom Oyj,24.9,0.012195121951219396,-0.06915889276522347,18820,121811648,6.889,3.8419998,0.5,1.628,7191000.0,160000.0,9761478.0,9988776.0,6.481,0.49543998,0.1444,0.038,0.357,-0.525494978663801,-0.4117247676193213,,7,0.052410003,0,0,0,N/A,28.879310344827587,77.58620689655173,85.0,76.37931034482759,69.56896551724138,53.44827586206896,10.344827586206897,39.6551724137931,57.96724137931035,8.0,0.0,75.96724137931035,7,★★★★,STARK UPPTREND,10,Övrigt
NTEK-B.ST,Novotek AB,53.2,-0.036231884057971016,-0.011152388152968262,7504,563920000,8.385,2.3673906,0.452,1.252,139900000.0,1100000.0,28613500.0,55085000.0,22.472,0.62076,0.0665,0.014,-0.459,-0.3306905500215679,-0.32574487798482044,,6,0.50657004,0,0,0,N/A,54.39655172413793,72.41379310344827,70.0,39.6551724137931,62.58620689655172,44.827586206896555,29.310344827586203,27.586206896551722,53.939655172413794,11.0,0.0,74.9396551724138,8,★★★,STARK UPPTREND,10,Industri & Verkstad
BULTEN.ST,Bulten AB (publ),43.75,0.0,-0.023437483369239454,39620,918224640,5.305,0.5135459,76.1,1.72,261000000.0,1400999936.0,391500000.0,380000000.0,85.192,0.19063,0.059809998,-0.124,2.699,-0.23913043478260865,-0.15213175787317312,,7,0.29937,0,0,0,N/A,42.672413793103445,98.27586206896551,85.0,45.51724137931034,34.741379310344826,60.3448275862069,41.37931034482759,81.03448275862068,61.25862068965517,3.0,0.0,74.25862068965517,9,★★★,STARK UPPTREND,10,Industri & Verkstad
UPSALE.ST,Upsales Technology AB (publ),23.1,-0.008583690987124432,-0.029411717564293283,152882,388966496,11.052,21.212122,12.399,0.792,42822000.0,2638000.0,18551500.0,39736000.0,1.089,0.60078,0.08765,0.155,-0.053,-0.19230768974267265,-0.22999998728434246,,5,0.54107,0,0,0,N/A,56.46551724137932,70.6896551724138,55.0,58.27586206896551,37.58620689655173,24.137931034482758,43.103448275862064,91.37931034482759,53.1551724137931,11.0,0.0,74.15517241379311,10,★★★,STARK UPPTREND,10,Mjukvara & SaaS
SINT.ST,SinterCast AB (publ),103.0,-0.014354066985645933,-0.01904761904761909,5441,725357824,26.683,8.900026,6.994,4.276,10500000.0,5700000.0,15412500.0,28600000.0,11.573,0.70444,0.252,-0.077,-0.329,-0.03192137321235444,0.004738049790604215,,7,0.48555002,0,0,0,N/A,53.01724137931035,60.3448275862069,85.0,18.793103448275858,80.86206896551725,8.620689655172415,63.793103448275865,44.827586206896555,53.112068965517246,11.0,0.0,74.11206896551724,11,★★★,STARK UPPTREND,10,Industri & Verkstad
SAFETY-B.ST,mySafety Group AB,18.0,-0.028077753779697602,-0.09456736620375727,35876,404645184,6.986,2.9955068,51.366,1.008,68983000.0,73925000.0,52036376.0,55475000.0,6.009,0.44449002,0.029070001,-0.084,6.133,0.12815862865829275,0.10259610344970205,,5,0.43038,0,0,0,N/A,50.258620689655174,89.65517241379311,55.0,53.79310344827586,28.189655172413794,51.724137931034484,77.58620689655173,51.724137931034484,57.793103448275865,6.0,0.0,73.79310344827587,12,★★★,STARK UPPTREND,10,Mjukvara & SaaS
