ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_fundamentals_neutralized,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,USD,,-13.3493035,-14.345188749999997,0.1285,3.7880209499999995,,10.079,-2.9617499999999994,0.5187649999999999,0.28941,0.4536899995,0.6579450295,0.27227499999999993,3.304,13.4655,13.983,-44.4295,1.73575,2.927,6788199776.0,26022000640.0,6376000000.0,909878427648.0,82798000000.0,,37378000000.0,,,9809000000.0,,8539000000.0,17525000000.0,0.06,0.0112,0.53,0.33,0.15,1783296000.0,2.142,1254.8069810301963,103.21433303891678,823.030029296875,1507.381,1.42222,42.0,0.69,0.0321,0.00262,0.80994004,False,False,,0.416,53445673.0,49547190.0,1.1642977640476213,-20.26,59.17,88.97,,-0.3440983021777839,0.8110049854697439,42.71971346779943,-0.14690070314109938,0.5890557163793027,False,0.18355112375745872,,1.0,US,True,True,,95.17980855700992,72.45508982035928,98.0914510275298,31.33600888485032,,23.891213389121337,56.540084388185655,50.0,61.95028680688337,41.6,78.76281421249661,standard,5,40778825237,False,45.5,False,31.715481171548117,50.04184100418409,50.04184100418409,50.04184100418409,50.04184100418409,50.04184100418409,6,NEUTRAL,0,VARNING,False,3,0.42857142857142855,LÅG,OK,13.2
MSAB-B.ST,Micro Systemation AB (publ),Technology,Software - Application,Sweden,SEK,1572156360.0,-5.319509500000001,9.926815000000001,,6.9450442500000005,3.253491,3.112,-1.9842499999999985,0.44252499999999995,0.13257,0.064300004,-0.0023050055000000125,0.5138499999999999,0.369,,,17.869500000000002,-0.21824999999999983,1.495,-781881864.0,145300000.0,73300000.0,1590119936.0,318067000.0,,461784000.0,,,67843000.0,,49172000.0,101888000.0,1.39,0.3989,1.2,4.0,0.6,1794441600.0,0.38,93.0,52.984103917886436,90.0,96.0,,2.0,,,0.2339,0.559,False,False,,0.5,15306.0,19607.0,2.6071113338927088,25.35,41.83,34.72,,-0.032258064516129004,0.4787350180787108,75.67567846216103,0.1600329951252295,0.33291788423900237,True,1.2292935466730288,,0.52,Nordic,True,True,,82.1970894331304,91.67379526660962,69.24810762883878,52.232849883974374,94.54545454545455,66.73640167364016,1.0548523206751055,50.0,,50.0,77.37361791781558,standard,6,185569,False,51.1,False,31.715481171548117,97.53138075313808,40.0,50.04184100418409,50.04184100418409,50.04184100418409,4,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,9.3
6861.T,Keyence Corporation,Technology,Scientific & Technical Instruments,Japan,JPY,19680914786400.0,17.068787500000006,21.03113775,2.5383,1.9437496499999996,15.684077,14.547,,,,0.33162000199999997,0.4773650045,0.53632505,0.17500000000000002,0.2905,0.51,,9.799750000000001,11.111,,1426593939456.0,0.0,18254315651072.0,3670655000000.0,,1169289000000.0,,,595759000000.0,,445185000000.0,430680000000.0,0.68,0.2996,550.0,0.51,275.0,1789603200.0,1.01,84170.0,51271.96903921346,81150.0,92250.0,1.625,16.0,,,0.22763,0.37662998,False,False,,0.5,752277.0,910160.0,1.7494481620488682,-0.59,9.96,39.62,,-0.03587976713793517,0.39977885863213747,57.99540933435348,0.05948799899730517,0.26499397121473534,True,0.9228452862435665,,1.0,Japan,True,True,,97.63936291240044,81.66524094667807,82.29450672405432,55.41469754100376,5.071770334928229,66.73640167364016,,50.0,,50.0,76.01306121350848,standard,7,469247062,False,31.7,False,31.715481171548117,2.5523012552301254,6.02510460251046,50.04184100418409,50.04184100418409,50.04184100418409,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,15.5
000660.KS,SK hynix Inc.,Technology,Semiconductors,South Korea,KRW,1219530702738000.0,,-11.61411045,0.2729,,6.446722,6.081,-6.425249999999999,0.8019549949999999,0.29691,0.724660009,0.6229500395,0.34387000999999995,2.415,12.5165,12.425,0.5279999999999987,15.78225,15.254,,87958002597888.0,18585999114240.0,1150408063975424.0,176107659000000.0,,97146675000000.0,,,47206319000000.0,,42919287000000.0,53373126000000.0,0.17,0.028399998,3000.0,1.05,375.0,1779926400.0,2.322,2987000.0,243980.453125,1718000.0,3179718.5,1.35135,37.0,,,0.20211,0.39766,False,False,,0.5,6150849.0,6899660.0,1.5466173915143495,-32.89,32.18,124.44,,-0.4248409775694677,0.8904156098947543,39.32532347504621,-0.20767670876099376,0.46251716231840234,False,0.3422108438872768,,1.0,Asia,True,True,,96.7710273495939,68.79098944967208,98.0914510275298,50.33500992167508,0.19138755980861244,66.73640167364016,,50.0,,50.0,83.57569729257811,standard,1,8653139592,False,33.7,False,31.715481171548117,2.5523012552301254,18.99581589958159,50.04184100418409,50.04184100418409,50.04184100418409,7,STARK,8,VARNING,False,4,0.5714285714285714,MEDEL,OK,18.0
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,United States,USD,,10.841945999999997,8.479284000000002,1.6142,29.10343725,,14.707,15.279,0.947915,0.14965001,0.233409996,0.3037699850000001,0.37490499999999993,0.4680000000000001,1.5595,1.681,80.08999999999999,-0.45699999999999963,0.721,8305299808.0,5281999872.0,43370000384.0,1062556205056.0,112476000000.0,,65179000000.0,,,29696000000.0,,20640000000.0,16813000000.0,0.6,0.22129999,6.92,0.89,1.73,1786665600.0,0.506,1249.449951171875,619.3983893784804,1148.8399658203125,1276.9615,1.71429,26.0,3.34,0.0115,0.00155,0.85091,False,False,,0.156,3031346.0,2223320.0,1.2250234379484302,-3.6,23.13,12.56,,-0.08052342173225835,0.3831430259513086,43.610965502585536,0.001322173827350337,0.12333507891382212,False,0.1608519392707854,,1.0,US,True,True,48.203624100505856,95.21506432134419,74.36555460507556,93.20746342862982,41.11492715598804,,66.73640167364016,56.9620253164557,50.0,91.68260038240918,15.6,75.35073465200053,standard,9,2554238873,False,45.5,False,31.715481171548117,50.04184100418409,50.04184100418409,50.04184100418409,50.04184100418409,50.04184100418409,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,STARK,3.8
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,United States,USD,118824923864.23363,24.1162225,23.47713375,2.2375,71.09869695,15.785653,15.298,28.06225,1.026805,0.08237,0.17635999949999998,0.1901950195,0.34862503999999994,0.10300000000000001,0.2195,0.378,-18.7245,-0.4072499999999999,1.141,1413687392.0,4069600000.0,496900000.0,115152846848.0,10389200000.0,,6799600000.0,,,2084700000.0,,1853400000.0,2590600000.0,,0.0,,,,,1.09,170.35000610351562,70.12000274658203,161.9499969482422,153.4865,2.70455,37.0,2.36,0.0239,0.17386,0.71893,False,False,,0.728,6366847.0,6159730.0,1.1143963625305473,1.87,92.09,98.69,,-0.04931029559323319,0.45651968228144896,51.73312537605101,0.08203703322925704,0.6107367575783347,False,0.6991361262114243,,1.0,US,True,True,48.48338756026313,91.39382806802602,93.18505845451953,78.44689638752077,26.33323884118977,37.70334928229665,11.799163179916318,62.0253164556962,50.0,73.90057361376672,72.8,82.76695672032012,standard,2,997568255,False,46.9,False,74.22594142259415,32.970711297071134,5.7740585774058575,50.04184100418409,50.04184100418409,50.04184100418409,8,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,OK,21.2
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,United States,USD,133409689196.26367,-15.758676000000001,-6.869087999999998,1.6941,2.1794458499999996,2.7123508,3.403,-5.218,0.33931498000000004,0.049449999999999994,0.07225999599999999,0.154089985,0.26319499999999996,-0.029999999999999992,1.3915,1.532,142.93400000000003,-0.4219999999999997,1.29,7263075168.0,11066999808.0,45053001728.0,167395688448.0,90038000000.0,,48195000000.0,,,13724000000.0,,7054000000.0,14156000000.0,3.86,0.5529,2.52,3.96,0.63,1782950400.0,0.235,65.66000366210938,41.13021258475044,65.30999755859375,63.95833,2.5,24.0,3.33,0.022,0.00097000005,0.839,False,False,,0.79,11916009.0,11308940.0,1.3228365181700432,17.02,9.01,22.93,,-0.005330583064185879,0.2724111870268581,72.52828561220403,0.13080165739785232,0.19732198039695614,True,0.9678807539350169,,1.0,US,True,True,,84.01452066325785,81.1377245508982,77.91839093337641,49.5819868202876,35.59808612440191,66.73640167364016,88.50210970464136,50.0,76.8642447418738,79.0,73.68147612110621,standard,11,738586844,False,59.1,False,92.46861924686193,31.12970711297071,58.32635983263599,50.04184100418409,50.04184100418409,50.04184100418409,4,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,9.8
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,62885997412475.0,7.659000499999999,2.198675250000001,0.9087,6.076758049999999,14.1619425,13.6,4.57675,0.27484502499999997,0.15044,0.36707000900000003,0.4631100595,0.28420000999999995,0.207,0.5545,0.774,8.626999999999999,0.6962500000000003,2.131,729826134016.0,3518013112320.0,982447030272.0,60391489011712.0,7932842500000.0,,3809054300000.0,,,1936095600000.0,,1697604000000.0,2274975600000.0,0.99,0.2785,24.0,1.69,7.0,1789516800.0,1.246,2535.0,1110.2015380859375,2425.0,3117.263,1.31429,35.0,,,0.00022,0.43088,False,False,,0.5,33599321.0,36658811.0,1.7201592790498257,-1.62,6.88,37.43,,-0.04339250493096647,0.33383917516493267,49.079754601226995,0.023134289160724464,0.28370236967673335,False,0.6375757814138872,,0.95,Asia,True,True,62.407002794468056,93.80511453658212,77.80153977758768,84.3802321647002,56.50285175347647,1.8181818181818181,66.73640167364016,61.81434599156118,50.0,,50.0,73.19462278250916,standard,12,2752674498,False,42.5,False,73.89121338912133,2.5523012552301254,7.1966527196652725,50.04184100418409,50.04184100418409,50.04184100418409,5,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,OK,3.1
005930.KS,"Samsung Electronics Co., Ltd.",Technology,Consumer Electronics,South Korea,KRW,1513100374537500.0,,-11.469023349999999,0.1795,,3.5523179,3.222,-7.55425,0.18307499500000002,0.13721999999999998,0.17642000900000002,0.38154000949999994,0.2167800099999999,1.146,13.4495,13.551,-2.679000000000002,5.7692499999999995,6.029,56684177065984.0,189999001632768.0,22408700362752.0,1563580025536512.0,566942110000000.0,,333605938000000.0,,,43601051000000.0,,44260956000000.0,85315148000000.0,0.57,0.1344,1496.0,2.14,374.0,1782691200.0,1.479,374087.44831391243,66663.44246948964,262500.0,482453.38,1.35135,36.0,,,0.0967,0.43535,False,False,,0.5,32884539.0,34733458.0,1.820888916905074,-16.53,18.37,73.13,,-0.29829241482669244,0.7273341023154855,45.39877300613497,-0.12302227637842711,0.3623188550643375,False,0.49957258728628723,,0.838,Asia,True,True,,89.78660932544891,68.2919874536641,92.44291546267624,39.06555683702435,0.09569377990430622,66.73640167364016,85.86497890295358,50.0,,50.0,80.02206241878817,standard,3,6655798889,False,50.5,False,88.3682008368201,2.5523012552301254,36.82008368200837,50.04184100418409,50.04184100418409,50.04184100418409,7,STARK,8,VARNING,False,4,0.5714285714285714,MEDEL,OK,29.1
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,United States,USD,13329359744.660065,-11.60218,-3.9218049999999973,2.56,3.15161055,5.611202,5.355,-1.157,0.2831950000000001,0.16257,0.234389996,0.22139998500000005,0.511025,0.013000000000000012,0.2965,0.319,-50.167,1.3040000000000003,3.01,-222180640.0,777206976.0,169540992.0,12721693696.0,2844423000.0,,2320126000.0,,,892701000.0,,782570000.0,884267000.0,,0.0,,,,,0.424,57.56999969482422,33.7599983215332,53.029998779296875,52.06667,2.26316,15.0,10.75,0.1672,0.01821,1.06499,False,False,,0.681,2678563.0,2155640.0,1.2964085775927636,-1.72,19.28,25.43,,-0.07886053395160098,0.3508471408614616,34.6897173166268,-0.009998976890638445,0.15811562917183708,False,-0.3120008823474326,,1.0,US,True,True,,94.48258768914057,79.12745936698033,72.90548002017046,67.93870242870697,75.88516746411483,11.799163179916318,35.75949367088608,50.0,10.325047801147228,68.10000000000001,71.88020529256725,standard,16,114313587,False,45.8,False,31.715481171548117,78.91213389121339,23.17991631799163,50.04184100418409,50.04184100418409,50.04184100418409,5,NEUTRAL,0,VARNING,False,4,0.5714285714285714,MEDEL,VÄNTA,5.4
