ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,_fundamentals_neutralized,data_quality,data_anomaly,data_fetched_date,data_stale_days
000660.KS,SK hynix Inc.,Technology,Semiconductors,South Korea,KRW,1962038918724000.0,,-10.678801125000001,3.7829,,14.8545,14.576,2.130000000000001,0.4852674960000001,0.2270449998,0.45089625375,0.579705025,0.312555,1.8485,3.774,3.975,7.5,0.8300000000000001,2.174,25799822215168.0,54361531088896.0,21832415576064.0,1925292507529216.0,176107659000000.0,,97146675000000.0,,,47206319000000.0,,42919287000000.0,53373126000000.0,0.11,0.028399998,3000.0,1.08,375.0,1779926400.0,2.027,2891000.0,240992.95782520325,2764000.0,2712489.0,1.36842,38.0,,,0.20716,0.45636,False,False,,0.5,4972172.0,4918556.0,1.08,50.49,189.92,,,0.0,0.8558,65.5,64.15,,True,1.053336159168717,,1.0,Asia,True,73.39328626285148,95.75141918702161,98.62869198312237,96.55633594295946,42.849514693157325,0.26595744680851063,34.064516129032256,69.24315619967794,50.0,,50.0,78.5623226501521,standard,1,9924268812,False,41.5,False,69.80817347789825,2.543786488740617,7.839866555462886,50.0417014178482,50.0417014178482,50.0417014178482,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,16.3,True,0.625,SUSPICIOUS_FWD_PE;,2026-06-23,0
V,Visa Inc.,Financial Services,Credit Services,United States,USD,543123461939.5752,7.366056500000003,6.354213499999999,1.4362,12.644678999999998,14.463629,14.836,9.622,0.4311500079999999,0.16500251,0.26321003,0.30610003250000006,0.4980799999999999,0.11000000000000001,0.22199999999999998,0.315,2.220000000000006,-0.704,0.669,19740447872.0,13912999936.0,23975999488.0,638335320064.0,99627000000.0,,40000000000.0,,,26556000000.0,,20058000000.0,23059000000.0,0.8,0.2197,2.68,0.7,0.67,1778544000.0,0.765,357.1416263785221,293.2820187246287,327.239990234375,398.83362,1.33333,36.0,2.58,0.0128999995,0.00084,0.91674006,False,False,,0.496,7498995.0,7405720.0,1.8217649458144787,-0.81,9.41,-4.79,,-0.08372486973124604,0.21522209859353383,50.72896379752825,0.02028069881138328,-0.0021655278600423156,True,0.6484408595159096,,0.869,US,True,73.15803294933728,95.96231208555906,60.23004672066218,71.1354811146866,63.17267758451628,22.340425531914892,67.41935483870968,84.86312399355877,50.0,87.34939759036145,49.6,70.81328141173508,standard,2,2423447740,False,47.7,False,84.32026688907422,19.432860717264386,8.17347789824854,50.0417014178482,50.0417014178482,50.0417014178482,7,STARK,8,NEDTREND,True,6,0.8571428571428571,HÖG,EJ AKTUELL,5.6,True,0.875,,2026-06-23,0
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,TWD,62497011861470.0,4.729865999999998,2.231618874999996,1.1879,5.883282949999999,15.228673,14.681,2.2269999999999985,0.235647496,0.1213850098,0.34704625375000003,0.44540499499999997,0.247865,0.21849999999999997,0.39199999999999996,0.583,12.665,0.7010000000000001,2.187,709926586368.0,3383596154880.0,1094369804288.0,60249214025728.0,7932842500000.0,,3809054300000.0,,,1936095600000.0,,1697604000000.0,2274975600000.0,1.0,0.2785,24.0,1.71,7.0,1789516800.0,1.25,2433.5076957152064,1001.648473702225,2410.0,2647.5757,1.33333,33.0,,,0.00022,0.43613,False,False,,0.5,34537778.0,33683670.0,1.1,,,,,,0.3334,63.0,,,True,0.8555728495840133,,0.927,Asia,True,70.97465626161278,92.64489667909555,,80.75745688521971,56.508080451005576,2.2606382978723407,67.41935483870968,66.18357487922705,50.0,,50.0,69.57656189302291,standard,3,2564935534,False,41.1,False,68.22351959966639,2.543786488740617,7.589658048373645,50.0417014178482,50.0417014178482,50.0417014178482,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,7.8,True,0.875,,2026-06-23,0
9999.HK,"NetEase, Inc.",Communication Services,Electronic Gaming & Multimedia,China,HKD,610281484413.0,0.0,-0.8711348750000008,1.2857,0.8414541500000001,5.3351626,4.111,0.2579999999999991,0.07100251100000006,0.0658500008,0.16683375025,0.2322,0.286015,0.0,-0.0695,0.036,-26.999000000000002,2.0470000000000006,3.089,24916981760.0,170903830528.0,10955459584.0,470231711744.0,221415060000.0,,112625807000.0,,,35834867000.0,,33759800000.0,50739800000.0,2.31,0.3966,4.51,1.89,0.144,1780531200.0,0.801,247.3736598862898,168.6753483990376,190.5,248.9738,1.29167,21.0,,,0.44055998,0.26950002,False,False,,0.5,6613538.0,7681845.0,0.62,,,,,,0.3434,39.2,,,False,0.44143233684018973,,0.506,Asia,True,94.43493125232256,84.96575178692584,,37.486801170778726,63.96351380005939,21.27659574468085,67.41935483870968,93.23671497584542,50.0,,50.0,66.95120245184872,standard,5,186642791,False,50.9,False,86.23853211009175,18.765638031693076,26.93911592994162,50.0417014178482,50.0417014178482,50.0417014178482,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-1.1,True,0.875,SUSPICIOUS_FWD_PE;,2026-06-23,0
CACC,Credit Acceptance Corporation,Financial Services,Credit Services,United States,USD,6064016756.531738,-6.742618499999999,-5.070186500000001,1.77,-0.9183596,4.753482,9.711,,0.10884000799999999,0.0235825,0.10182999999999998,0.1597500325,0.46433,0.066,0.299,0.278,358.24800000000005,2.0799999999999996,3.634,,25700000.0,6408600064.0,12388026368.0,8631700000.0,,2287900000.0,,,619900000.0,,423900000.0,1054600000.0,,0.0,,,,,1.388,588.7100219726562,401.8999938964844,579.72998046875,536.6667,,3.0,5.78,0.2521,0.53068,0.69416,False,False,,0.724,161691.0,260480.0,0.36,8.84,34.83,,,0.0,0.4121,70.0,10.12,,True,0.9705235218907429,,0.708,US,True,,82.23494152685682,92.15893108298172,64.42350813605817,36.04022010115805,91.88829787234043,12.193548387096774,,50.0,12.710843373493976,72.39999999999999,66.84163934748064,standard,6,151008065,False,47.5,False,28.065054211843204,88.32360300250208,31.27606338615513,50.0417014178482,50.0417014178482,50.0417014178482,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,9.1,True,0.875,SUSPICIOUS_FWD_PE;,2026-06-23,0
6857.T,Advantest Corporation,Technology,Semiconductor Equipment & Materials,Japan,JPY,23005585822320.0,31.050665,106.864183625,2.3519,24.17462195,20.384,20.12,25.768000000000004,0.467137495,0.2583400019999998,0.252845003,0.3724449875000001,0.37737996499999993,0.27949999999999997,2.012,2.171,-10.245999999999997,0.48,1.722,172554692608.0,339966001152.0,20192000000.0,22708096073728.0,854210000000.0,,779707000000.0,,,228161000000.0,,161177000000.0,285971000000.0,0.19,0.1149,60.0,0.82,30.0,1774828800.0,1.199,32400.0,9399.3046875,31740.0,33945.0,1.75,20.0,,,0.00279,0.66051,False,False,,0.5,9789170.0,9190970.0,1.14,,,,,,0.6946,67.0,,,True,1.0486061456380895,,1.0,Japan,True,48.291836987489155,95.24470838666726,,92.92626710905739,34.6458707429859,5.452127659574469,67.41935483870968,59.09822866344605,50.0,,50.0,66.24748399612072,standard,7,1805240166,False,40.1,False,65.47122602168474,2.543786488740617,5.337781484570475,50.0417014178482,50.0417014178482,50.0417014178482,6,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,OK,9.6,True,0.875,,2026-06-23,0
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,United States,USD,979640308493.1531,8.8389475,6.328060999999997,1.4727,25.85274165,13.559222,14.086,11.613249999999999,0.9119625054999999,0.13887251,0.22730500999999995,0.3048200025000001,0.34861999999999993,0.47200000000000003,1.586,1.681,82.00975,-0.613,0.721,8057298048.0,5281999872.0,43370000384.0,1017728335872.0,112476000000.0,,65179000000.0,,,29696000000.0,,20640000000.0,16813000000.0,0.63,0.22129999,6.92,0.89,1.73,1778803200.0,0.517,1182.72998046875,619.398328525751,1098.5699462890625,1218.7241,1.74194,29.0,2.75,0.011,0.00155,0.85355,False,False,,0.207,3176633.0,3263820.0,0.54,3.8,22.63,,,-4.78,0.3875,60.8,8.74,,False,0.43187368181713864,,1.0,US,True,54.63976217019695,94.37286170493634,50.63291139240506,93.43387029354452,41.45001295337392,19.28191489361702,67.41935483870968,60.38647342995169,50.0,90.66265060240963,20.7,65.97142881644028,standard,8,3585534562,False,42.6,False,64.72060050041702,17.097581317764803,8.84070058381985,50.0417014178482,50.0417014178482,50.0417014178482,7,STARK,8,UPPTREND,False,3,0.42857142857142855,LÅG,OK,12.8,True,0.875,,2026-06-23,0
BKT.MC,"Bankinter, S.A.",Financial Services,Banks - Regional,Spain,EUR,13547846128.98729,-2.5698919999999994,-1.7975975000000002,10.15,-0.17100934999999984,4.8989077,2.199,,0.027393768749999995,-0.0058525005,0.17269626775000002,0.2205537825000001,-0.379150015,0.0,-0.064,0.076,,,,,18238898176.0,10182617088.0,6080130048.0,131018892000.0,,3128426000.0,,,,,1089976000.0,-598882000.0,5.09,0.5096,0.77,5.24,0.160932,1782086400.0,0.059,15.114999771118164,10.505932065799259,15.074999809265137,15.37409,2.5,22.0,,,0.29933,0.44969,False,False,,0.5,1680799.0,1663920.0,0.74,6.38,15.78,,,0.0,0.2537,76.6,,,True,0.9745776659304524,,0.723,Europe,True,,57.11973224706312,81.9620253164557,45.17242946248816,85.44890746472439,82.04787234042553,67.41935483870968,,50.0,,50.0,65.61694569970234,standard,9,28552755,False,45.5,False,28.065054211843204,76.48040033361134,30.275229357798167,50.0417014178482,50.0417014178482,50.0417014178482,2,SVAG,-8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,-6.1,True,0.75,SUSPICIOUS_FWD_PE;,2026-06-23,0
005930.KS,"Samsung Electronics Co., Ltd.",Technology,Consumer Electronics,South Korea,KRW,2040523933662000.0,,-11.262215125000003,0.414,,5.985915,5.738,-3.024000000000001,0.06209749600000006,0.0505249998,0.09658625375000002,0.291864995,0.10591503000000002,0.5594999999999999,4.729,4.867,0.0,0.7520000000000002,1.959,67558971344896.0,147378078220288.0,28138794909696.0,2228158166204416.0,566942110000000.0,,333605938000000.0,,,43601051000000.0,,44260956000000.0,85315148000000.0,0.42,0.1344,1488.0,2.24,372.0,1774828800.0,1.487,374500.0,56601.68663793103,354000.0,428075.53,1.37838,36.0,,,0.0967,0.48738,False,False,,0.5,29203720.0,26471372.0,0.97,18.03,77.65,,,-2.48,0.7394,51.1,28.18,,True,0.8040782133746385,,0.838,Asia,True,,78.26287978939017,63.150492264416314,89.84653168146076,48.37596096512658,0.13297872340425532,67.41935483870968,84.54106280193237,50.0,,50.0,65.59578308275462,standard,10,6840731952,False,47.1,False,83.06922435362803,2.543786488740617,22.93577981651376,50.0417014178482,50.0417014178482,50.0417014178482,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,13.0,True,0.625,SUSPICIOUS_FWD_PE;,2026-06-23,0
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,United States,USD,13047842320.176258,-12.970178499999996,-5.541451000000001,2.56,1.1938253500000005,5.492693,5.257,-3.8217500000000006,0.24724250550000004,0.1517925,0.22828500999999993,0.22245000250000002,0.48474,0.017,0.323,0.319,-48.247249999999994,1.1480000000000001,3.01,-470182400.0,777206976.0,169540992.0,12487933952.0,2844423000.0,,2320126000.0,,,892701000.0,,782570000.0,884267000.0,,0.0,,,,,0.435,53.93000030517578,33.7599983215332,51.90999984741211,49.0,2.15789,16.0,10.39,0.1607,0.01821,1.07366,False,False,,0.229,2539479.0,2463110.0,0.36,2.83,24.06,,,-3.61,0.3589,64.1,5.7,,False,0.5666656065692725,,1.0,US,True,,93.45035771432933,52.77777777777777,70.40422606618662,68.34727279166579,82.7127659574468,12.193548387096774,25.28180354267311,50.0,9.33734939759036,22.900000000000002,64.4254947236702,standard,11,127860040,False,45.0,False,28.065054211843204,77.14762301918266,25.85487906588824,50.0417014178482,50.0417014178482,50.0417014178482,5,NEUTRAL,0,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,7.1,True,0.875,SUSPICIOUS_FWD_PE;,2026-06-23,0
