ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,data_warnings,roe_raw,roa_raw,pe_trailing_raw,pe_forward_raw,revenue_growth_raw,earnings_growth_raw,debt_to_equity_raw,current_ratio_raw,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,piotroski_f,piotroski_label,piotroski_boost,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,_fundamentals_neutralized,data_quality,data_anomaly,data_fetched_date,data_stale_days,predicted_return,ml_rank
DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,India,INR,30158292562.32,36.41812499999998,13.162303375,,9.295827599999999,22.379261,21.553,24.214250000000003,,,0.12789501200000006,0.1596349775,0.02474246999999996,0.19050000000000003,0.49550000000000005,0.655,0.0,,,,32330000384.0,70000000.0,2420404125696.0,200330000000.0,,104760000000.0,,,29790000000.0,,25680000000.0,27380000000.0,0.0031689025034329775,0.3101,30.0,0.62,30.0,1784851200.0,0.22,9467.0,5613.352076705792,9467.0,8447.0,2.72414,29.0,,,0.51993,0.30229,False,False,,0.5,445292.0,403762.0,1.5442405369945942,17.51,44.55,46.83,,0.0,0.23633192101451733,81.90305206463195,0.22708390235902653,0.4135288169761073,True,1.1492370881288234,,1.0,['market_cap: INR -> USD (x0.012) 2513191046860.0 -> 30158292562'],,,97.587875,62.91453,0.278,0.657,0.042,,India,True,,74.03194196456808,94.9555806430053,83.66586725295491,86.11103307268499,58.80721220527045,30.202140309155766,,50.0,,50.0,76.35529064829339,standard,7,40171670,False,4,NEUTRAL,0,37.1,False,30.70469798657718,43.624161073825505,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.3,True,0.75,,2026-08-31,0,0.0245266854763031,79.3
6098.T,"Recruit Holdings Co., Ltd.",Communication Services,Internet Content & Information,Japan,JPY,171838343297.306,24.846715999999994,27.15394574999999,1.5796,12.2726386,6.5401783,6.242,20.104249999999997,0.22366499750000002,0.13926000025,0.06687000000000001,0.07347499999999997,0.07653999,0.14,0.6859999999999999,0.675,0.0,0.6134999999999999,1.845,449648136192.0,853046001664.0,178827001856.0,24119456301056.0,2789018000000.0,,3697351000000.0,,,630567000000.0,,496912000000.0,610363000000.0,0.0014273950041174856,0.0719,26.0,0.36,13.0,1790640000.0,0.905,18215.0,6028.418262645158,18215.0,15850.0,1.4375,16.0,,,0.03763,0.54235,False,False,,0.5,4312039.0,3481620.0,1.4067328174611617,41.04,67.11,190.14,,0.0,0.5243395398020414,70.45908183632734,0.3497891764915113,0.9280501149926228,True,0.8468145286678536,,1.0,['market_cap: JPY -> USD (x0.0068) 25270344602545.0 -> 171838343297'],0.36222,0.17828,52.477673,60.189007,0.189,0.737,10.003,2.089,Japan,True,59.00352383489752,78.75633986522105,97.74105168326753,83.37690248133646,54.32910402582232,20.804438280166433,26.991676575505352,73.5440931780366,50.0,,50.0,74.40957320750961,standard,10,397045570,False,6,NEUTRAL,0,51.6,False,97.5251677852349,11.74496644295302,19.379194630872483,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,-0.0,True,0.875,,2026-08-31,0,0.02630711905658245,80.1
6861.T,Keyence Corporation,Technology,Scientific & Technical Instruments,Japan,JPY,137969639568.768,,6.128705749999998,2.4629,1.7927061249999998,16.169191,14.897,,,,0.30466500199999996,0.411175,0.31536004000000006,0.1585,0.193,0.51,,9.8435,11.111,,1426593939456.0,0.0,18693287313408.0,3670655000000.0,,1169289000000.0,,,595759000000.0,,445185000000.0,430680000000.0,0.0065742290222328475,0.2996,550.0,0.51,275.0,1789603200.0,1.001,87920.0,51271.96903921346,83660.0,97366.664,1.6,15.0,,,0.22763,0.37435,False,False,,0.5,634263.0,464400.0,0.9822165848010964,5.94,4.29,25.17,,-0.04845313921747041,0.40866883288568234,46.45502645502645,0.054257860937767965,0.2568454263585329,False,0.5030091070752195,,1.0,['market_cap: JPY -> USD (x0.0068) 20289652877760.0 -> 137969639569'],,,45.63057,44.800495,0.328,0.51,,11.867,Japan,True,,97.11499038440421,73.86800431821538,77.90817292861422,57.77756967530812,24.271844660194176,36.385255648038054,,50.0,,50.0,73.15322087983283,standard,12,243242737,False,5,NEUTRAL,0,33.2,False,30.70469798657718,14.429530201342283,5.5369127516778525,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,OK,3.6,True,0.625,,2026-08-31,0,0.12569506466388702,93.5
6857.T,Advantest Corporation,Technology,Semiconductor Equipment & Materials,Japan,JPY,165468925310.784,25.495416,103.04361075,1.5935,19.468190724999996,19.746431,20.473,26.33225,0.43393499,0.24259499849999994,0.285675002,0.388485,0.13604999000000007,0.2235,0.6359999999999999,0.938,0.0,0.6424999999999998,1.77,305855139840.0,413124001792.0,108165996544.0,25229340442624.0,1171816000000.0,,1128610000000.0,,,499120000000.0,,375353000000.0,335182000000.0,0.0017809439002671415,0.1145,60.0,0.79,30.0,1774828800.0,1.185,38730.0,10414.880981730657,33690.0,41361.906,1.52381,21.0,,,0.00279,0.66356003,False,False,,0.5,8983204.0,8202220.0,1.1128713248105688,20.6,31.22,17.9,,-0.13013168086754456,0.7530553699479827,47.83927217589083,0.058704854204180146,0.29590501020963167,False,0.3746188751522148,,1.0,['market_cap: JPY -> USD (x0.0068) 24333665486880.0 -> 165468925311'],0.56895,0.2925,65.425095,141.7154,0.393,0.953,10.374,2.666,Japan,True,51.5484766074669,92.74383036127479,76.35454393067764,86.9557546496591,46.53947903947905,21.914008321775313,27.824019024970276,65.22462562396007,50.0,,50.0,72.35270697135734,standard,14,1730064263,False,6,NEUTRAL,0,49.2,False,97.5251677852349,12.5,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,STARK,-0.2,True,0.875,,2026-08-31,0,0.4045412242412567,99.7
MSAB-B.ST,Micro Systemation AB (publ),Technology,Software - Application,Sweden,SEK,157652346.1,,,,6.741625425,3.4342403,3.235,-4.5714999999999995,0.40392499000000004,0.12168499749999999,0.03071500800000001,-0.05623500000000001,0.3127399999999999,0.35250000000000004,,,15.404999999999998,0.0,1.495,-1022631848.0,145300000.0,73300000.0,1652911232.0,318067000.0,,461784000.0,,,67843000.0,,49172000.0,101888000.0,0.01263157894736842,0.3989,1.2,4.0,0.6,1794441600.0,0.414,95.19999694824219,53.37512753821798,95.0,96.0,,2.0,,,0.2339,0.56348,False,False,,0.5,23118.0,45218.0,0.20230164165784612,9.95,27.69,46.53,,-0.002100808347199057,0.4755235867785022,65.99998550416697,0.1288559333986894,0.3555373697444506,True,1.0298441107470537,,0.52,['market_cap: SEK -> USD (x0.095) 1659498380.0 -> 157652346'],0.59636,0.19253,25.265957,30.15873,0.522,,51.439,1.612,Nordic,True,,75.52515887924994,80.4413475406057,67.7415326169056,46.509875462677826,99.30651872399446,50.535077288941736,,50.0,,50.0,71.98311122022177,standard,16,451516,False,4,NEUTRAL,0,50.1,False,30.70469798657718,97.5251677852349,35.151006711409394,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,OK,19.3,True,0.75,EXTREME_EARNINGS_GROWTH;SUSPICIOUS_FWD_PE;,2026-08-31,0,0.01638851687312126,74.1
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,USD,1053565678298.015,,,0.1374,2.8939221500000007,11.670754,11.453,-6.49125,0.46891249749999997,0.2763824978,0.442230012,0.652909415375,0.07338993999999999,3.2874999999999996,13.368,13.983,0.0,1.665,2.927,6526858304.0,26022000640.0,6376000000.0,1033919725568.0,82798000000.0,,37378000000.0,,,9809000000.0,,8539000000.0,17525000000.0,0.0005681452825959315,0.0112,0.53,0.33,0.15,1783296000.0,2.213,1254.8069810301963,114.06691350045408,932.8599853515625,1513.409,1.3617,44.0,0.7,0.026600001,0.00238,0.79989,False,False,,0.493,45365950.0,26423080.0,0.7506385302210228,6.65,-3.91,126.35,,-0.256570931263321,0.8161863779992538,59.9799951513672,-0.02315223671622646,0.5857458605894883,True,0.5670269053464114,,1.0,[],0.66638,0.3487,21.095882,6.017472,3.457,13.685,6.33,3.425,US,True,,91.70123980139434,62.19164523811613,98.02801648196353,43.29127587424048,6.38002773925104,25.802615933412604,56.40599001663894,50.0,63.06818181818182,49.3,71.81208975131705,standard,18,24649034022,False,6,NEUTRAL,0,40.6,False,65.26845637583892,2.5587248322147653,9.228187919463087,50.041946308724825,50.041946308724825,50.041946308724825,VARNING,False,3,0.42857142857142855,LÅG,OK,1.2,True,0.75,,2026-08-31,0,0.21404647827148438,96.9
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,United States,USD,428599870612.72626,111.1591555,46.0116585,2.49,38.23161114999999,72.72093,71.245,143.06975,0.18350249749999997,0.1006124878,0.373220032,0.32041935537499994,0.1956599400000001,0.7585000000000001,1.837,2.25,0.0,5.468000000000001,7.095,1046463040.0,9409098752.0,211400000.0,438578741248.0,8900392000.0,,4475446000.0,,,1414015000.0,,1625033000.0,2134473000.0,,0.0,,,,,1.563,207.52000427246094,106.37000274658203,186.2899932861328,191.68,1.8125,27.0,1.52,0.0318,0.03477,0.64865,False,False,,0.1,41851117.0,31023310.0,0.5308229141934615,52.37,19.0,35.79,,-0.10230344327891605,0.6013511505722294,60.78813446306696,0.29597186941209896,0.2306811724547777,True,0.7916504228743534,,1.0,[],0.38097,0.17292999,159.22223,80.49727,0.928,2.154,2.139,7.228,US,True,36.029377020172824,91.56129388623148,79.84381289734762,94.05380014240941,50.151024239335456,10.124826629680998,12.604042806183116,49.91680532445923,50.0,54.40340909090909,10.0,79.28136303356733,standard,1,5779332212,False,7,STARK,8,39.1,False,63.08724832214765,2.5587248322147653,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,STARK,-0.9,True,0.875,,2026-08-31,0,-0.02482256479561329,17.8
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,United States,USD,121796466398.0,10.802175500000004,9.668490500000003,2.3717,70.96173215000002,16.180416,15.714,23.922750000000004,0.9769524975000001,0.0693424978,0.16490001199999998,0.18515940537500003,0.14973998,0.0865,0.122,0.378,0.0,0.0,1.141,1152945984.0,4069600000.0,561400000.0,118288269312.0,10389200000.0,,6799600000.0,,,2084700000.0,,1853400000.0,2590600000.0,,0.0,,,,,1.058,173.88999938964844,73.55000305175781,166.0,160.86485,2.68182,37.0,2.65,0.0234,0.17361,0.71666,False,False,,0.41,5682409.0,4278470.0,1.1272435631516358,7.62,20.32,110.05,,-0.045373508639612536,0.40995431211080735,51.523398937053,0.05434045680746724,0.5354603483402374,True,0.7535335960801992,,1.0,[],1.17442,0.14166,58.86525,44.154102,0.256,0.439,36.194,1.282,US,True,50.021615535034755,88.20753627594392,88.70134976110762,71.74776219577498,40.442431915975426,27.184466019417474,12.604042806183116,62.39600665557404,50.0,68.18181818181817,41.0,78.81172910954434,standard,2,710226020,False,7,STARK,8,43.0,False,68.70805369127517,16.44295302013423,5.453020134228188,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,OK,4.7,True,0.875,,2026-08-31,0,0.022938335314393044,78.1
MA,Mastercard Incorporated,Financial Services,Credit Services,United States,USD,517591977045.9244,,,1.8128,88.16299142500002,14.864427,15.236,12.20625,2.2331125025,0.21306749970000002,0.19107,0.21179439787499993,,0.03649999999999999,0.036500000000000005,0.186,,,0.666,15848608832.0,11608999936.0,24643000320.0,534517710848.0,54157000000.0,,32791000000.0,,,19514000000.0,,14968000000.0,17648000000.0,0.005845792157500029,0.17930001,3.48,0.54,0.87,1783555200.0,0.735,601.22998046875,463.74259988972767,595.2999877929688,669.4595,1.375,37.0,2.4,0.0083,0.00112,0.91285,False,False,,0.576,3472028.0,2947600.0,0.657829542837603,3.11,20.71,15.49,,-0.009863102088086051,0.22554100408991515,72.78400257609701,0.08645615217662961,0.1270775254414136,True,0.8550366222437286,,0.907,"['debt_to_equity: 439.583 > 200 -> None'
 'gross_margin: None för sektor Financial Services'
 'current_ratio: None för sektor Financial Services']",2.41202,0.24063,32.780838,25.853596,0.141,0.221,,,US,True,69.37118900523296,94.1868578313692,81.09298170735623,58.78000826028183,72.56356229807557,9.015256588072122,35.43400713436385,83.69384359400999,50.0,93.18181818181817,57.599999999999994,78.42347421412155,standard,3,1754706244,False,7,STARK,8,50.1,False,78.85906040268456,2.5587248322147653,50.041946308724825,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,5.3,True,0.75,SUSPICIOUS_FWD_PE;,2026-08-31,0,-0.011090989224612713,39.0
7167.T,"Mebuki Financial Group,Inc.",Financial Services,Banks - Regional,Japan,JPY,10897532810.446999,,12.432099749999999,,0.16441689999999998,4.2444196,1.099,,-0.02403500499999997,-0.0007299995999999996,0.012364969999999989,0.062210012499999995,,0.3225,0.39649999999999996,0.553,,,,,3227891007488.0,2046954962944.0,415096963072.0,21173586000000.0,,338204000000.0,,,,,84163000000.0,-1119492000000.0,0.02576866764275256,0.3145,44.0,2.86,22.0,1790640000.0,,1719.5,860.6614308589701,1707.5,1600.0,2.2,5.0,,,0.046079997,0.40832,False,False,,0.5,2812030.0,2541790.0,0.923347463117561,16.51,31.3,35.21,,-0.00697877289909854,0.33490623229897176,72.53218884120172,0.10968857231985019,0.3333205442524301,True,0.8144276787800496,,1.0,"['gross_margin: None för sektor Financial Services'
 'market_cap: JPY -> USD (x0.0068) 1602578354477.5 -> 10897532810']",0.09242,0.00442,19.198336,43.547565,0.427,0.581,,,Japan,True,,52.409225407387474,91.8873440039761,84.54927528335017,49.876543209876544,78.50208044382802,76.09988109393579,,50.0,,50.0,70.20685420964894,standard,22,27172537,False,4,NEUTRAL,0,48.7,False,30.70469798657718,73.40604026845638,50.041946308724825,50.041946308724825,50.041946308724825,50.041946308724825,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,8.0,True,0.5,,2026-08-31,0,0.0007630496402271092,58.7
