ticker,name,current_price,day_change_pct,week_change_pct,avg_volume,market_cap,ev_to_ebitda,price_to_book,debt_to_equity,current_ratio,total_cash,total_debt,free_cash_flow,operating_cashflow,book_value,gross_margin,operating_margin,revenue_growth,earnings_growth,return_12m,return_6m,shares_change_pct,piotroski_score,insider_pct,insider_net_buy_6m,insider_buy_count,insider_sell_count,insider_signal,sc_insider,sc_fcf,sc_piotroski,sc_growth,sc_balance,sc_valuation,sc_momentum,sc_liquidity,sc_composite,sc_bonus,sc_penalty,sc_total,sc_rank,sc_stars,sector_signal,sector_adjustment,sector
CX.ST,CombinedX AB (publ),33.9,0.0,-0.002941131591796875,10851,660327936,2.029,1.1111112,15.8,2.435,351300000.0,93900000.0,169287504.0,102000000.0,30.51,0.19086,0.49485,-0.051,16.708,-0.222047985783287,-0.06311155718075778,,7,0.55732,0,0,0,N/A,57.01754385964912,98.24561403508771,85.0,56.140350877192986,60.78947368421053,70.17543859649122,49.122807017543856,38.59649122807017,68.09736842105264,8.0,0.0,81.09736842105264,1,★★★★,UPPTREND,5,Mjukvara & SaaS
TAGM-B.ST,TagMaster AB (publ),36.9,-0.002702702702702741,0.03651694122129889,26089,540493760,8.299,1.9556923,24.596,1.833,48356000.0,71681000.0,66606124.0,96715000.0,18.868,0.70459,0.096370004,-0.084,0.194,1.53608254585289,0.765550344468082,,7,0.75414,0,0,0,N/A,64.73684210526316,85.96491228070175,85.0,42.98245614035087,53.15789473684211,40.35087719298245,98.24561403508771,71.9298245614035,67.40438596491228,6.0,0.0,83.40438596491228,2,★★★★,STARK UPPTREND,10,Industri & Verkstad
MAGI.ST,MAG Interactive AB (publ),7.62,-0.002617801047120363,0.06722689468476828,41972,202242416,-26.339,0.6829181,10.356,2.882,84998000.0,30670000.0,6065125.0,56194000.0,11.158,0.56347,-0.02303,0.079,,-0.45571429388863705,0.36071428845123377,,5,0.57289004,0,0,0,N/A,57.71929824561404,59.64912280701754,55.0,59.29824561403508,70.7017543859649,91.22807017543859,47.368421052631575,28.07017543859649,60.990350877192974,11.0,0.0,76.99035087719298,3,★★★★,UPPTREND,5,Övrigt
EOLU-B.ST,Eolus Aktiebolag (publ),36.7,0.0027322404371585085,-0.004070494366152588,50932,912670272,-1.97,0.6878069,40.315,6.443,1000000000.0,564000000.0,954249984.0,797000000.0,53.358,0.01338,0.33858,-0.683,0.822,-0.324153836924172,0.03234884811699357,,7,0.15201001,0,0,0,N/A,34.56140350877193,98.24561403508771,85.0,37.89473684210527,68.85964912280701,89.47368421052632,43.859649122807014,84.21052631578947,66.77456140350877,5.0,0.0,81.77456140350877,4,★★★★,STARK UPPTREND,10,Industri & Verkstad
ENRO.ST,Eniro Group AB (publ),32.0,0.0031347962382445587,0.09645367776492852,14289,465924544,4.772,1.5902202,12.628,0.875,145000000.0,37000000.0,17812500.0,84000000.0,20.123,0.30124,0.06073,0.042,12.25,0.31484336935071155,0.9230950691592341,,5,0.69665,0,0,0,N/A,62.631578947368425,61.40350877192983,55.0,76.14035087719299,39.82456140350877,59.64912280701754,92.98245614035088,43.859649122807014,61.74473684210526,8.0,0.0,74.74473684210525,5,★★★★,UPPTREND,5,Övrigt
CANTA.ST,Cantargia AB (publ),1.812,-0.0098360655737705,0.006666713467351926,1142141,450484320,1.192,1.9256111,,8.09,258034000.0,0.0,90059248.0,158088992.0,0.941,1.0,-72.61811,,,0.47797724969378486,-0.6581132130132274,,5,0.044850003,0,0,0,N/A,28.245614035087723,92.98245614035088,55.0,44.56140350877193,53.859649122807014,80.7017543859649,78.94736842105263,89.47368421052632,61.73070175438596,8.0,0.0,79.73070175438596,6,★★★★,STARK UPPTREND,10,MedTech & Life Science
HAKI-B.ST,HAKI Safety AB (publ),21.8,0.0,0.03846159489197354,6998,649936512,5.613,0.91669816,56.417,4.119,6000000.0,400000000.0,136875008.0,102000000.0,23.781,0.36986,0.06612,0.12,-0.167,0.01990865275329612,0.11216181047342855,,7,0.67911005,0,0,0,N/A,61.92982456140351,94.73684210526315,85.0,53.68421052631579,57.5438596491228,56.14035087719298,75.43859649122807,3.508771929824561,66.64122807017544,3.0,0.0,79.64122807017544,7,★★★★,STARK UPPTREND,10,Industri & Verkstad
CTM.ST,Catena Media plc,3.79,-0.028205128205128174,-0.015584401107996193,248210,286714016,13.695,3.7266471,,4.468,13654000.0,0.0,18860624.0,8880000.0,1.017,0.38551998,0.99894994,0.258,,1.0824175014427926,1.1055555901409675,,7,0.26545,0,0,0,N/A,40.87719298245614,70.17543859649122,85.0,69.82456140350877,47.5438596491228,15.789473684210526,98.24561403508771,70.17543859649122,60.36403508771929,8.0,0.0,73.36403508771929,8,★★★★,UPPTREND,5,Mjukvara & SaaS
PRIC-B.ST,Pricer AB (publ),4.395,0.0011389521640090875,-0.005656130075996191,221641,718162112,5.19,0.64442813,30.779,2.297,336300000.0,343000000.0,92250000.0,193300000.0,6.82,0.24629,0.05962,0.084,,-0.11835509263506139,0.1878378173745927,,7,0.21416001,0,0,0,N/A,37.368421052631575,87.71929824561403,85.0,60.35087719298245,55.17543859649123,57.89473684210527,64.91228070175438,73.68421052631578,64.45175438596492,3.0,0.0,72.45175438596492,9,★★★★,UPPTREND,5,Mjukvara & SaaS
MEKKO.HE,Marimekko Oyj,10.62,0.0037807183364838514,0.009505648616356499,34287,430781952,12.362,5.5543933,39.922,3.103,32700000.0,30900000.0,29587500.0,37500000.0,1.912,0.60763,0.12319,0.045,0.245,-0.19283550971521912,-0.15328076154477477,,7,0.25234,0,0,0,N/A,40.17543859649123,71.9298245614035,85.0,69.47368421052632,59.56140350877193,19.298245614035086,45.614035087719294,36.84210526315789,55.93245614035089,11.0,0.0,71.9324561403509,10,★★★★,UPPTREND,5,Övrigt
