ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,total_assets,total_assets_prev,revenue_ttm,revenue_prev,revenue_2y_ago,operating_income_ttm,operating_income_prev,net_income_ttm,operating_cashflow_ttm,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_revision_rate,options_flow_signal,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,insider_recent_date,earnings_surprise,exchange_group,_sector_neutralized,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_short_interest,score_options_flow,score_total,company_type,rank,est_daily_turnover_usd,low_liquidity,mews_score,mews_flag,mews_fcf_yield,mews_small_size,mews_low_ps,mews_operating_leverage,mews_revenue_accel,mews_clean_accruals,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_delta_4w,data_quality,data_anomaly,data_fetched_date,data_stale_days,_fundamentals_neutralized
6857.T,Advantest Corporation,Technology,Semiconductor Equipment & Materials,Japan,JPY,26697350868060.0,36.326970499999995,123.61114374999997,1.5774,20.268315237499994,21.66453,21.413,26.218250000000005,0.41315250424999994,0.22900999949999995,0.251315002,0.320207505,0.291724975,0.2245,0.669,0.938,5.343625000000001,0.023499999999999965,1.77,80435888128.0,413124001792.0,108165996544.0,26387685572608.0,1171816000000.0,,1128610000000.0,,,499120000000.0,,375353000000.0,335182000000.0,0.17,0.11399999,60.0,0.79,30.0,1774828800.0,1.185,38730.0,10414.880981730657,36870.0,38319.047,1.61905,21.0,,,0.00279,0.66253996,False,False,,0.5,9063698.0,9491340.0,0.79,27.46,49.39,,,0.0,0.802,71.5,24.53,,True,0.9589337359217518,,1.0,Japan,True,43.43165309267005,93.10492783725358,96.5639679864175,88.53681380885862,44.24934826174069,4.071246819338422,67.17171717171718,53.510895883777245,50.0,,50.0,72.004987157475,standard,1,2199145957,False,43.1,False,79.06197654941374,2.554438860971524,2.554438860971524,50.041876046901166,50.041876046901166,50.041876046901166,7,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,17.8,0.875,,2026-08-17,0,True
DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,India,INR,2250377152660.0,43.554433,29.127583125,,5.923031525,20.038977,19.752,17.234,,,0.12506499850000002,0.16326498175,0.19888998,0.19000000000000003,0.512,0.655,-21.825,,,,32330000384.0,70000000.0,2218117038080.0,200330000000.0,,104760000000.0,,,29790000000.0,,25680000000.0,27380000000.0,0.35,0.3101,30.0,0.62,30.0,1784851200.0,0.22,8674.0,5613.352076705792,8477.0,8292.482,2.72414,29.0,,,0.51999,0.29965,False,False,,0.5,452977.0,589681.0,0.49,17.0,24.85,,,-0.85,0.2304,77.7,17.08,,True,0.7389947889762848,,0.838,India,True,,80.0,73.83785471449386,79.25792211481551,87.47225729920024,14.50381679389313,67.17171717171718,,50.0,,50.0,71.22238296149742,standard,2,52282457,False,33.1,False,35.88777219430486,8.040201005025125,2.554438860971524,50.041876046901166,50.041876046901166,50.041876046901166,4,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,-2.3,0.75,,2026-08-17,0,True
V,Visa Inc.,Financial Services,Credit Services,United States,USD,620552627119.0215,9.294951124999999,6.385676500000001,1.6386,12.001798150000003,15.282442,15.336,8.698500000000001,0.411243745,0.1593199977,0.23906500200000008,0.27057994,0.48873999999999995,0.040999999999999995,-0.0775,0.068,-5.631000000000007,-0.5800000000000001,0.627,18929175808.0,13792000000.0,23857999872.0,682266984448.0,99627000000.0,,40000000000.0,,,26556000000.0,,20058000000.0,23059000000.0,0.73,0.22129999,2.68,0.7,0.67,1786406400.0,0.759,373.27653822285373,292.7381994806606,364.1499938964844,416.20026,1.375,37.0,2.58,0.012200001,0.00085,0.89769995,False,False,,0.207,8156670.0,6097720.0,1.2153280430618603,-0.09,13.12,12.77,,-0.024449820419521262,0.2192129737227033,53.00321624660343,0.046774175196909074,0.10357341078283033,False,0.584022955995428,,0.862,US,True,74.37596302003081,93.96816295265137,74.07078579895756,50.36821465957466,54.06769573011553,21.62849872773537,67.17171717171718,85.4721549636804,50.0,87.09677419354838,20.7,69.65583909453288,standard,3,2220484701,False,47.5,False,88.60971524288107,12.227805695142377,6.95142378559464,50.041876046901166,50.041876046901166,50.041876046901166,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,-1.2,0.875,,2026-08-17,0,True
MA,Mastercard Incorporated,Financial Services,Credit Services,United States,USD,494977206923.9139,9.515947124999999,6.8117135000000015,1.724,81.71116115000001,14.214966,14.53,9.7175,2.2113637450000003,0.2088499977,0.194635002,0.22034997999999997,0.51149,0.03799999999999999,0.04150000000000001,0.186,366.131,-0.504,0.666,15486425344.0,11608999936.0,24643000320.0,509761683456.0,54157000000.0,,32791000000.0,,,19514000000.0,,14968000000.0,17648000000.0,0.61,0.17930001,3.48,0.54,0.87,1783555200.0,0.735,598.0432666718583,463.74259988972767,569.2899780273438,665.2632,1.36585,38.0,2.78,0.010299999,0.00112,0.90611,False,False,,0.49,3552334.0,2994720.0,0.89,4.73,15.39,,,-1.4,0.2433,63.6,7.64,,False,0.6698056768448087,,0.907,US,True,74.48382126348227,94.89041353175786,62.95195105725631,60.46815989622243,42.09400492852289,23.155216284987276,67.17171717171718,86.92493946731234,50.0,91.12903225806451,49.0,68.76576193639835,standard,4,1704864083,False,48.0,False,89.19597989949749,13.400335008375208,8.040201005025125,50.041876046901166,50.041876046901166,50.041876046901166,6,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,OK,0.1,0.875,,2026-08-17,0,True
BKT.MC,"Bankinter, S.A.",Financial Services,Banks - Regional,Spain,EUR,15066642432.0,-1.8722174999999996,-2.2448792500000008,10.15,-1.5524588125000003,5.3247395,2.575,,-0.01747999,-0.014619997299999993,0.13875500999999998,0.18042248375,-0.42923,-0.008999999999999994,-0.04149999999999998,0.158,,,,,19627560960.0,11955090432.0,7286149632.0,131018892000.0,,3128426000.0,,,,,1089976000.0,-598882000.0,4.61,0.5017,0.77,5.33,0.160932,1782086400.0,0.044,16.765,15.785,16.765,16.30136,2.5,22.0,,,0.28851,0.37596,False,False,,0.5,1144682.0,1144682.0,0.07,,,,,0.0,,,,,,,,0.718,Europe,True,,50.514946287641926,96.98189134808854,47.11654431627484,99.01433691756273,82.44274809160305,67.17171717171718,,50.0,,50.0,68.40773551580065,standard,5,22260287,False,48.2,False,35.88777219430486,83.33333333333334,28.14070351758794,50.041876046901166,50.041876046901166,50.041876046901166,2,SVAG,-8,UPPTREND,False,3,0.42857142857142855,LÅG,VÄNTA,-13.7,0.75,SUSPICIOUS_FWD_PE;,2026-08-17,0,True
6861.T,Keyence Corporation,Technology,Scientific & Technical Instruments,Japan,JPY,21259753421760.0,12.628937499999996,15.461747749999995,2.5483,0.6581382375000009,16.942282,15.606,,,,0.27030500199999996,0.342897505,0.471035025,0.1595,0.22600000000000003,0.51,,9.224500000000003,11.111,,1426593939456.0,0.0,19583354273792.0,3670655000000.0,,1169289000000.0,,,595759000000.0,,445185000000.0,430680000000.0,0.63,0.2996,550.0,0.51,275.0,1789603200.0,1.001,87920.0,51271.96903921346,87660.0,96033.336,1.6,15.0,,,0.22763,0.37611,False,False,,0.5,684904.0,778220.0,0.83,17.15,15.67,,,-1.04,0.4856,72.6,11.25,,True,0.8296257108302797,,1.0,Japan,True,,95.45722713864306,64.66466139637011,80.56078117237654,53.29650788781479,5.343511450381679,67.17171717171718,,50.0,,50.0,68.37137820483963,standard,6,428703708,False,32.8,False,35.88777219430486,2.554438860971524,6.030150753768844,50.041876046901166,50.041876046901166,50.041876046901166,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,7.5,0.625,,2026-08-17,0,True
O39.SI,Oversea-Chinese Banking Corporation Limited,Financial Services,Banks - Regional,Singapore,SGD,142749480053.44418,1.8781135000000004,-0.2466209999999993,2.6579,0.27999077499999997,9.71151,7.117,,0.0,0.0,0.08934500000000004,0.04461500000000007,0.0,0.06600000000000002,0.04550000000000001,0.223,,,,,90186997760.0,52214001664.0,104605999104.0,675688000000.0,,14533000000.0,,,,,7422000000.0,9125000000.0,2.98,0.477,0.94,4.76,0.47,1786924800.0,0.203,31.860000610351562,15.774320909726464,31.790000915527344,30.58438,2.1875,16.0,,,0.28120002,0.18531999,False,False,,0.5,6719058.0,8045363.0,0.65,12.06,36.59,,,0.0,0.1973,72.1,17.84,,True,1.0254872927884162,,0.923,Singapore,True,,57.629137987545064,94.94124993367916,64.37828122474869,93.03690098087986,38.67684478371501,67.17171717171718,,50.0,,50.0,68.36907933400123,standard,7,200448375,False,36.7,False,35.88777219430486,22.445561139028474,12.144053601340033,50.041876046901166,50.041876046901166,50.041876046901166,3,SVAG,-8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,3.6,0.75,SUSPICIOUS_FWD_PE;,2026-08-17,0,True
EICHERMOT.NS,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers,India,INR,,-2.5657940000000004,2.172842874999999,,1.7085023250000004,8.904472,8.674,-2.183499999999995,,,0.12861998600000002,0.07444499974999998,0.009599989999999975,0.24,0.0925,0.213,-37.318250000000006,,,,60782301184.0,5139500032.0,2157112721408.0,321635600000.0,,229775700000.0,,,49560000000.0,,55152300000.0,48048400000.0,1.01,0.33310002,82.0,0.84,82.0,1785456000.0,0.226,8144.709619405779,5650.825246139833,,8357.514,2.05263,37.0,,,0.49795,0.29042998,False,False,,0.5,597989.0,500050.0,0.83,7.86,19.1,,,-0.39,0.3165,68.6,7.0,,True,,,0.695,India,True,,68.02359882005901,73.95366111476159,65.2109653256653,72.56852765979158,,67.17171717171718,,50.0,,50.0,67.27823641331204,standard,8,,True,41.1,False,35.88777219430486,50.041876046901166,14.154103852596315,50.041876046901166,50.041876046901166,50.041876046901166,3,SVAG,-8,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,-3.4,0.75,,2026-08-17,0,True
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,United States,USD,224092267835.77496,-7.327923374999999,-4.287424999999997,2.1902,10.789999000000002,5.882459,7.067,-3.4689999999999994,0.733683745,0.015784997999999995,0.10944501199999998,0.1634799975,0.23040000000000005,0.007000000000000006,0.504,0.659,427.619,-0.49199999999999994,0.95,7170799872.0,13989000192.0,57303998464.0,269212680192.0,90586000000.0,,36751000000.0,,,9080000000.0,,7711000000.0,9958000000.0,2.41,0.6087,10.08,3.07,2.52,1787270400.0,0.413,421.7900085449219,264.0224916487972,415.2099914550781,383.65518,2.47059,29.0,5.66,0.024600001,0.00225,0.83489,False,False,,0.332,2712362.0,2803440.0,0.72,13.36,27.24,,,-0.63,0.2511,73.1,12.15,,True,0.7978762973882189,,0.98,US,True,,80.54187427956941,76.51201325600664,73.75450863901827,45.569422587638385,32.31552162849873,67.17171717171718,83.7772397094431,50.0,62.5,33.2,66.86998663407765,standard,10,1164016298,False,51.5,False,90.03350083752095,17.922948073701843,25.041876046901173,50.041876046901166,50.041876046901166,50.041876046901166,5,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,4.8,0.875,SUSPICIOUS_FWD_PE;,2026-08-17,0,True
MSAB-B.ST,Micro Systemation AB (publ),Technology,Software - Application,Sweden,SEK,,-7.322056249999999,6.248882000000001,,4.882153975,3.2318008,3.047,-4.077750000000002,0.3837249995,0.113550006,0.004450004499999986,-0.0823924915,0.47136499999999987,0.35350000000000004,,,4.546999999999997,-0.16324999999999984,1.495,-789506888.0,145300000.0,73300000.0,1556877568.0,318067000.0,,461784000.0,,,67843000.0,,49172000.0,101888000.0,1.36,0.3989,1.2,4.0,0.6,1794441600.0,0.414,95.19999694824219,53.375131080436816,,96.0,,2.0,,,0.2339,0.56348,False,False,,0.5,18468.0,37075.0,0.32,6.68,25.92,,,-2.19,0.4747,62.0,11.4,,False,,,0.52,Nordic,True,,72.16053310942442,70.52364899335159,68.47977366930435,58.342159240684154,,67.17171717171718,,50.0,,50.0,66.44024755473737,standard,11,,True,45.8,False,35.88777219430486,50.041876046901166,45.47738693467337,50.041876046901166,50.041876046901166,50.041876046901166,4,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,OK,1.4,0.875,EXTREME_EARNINGS_GROWTH;,2026-08-17,0,True
