ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,dividend_yield,payout_ratio,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,earnings_surprise_pct,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,volatility,bb_position,sentiment_raw,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_sentiment,score_total,company_type,rank,data_quality,sector_signal,sector_adjustment,piotroski_f,piotroski_label,piotroski_boost,insider_signal,earnings_signal,analyst_signal,extra_composite,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,score_sector_pct,score_global_pct,score_total_sector,sector_rank,sector_return_3m,relative_strength,rs_label,prev_score,prev_rank,prev_price,prev_rsi,prev_ma200,prev_trend_capped,prev_short,score_delta,rank_delta,is_new,short_delta,price_change_1w,delta_flag
BICO.ST,BICO Group AB (publ),Healthcare,Medical Devices,Sweden,SEK,1243348110.0,,-33.962265,,0.78961223,0.8512116,0.815,-9.012,-0.69294,-0.04176,-0.66087997,-0.27645,0.51541,-0.014,,,42.926,2.24,1.765,575600000.0,744300032.0,690600000.0,,0.0,2.556,42.459999084472656,15.300000190734863,18.0,31.0,2.0,3.0,,,0.3001,0.21223,,295718.0,364351.0,0.6934304421970505,-0.014238785631042528,0.024473552227917805,-0.1942703725579492,,-0.5760715876561928,37.48773981300127,-0.019586488987966333,-0.14972413235089432,False,0.5662440575986291,0.0450146292967756,0.5,89.76805650489861,15.281361671848057,26.147704590818364,21.99570815450644,36.80477728417631,96.44970414201184,14.076690211907165,62.525227043390515,30.515447743866844,standard,155,0.75,NEDTREND,-10,5,NEUTRAL,0,0.5,0.132,0.75,0.428,NEDTREND,True,2,0.2857142857142857,LÅG,EJ AKTUELL,6.25,2.5316455696202533,4.390822784810126,154,-0.06441638231104208,0.089,🟢 STARK,30.515447743866844,155,18.0,37.48773981300127,-0.1497241323508943,True,,0.0,0,False,,0.0,
ALIG.ST,Alimak Group AB (publ),Industrials,Specialty Industrial Machinery,Sweden,SEK,11260652641.488647,20.075472,14.243642,,1.5024217,1.6571969,2.018,12.287,0.07658,0.04129,0.08344,0.1458,0.40028998,-0.046,-0.202,-0.201,41.334,2.191,1.411,467124992.0,646000000.0,3097999872.0,3.1,0.566,1.094,168.44820898153657,100.52553671673763,106.4000015258789,143.0,1.66667,3.0,,,0.066989996,0.76129997,,159202.0,108016.0,0.560771483537355,-0.03303241400398127,-0.15650674840035772,-0.21225482343536728,,-0.368351838412593,37.54757077324353,-0.02821053863028644,-0.21232462596902002,False,0.2489967738883463,0.3025933093785571,0.5,68.35612593319735,42.07463775803812,15.169660678642714,14.84298937871427,61.834808372190366,70.41420118343196,69.07164480322906,62.525227043390515,45.70494358790652,standard,114,0.875,UPPTREND,5,6,NEUTRAL,0,0.5,0.163,0.833,0.465,NEDTREND,True,4,0.5714285714285714,MEDEL,EJ AKTUELL,32.55813953488372,28.48101265822785,30.519576096555788,111,-0.00045499464118392563,-0.156,🔴 SVAG,45.70494358790652,115,106.4000015258789,37.54757077324353,-0.21232462596902,True,,0.0,1,False,,0.0,
ALIV-SDB.ST,"Autoliv, Inc.",Consumer Cyclical,Auto Parts,Sweden,SEK,83322895194.0,12.886418,133.61345,0.85,31.6337,7.5817013,7.756,55.714,0.28372,0.08375,0.06451,0.08936,0.19308001,0.068,-0.122,-0.156,85.174,1.075,0.745,430375008.0,342000000.0,2252000000.0,2.89,0.3541,1.324,1240.1114501953125,920.5,1113.0,1260.1803,,7.0,,,0.0,0.15544,,81672.0,49769.0,0.17072445454301588,0.11077844311377238,-0.007206540155141439,-0.030622526306590125,,-0.10250002140960235,61.93181818181818,0.08097860312549066,0.005116916798354687,True,0.29979953277607524,0.7225068908750998,0.5,7.657665435779924,49.81745512764869,51.896207584830336,29.347150259437353,34.33727765186577,38.46153846153847,69.07164480322906,62.525227043390515,39.260232811921114,standard,141,0.875,UPPTREND,5,3,SVAG,-8,0.5,0.942,0.5,0.677,UPPTREND,False,2,0.2857142857142857,LÅG,EJ AKTUELL,26.08695652173913,11.39240506329114,18.739680792515134,131,0.024718917843827848,-0.032,⚪ NORMAL,39.26023281192112,142,1113.0,61.93181818181818,0.0051169167983546,False,,-7.105427357601002e-15,1,False,,0.0,
DOM.ST,Dometic Group AB (publ),Consumer Cyclical,Leisure,Sweden,SEK,10556280061.23098,25.415386,7.6658936,,0.47595727,0.51617426,1.098,8.57,0.01846,0.02181,0.02039,0.08189,0.29422,-0.101,-0.061,-0.061,75.396,1.431,0.859,2042499968.0,4832999936.0,16721999872.0,4.32,1.0,1.33,58.45000076293945,23.280000686645508,33.040000915527344,45.85714,1.28571,7.0,,,0.08321,0.6685,,1037390.0,608101.0,0.31950410575381805,0.16092768722376616,-0.21295852130046833,-0.2548488768194338,,-0.4347305306371092,64.5000083446516,0.10722379834392681,-0.22679083392131472,True,0.49568949829257847,0.7668293408586931,0.5,91.6078280902727,24.153467781603542,9.3812375249501,19.379951078874072,31.845333967666896,71.59763313609467,69.07164480322906,62.525227043390515,45.44683076098276,standard,117,0.875,UPPTREND,5,5,NEUTRAL,0,0.5,0.259,0.929,0.532,NEDTREND,True,3,0.42857142857142855,LÅG,EJ AKTUELL,34.78260869565217,26.582278481012654,30.68244358833241,110,0.024718917843827848,-0.238,🔴 SVAG,45.44683076098276,118,33.040000915527344,64.5000083446516,-0.2267908339213147,True,,0.0,1,False,,0.0,
BEIJ-B.ST,Beijer Ref AB (publ),Industrials,Industrial Distribution,Sweden,SEK,59294646060.45505,26.971678,22.427536,4.88,2.7351258,1.7091048,1.998,19.362,0.1037,0.046090003,0.063319996,0.07989,0.32189,-0.039,0.0,-0.002,58.051,1.503,0.656,2059500032.0,2867000064.0,13376000000.0,1.21,0.305,1.011,172.58930395683376,121.27993907601434,123.80000305175781,162.625,1.625,8.0,,,0.0013600001,0.72655,,860002.0,795618.0,0.5151338915266824,-0.12087582616753512,-0.07274499975199622,-0.1739615591881457,,-0.28269017712290334,19.160410133185934,-0.06364682708500946,-0.1482691607707003,False,0.2610118714076382,0.2172351136198627,0.5,45.867660766669374,37.56833725018673,26.94610778443114,26.96891321948682,53.77272123642365,43.19526627218935,69.07164480322906,62.525227043390515,45.66858931286111,standard,115,0.875,UPPTREND,5,4,NEUTRAL,0,0.5,0.503,0.844,0.604,NEDTREND,True,2,0.2857142857142857,LÅG,EJ AKTUELL,23.25581395348837,27.848101265822784,25.551957609655577,120,-0.00045499464118392563,-0.072,🔴 SVAG,45.66858931286111,116,123.8000030517578,19.16041013318593,-0.1482691607707003,True,,0.0,1,False,,2.220446049250313e-16,
INDT.ST,Indutrade AB (publ),Industrials,Industrial Distribution,Sweden,SEK,70022879488.17444,27.614943,21.450891,1.63,3.8921063,2.1708484,2.414,15.79,0.1472,0.06908,0.07862,0.11125,0.35537997,0.003,-0.041,-0.039,54.737,1.905,1.198,2934374912.0,2016999936.0,9850999808.0,1.61,0.4454,1.181,276.84685193911514,191.268834191155,192.1999969482422,256.625,2.14286,8.0,,,0.26732,0.59472,,461299.0,542783.0,0.5546270331880423,-0.134234247980891,-0.16619138897304997,-0.20300716912825467,,-0.30575335929587777,9.039540960372833,-0.0992011825968826,-0.15232776840246487,False,0.3229441348706414,0.26359670640550187,0.5,44.22801653254013,48.99134648667359,18.7624750499002,28.318421630295735,48.45517854728887,40.23668639053255,69.07164480322906,62.525227043390515,53.356036738982034,standard,76,0.875,UPPTREND,5,7,STARK,8,0.5,0.704,0.545,0.595,NEDTREND,True,2,0.2857142857142857,LÅG,EJ AKTUELL,20.930232558139537,52.53164556962025,36.730939063879894,102,-0.00045499464118392563,-0.166,🔴 SVAG,53.356036738982034,78,192.1999969482422,9.039540960372833,-0.1523277684024648,True,,0.0,2,False,,0.0,
INTRUM.ST,Intrum AB (publ),Financial Services,Credit Services,Sweden,SEK,2446772766.867388,,2.8062017,2.69,0.22548899,0.1482174,2.87,7.386,-0.107650004,0.05076,-0.115159996,0.36548,1.0,-0.122,,,311.636,1.321,1.092,805500032.0,3404999936.0,46733000704.0,,0.0,,74.19999694824219,17.8700008392334,18.100000381469727,44.5,2.0,2.0,,,0.1381,0.24658,,1462746.0,4980430.0,2.259643724043822,-0.5481777393662937,-0.6376376355353517,-0.5704793392589385,,-0.7560646748530827,4.881655855183141,-0.5146854480713445,-0.5861873366589407,False,0.6777086816814438,-0.0025011614117019867,0.5,96.65099328570744,50.08181347633331,1.3972055888223551,4.828326180257511,17.34909716690856,92.3076923076923,14.076690211907165,62.525227043390515,40.271556999181115,standard,138,0.625,NEUTRAL,0,4,NEUTRAL,0,0.5,0.656,0.75,0.637,NEDTREND,True,2,0.2857142857142857,LÅG,EJ AKTUELL,0.0,13.291139240506327,6.645569620253164,150,-0.012382164864004008,-0.625,🔴 SVAG,40.27155699918112,139,18.100000381469727,4.881655855183141,-0.5861873366589407,True,,-7.105427357601002e-15,1,False,,0.0,
BALD-B.ST,Fastighets AB Balder (publ),Real Estate,Real Estate - Diversified,Sweden,SEK,59325079775.01428,9.929236,10.195028,1.53,0.6738023,4.570839,16.242,24.193,0.069910005,0.02081,0.51085997,0.6422,0.66574997,0.013,-0.271,-0.219,139.164,0.331,0.208,-2237874944.0,4212999936.0,152072994816.0,,0.0,1.808,75.19999694824219,49.522315979003906,53.31999969482422,70.28571,1.85714,7.0,,,0.38355,0.46311,,2226103.0,2791884.0,0.6253316497557863,-0.09412165915868231,-0.20560194408604304,-0.2142646741047829,,-0.29095742209241426,30.372341301712055,-0.07998441498567954,-0.18220338641175715,False,0.27430787257169553,0.33296033956027593,0.5,58.29688055553274,64.95839305061261,16.966067864271455,18.502845948725508,23.233485333131924,42.60355029585799,14.076690211907165,62.525227043390515,43.101562466156444,standard,130,0.875,UPPTREND,5,4,NEUTRAL,0,0.5,0.097,0.786,0.425,NEDTREND,True,2,0.2857142857142857,LÅG,EJ AKTUELL,6.666666666666667,18.354430379746837,12.510548523206753,139,0.006034066781841929,-0.212,🔴 SVAG,43.101562466156444,131,53.31999969482422,30.37234130171205,-0.1822033864117571,True,,0.0,1,False,,0.0,
NCC-B.ST,NCC AB (publ),Industrials,Engineering & Construction,Sweden,SEK,17547460339.352066,205.10638,12.991914,1.11,2.3824527,0.3472899,0.4,8.625,0.01201,0.04,0.00169,-0.02456,0.100039996,-0.129,,,58.686,1.37,0.748,1512999936.0,1440000000.0,4313999872.0,4.67,9.5745,,229.81964937607265,158.9580535888672,192.8000030517578,220.0,2.2,4.0,,,0.0864,0.46055,,198680.0,230611.0,0.7783679942300841,-0.11410180059295738,-0.10695745825536351,-0.04031254509687754,,-0.16108129320020226,23.85364372866087,-0.05640410844379107,-0.05322631708068959,False,0.2940433452419347,0.21846582126174174,0.5,76.27664398660502,18.792708115655948,38.123752495009974,4.345493562231759,50.80908632461194,59.171597633136095,33.047426841574165,62.525227043390515,44.25620623465397,standard,125,0.75,UPPTREND,5,5,NEUTRAL,0,0.5,0.464,0.7,0.546,NEDTREND,True,2,0.2857142857142857,LÅG,EJ AKTUELL,6.976744186046512,21.518987341772153,14.247865763909331,137,-0.00045499464118392563,-0.107,🔴 SVAG,44.25620623465397,126,192.8000030517578,23.85364372866087,-0.0532263170806895,True,,0.0,1,False,,0.0,
BHG.ST,BHG Group AB (publ),Consumer Cyclical,Internet Retail,Sweden,SEK,4047093838.8655643,51.31818,18.508196,,0.69236195,0.3808815,0.602,8.265,0.02841,0.01878,0.01028,0.00908,0.17367001,0.019,,,40.651,1.005,0.396,876700032.0,349500000.0,2470799872.0,,0.0,1.786,33.560001373291016,21.799999237060547,22.579999923706055,33.0,,3.0,,,0.05154,0.78186,,457169.0,291344.0,0.2712027788164281,-0.014834212541716019,-0.19872250961051918,-0.1952957821288499,,-0.32717523838731066,48.38710218715784,-0.03718232716720715,-0.16399166298407086,True,0.33915998469704284,0.2616866848443675,0.5,78.59705932381458,17.342177384699305,16.56686626746507,31.223175965665234,34.497080425261295,87.57396449704143,14.076690211907165,62.525227043390515,43.63858158642799,standard,127,0.875,UPPTREND,5,5,NEUTRAL,0,0.5,0.502,0.5,0.501,NEDTREND,True,2,0.2857142857142857,LÅG,EJ AKTUELL,8.695652173913043,20.253164556962027,14.474408365437535,136,0.024718917843827848,-0.223,🔴 SVAG,43.63858158642799,128,22.57999992370605,48.38710218715784,-0.1639916629840708,True,,0.0,1,False,,2.220446049250313e-16,
