ticker,name,current_price,day_change_pct,week_change_pct,avg_volume,market_cap,ev_to_ebitda,price_to_book,debt_to_equity,current_ratio,total_cash,total_debt,free_cash_flow,operating_cashflow,book_value,gross_margin,operating_margin,revenue_growth,earnings_growth,return_12m,return_6m,shares_change_pct,piotroski_score,insider_pct,insider_net_buy_6m,insider_buy_count,insider_sell_count,insider_signal,sc_insider,sc_fcf,sc_piotroski,sc_growth,sc_balance,sc_valuation,sc_momentum,sc_liquidity,sc_composite,sc_bonus,sc_penalty,sc_total,sc_rank,sc_stars,sector_signal,sector_adjustment,sector
SAFETY-B.ST,mySafety Group AB,21.55,0.048661800486618,0.031100460784409423,42530,484450176.0,7.653,3.5862873,62.189,1.011,60176000.0,84307000.0,42990500.0,43201000.0,6.009,0.45202,-0.09052,0.056,,0.910673232756299,0.37632021281643313,,4,0.43038,0,0,0,N/A,48.72727272727273,85.45454545454545,40.0,62.909090909090914,28.727272727272727,52.72727272727272,94.54545454545455,63.63636363636363,58.087272727272726,6.0,0.0,74.08727272727273,12,★★★,STARK UPPTREND,10,Mjukvara & SaaS
UPSALE.ST,Upsales Technology AB (publ),28.2,0.0071428571428571175,-0.044067770747815094,105926,474842208.0,13.535,25.895317,12.399,0.792,42822000.0,2638000.0,18551500.0,39736000.0,1.089,0.60078,0.08765,0.155,-0.053,-0.092542272347515,-0.09324757501476355,,5,0.54107,0,0,0,N/A,56.0,69.0909090909091,55.0,57.09090909090909,38.63636363636363,18.181818181818183,50.90909090909091,89.0909090909091,52.66090909090908,11.0,0.0,73.66090909090909,13,★★★,STARK UPPTREND,10,Mjukvara & SaaS
SUSG.ST,Sustainion Group AB,1.93,0.01578947368421054,0.20249216486741095,236019,419094656.0,9.736,2.4711907,65.572,1.104,25588000.0,103313000.0,9944625.0,26048000.0,0.781,0.28952998,0.07084,1.473,,1.3536584931495002,0.7387386690766273,,6,0.69321996,0,0,0,N/A,61.090909090909086,63.63636363636363,70.0,78.18181818181819,28.954545454545453,36.36363636363637,98.18181818181819,40.0,60.51636363636364,3.0,0.0,73.51636363636365,14,★★★,STARK UPPTREND,10,Cleantech & Energi
ENRO.ST,Eniro Group AB (publ),0.601,-0.060937500000000054,-0.044515098216418636,1598031,437532288.0,4.61,1.3385301,10.703,0.941,175000000.0,35000000.0,17437500.0,80000000.0,0.449,0.30021,-0.0042,0.004,,0.4802956361104034,0.4309524517413461,,3,0.64706004,0,0,0,N/A,58.9090909090909,70.9090909090909,15.0,51.99999999999999,43.27272727272728,61.81818181818181,87.27272727272727,67.27272727272727,54.78818181818181,8.0,0.0,72.78818181818181,15,★★★,STARK UPPTREND,10,Övrigt
NIL-B.ST,Nilörngruppen AB (publ),74.4,0.0,-0.0026809242940074585,56753,848307904.0,10.765,2.3533134,19.803,1.781,102036000.0,71586000.0,64277248.0,94730000.0,31.615,0.47035998,0.06588,-0.159,-0.225,0.33837399976284166,0.27362601166457345,,7,0.03728,0,0,0,N/A,29.09090909090909,80.0,85.0,10.909090909090908,54.45454545454545,32.72727272727273,81.81818181818183,92.72727272727272,54.66636363636364,8.0,0.0,72.66636363636364,16,★★★,STARK UPPTREND,10,Mjukvara & SaaS
MOB.ST,Moberg Pharma AB (publ),10.38,-0.0038387715930901295,-0.03888889526634043,105615,487866528.0,-22.043,0.5315989,1.869,2.092,19286000.0,7395000.0,,-29925000.0,19.526,0.0,0.0,,,0.2806910179759088,0.17954544198414535,,4,0.12066,0,0,0,N/A,31.27272727272727,50.90909090909091,40.0,47.63636363636364,73.72727272727272,94.54545454545455,78.18181818181819,72.72727272727273,56.83272727272727,5.0,0.0,61.83272727272727,17,★★★,NEUTRAL,0,MedTech & Life Science
DEDI.ST,Dedicare AB (publ),44.0,-0.015659955257270756,-0.010123751523411606,9089,420756256.0,8.35,1.3714428,14.179,1.442,116600000.0,43500000.0,9524500.0,17204000.0,32.083,0.14998999,0.016239999,0.034,0.139,0.09428477234293364,0.03753782373650805,,5,0.30025998,0,0,0,N/A,40.72727272727273,60.0,55.0,71.63636363636363,47.27272727272727,47.27272727272727,65.45454545454545,32.72727272727273,53.36636363636363,8.0,0.0,71.36636363636363,18,★★★,STARK UPPTREND,10,Övrigt
NEXAM.ST,Nexam Chemical Holding AB (publ),3.05,-0.006514657980456032,0.023489910333813313,113982,312604704.0,-80.429,1.5143992,8.137,2.736,37949000.0,16825000.0,99375.0,4498000.0,2.014,0.47015998,-0.1248,-0.11,,-0.07575757685224327,0.01328902391354192,,5,0.27433002,0,0,0,N/A,39.27272727272727,45.45454545454545,55.0,28.0,69.81818181818183,78.18181818181819,54.54545454545454,21.818181818181817,49.99181818181818,11.0,0.0,50.99181818181818,19,★★★,NEDTREND,-10,Material & Skog
IMMU.ST,Mendus AB (publ),5.64,-0.008787346221441249,-0.012259224377184741,34665,345638464.0,-2.538,0.59138095,3.222,2.695,64656000.0,18850000.0,-44071876.0,-81532000.0,9.537,0.0,0.0,,,0.13366833660314237,-0.0035335656299810836,,4,0.6721,0,0,0,N/A,59.63636363636363,22.727272727272727,40.0,47.63636363636364,73.0,90.9090909090909,67.27272727272727,7.2727272727272725,52.65090909090909,8.0,0.0,60.65090909090909,20,★★★,NEUTRAL,0,MedTech & Life Science
BPCINS.ST,BPC Instruments AB,16.3,0.018750000000000044,-0.035502981953434265,15099,181000080.0,11.447,1.92149,,10.271,69401000.0,0.0,4924250.0,7479000.0,8.483,0.72406995,-0.04262,0.043,,-0.5965346875885807,-0.4655737955062116,,5,0.76321,0,0,0,N/A,64.72727272727273,65.45454545454545,55.0,60.72727272727273,54.68181818181819,27.27272727272727,3.6363636363636362,10.909090909090908,48.97545454545455,11.0,0.0,59.97545454545455,21,★★★,NEUTRAL,0,Tjänster & Konsult
